animal1,animal2,language_similarity_simple_dist_texture
bat,bat,0
beaver,bat,0.6947536635372268
boar,bat,0.6042357527267552
cheetah,bat,0.5155270204606681
crow,bat,0.5787965421941523
deer,bat,0.5206522504051534
dolphin,bat,0.5088832907585942
elephant,bat,0.5048021795941986
flamingo,bat,0.6260967403627774
giraffe,bat,0.5977038426147183
goat,bat,0.6595923493331345
gorilla,bat,0.4487934661025563
grizzly,bat,0.5931569213949464
hippo,bat,0.532099412320108
killerwhale,bat,0.5649023476938478
lion,bat,0.4881942987462378
llama,bat,0.7690850340640115
mammoth,bat,0.6754883076090481
panda,bat,0.5405514105466862
panther,bat,0.5354979816104691
pig,bat,0.7157472556523774
pigeon,bat,0.5366638430427128
polarbear,bat,0.561216062473448
rhino,bat,0.45394933128620885
shark,bat,0.4932652980745031
sheep,bat,0.8577165010239034
skunk,bat,0.6997008280984638
sloth,bat,0.6827139102032773
swan,bat,0.6803840825440771
zebra,bat,0.6735383905607751
bat,beaver,0.6947536635372268
beaver,beaver,0
boar,beaver,0.39530253654163533
cheetah,beaver,0.44712556233961354
crow,beaver,0.5077130927735028
deer,beaver,0.5056027502312144
dolphin,beaver,0.6285899804289057
elephant,beaver,0.5446102175015833
flamingo,beaver,0.49748622096042916
giraffe,beaver,0.4377179753465483
goat,beaver,0.3906836770464166
gorilla,beaver,0.4899822128259883
grizzly,beaver,0.48782076101292654
hippo,beaver,0.48111387179576526
killerwhale,beaver,0.7378768494476631
lion,beaver,0.6388235898156309
llama,beaver,0.4102580182327304
mammoth,beaver,0.8563687495931697
panda,beaver,0.5408824689191533
panther,beaver,0.41248652614293757
pig,beaver,0.44592864330138254
pigeon,beaver,0.4836363057553263
polarbear,beaver,0.559449013459831
rhino,beaver,0.5196901265618782
shark,beaver,0.6778452608393364
sheep,beaver,0.5670652364528178
skunk,beaver,0.3438702612075349
sloth,beaver,0.6383449512530663
swan,beaver,0.45241735081822326
zebra,beaver,0.3989188145938678
bat,boar,0.6042357527267552
beaver,boar,0.39530253654163533
boar,boar,0
cheetah,boar,0.3506509248209164
crow,boar,0.49198379850937063
deer,boar,0.44777699775463514
dolphin,boar,0.5344509970035325
elephant,boar,0.4176026249513787
flamingo,boar,0.40934697970893913
giraffe,boar,0.38680993806838904
goat,boar,0.42920291554764756
gorilla,boar,0.4503065980274074
grizzly,boar,0.45232924130100727
hippo,boar,0.3911063419493546
killerwhale,boar,0.6159945196346158
lion,boar,0.5704916305174352
llama,boar,0.44315339620356337
mammoth,boar,0.8025148837587531
panda,boar,0.4777717889155812
panther,boar,0.3292201471236093
pig,boar,0.5584530826953726
pigeon,boar,0.40631115363466513
polarbear,boar,0.5500001351253896
rhino,boar,0.3509764777603592
shark,boar,0.6018406750860285
sheep,boar,0.6376841487819802
skunk,boar,0.517087517725531
sloth,boar,0.5951947581297923
swan,boar,0.44907562470404694
zebra,boar,0.42497104696640353
bat,cheetah,0.5155270204606681
beaver,cheetah,0.44712556233961354
boar,cheetah,0.3506509248209164
cheetah,cheetah,0
crow,cheetah,0.4786657627531772
deer,cheetah,0.5208457714289373
dolphin,cheetah,0.5442930676133654
elephant,cheetah,0.35670899755136826
flamingo,cheetah,0.3989430519961622
giraffe,cheetah,0.29324910660615455
goat,cheetah,0.45071493140781127
gorilla,cheetah,0.35904574926403815
grizzly,cheetah,0.488343888146359
hippo,cheetah,0.37918846229376874
killerwhale,cheetah,0.6319306157253464
lion,cheetah,0.4859763978205293
llama,cheetah,0.4825534806778768
mammoth,cheetah,0.7090893212734408
panda,cheetah,0.3562803629385224
panther,cheetah,0.332535329400545
pig,cheetah,0.5805071380653493
pigeon,cheetah,0.3815681183652309
polarbear,cheetah,0.5071808235323574
rhino,cheetah,0.3701108252756531
shark,cheetah,0.5767661892168379
sheep,cheetah,0.6809844500487201
skunk,cheetah,0.5013672957769353
sloth,cheetah,0.6037455550902349
swan,cheetah,0.42241474492782366
zebra,cheetah,0.40245544797704835
bat,crow,0.5787965421941523
beaver,crow,0.5077130927735028
boar,crow,0.49198379850937063
cheetah,crow,0.4786657627531772
crow,crow,0
deer,crow,0.5205895297743153
dolphin,crow,0.5169429760520755
elephant,crow,0.4568822748285058
flamingo,crow,0.4486220620075742
giraffe,crow,0.4544316392948896
goat,crow,0.5535181890231334
gorilla,crow,0.4621667498343684
grizzly,crow,0.5209357588910689
hippo,crow,0.40472303671593746
killerwhale,crow,0.6492920880288827
lion,crow,0.5646072198567063
llama,crow,0.5989180677099655
mammoth,crow,0.7797141375602131
panda,crow,0.42806645708806323
panther,crow,0.48718384330402564
pig,crow,0.5597675999193984
pigeon,crow,0.42297116691573267
polarbear,crow,0.6053378264857932
rhino,crow,0.457925973129028
shark,crow,0.5796770896390075
sheep,crow,0.7864713387345066
skunk,crow,0.47105244243935585
sloth,crow,0.5304151617808762
swan,crow,0.4978114037574323
zebra,crow,0.5134198434457937
bat,deer,0.5206522504051534
beaver,deer,0.5056027502312144
boar,deer,0.44777699775463514
cheetah,deer,0.5208457714289373
crow,deer,0.5205895297743153
deer,deer,0
dolphin,deer,0.49807519239534953
elephant,deer,0.49510992900172196
flamingo,deer,0.5213545959630477
giraffe,deer,0.5564110442617003
goat,deer,0.5702819581582143
gorilla,deer,0.5203281422730289
grizzly,deer,0.44035012513157906
hippo,deer,0.4593449081805948
killerwhale,deer,0.5106396716737398
lion,deer,0.5276485152853181
llama,deer,0.6049620049447568
mammoth,deer,0.8342883006419767
panda,deer,0.509229894307897
panther,deer,0.42712265960436
pig,deer,0.677039027311805
pigeon,deer,0.4621126821849803
polarbear,deer,0.4765505102200585
rhino,deer,0.3804217211541254
shark,deer,0.561536544301857
sheep,deer,0.718314972390863
skunk,deer,0.5606905140433739
sloth,deer,0.6239973831346024
swan,deer,0.5383050335252277
zebra,deer,0.5624761994256058
bat,dolphin,0.5088832907585942
beaver,dolphin,0.6285899804289057
boar,dolphin,0.5344509970035325
cheetah,dolphin,0.5442930676133654
crow,dolphin,0.5169429760520755
deer,dolphin,0.49807519239534953
dolphin,dolphin,0
elephant,dolphin,0.4399856719643718
flamingo,dolphin,0.4948336224787804
giraffe,dolphin,0.5607254284551901
goat,dolphin,0.6564859337361686
