animal,big,bristles,bristly,brushy,bushy,circular,coarse,coat,course,curly,feathers,fine,flat,fleece,fluff,fluffy,fur,fuzz,hair,hide,leather,leathery,light,long,medium,rough,rubber,rubbery,scales,scaly,shaggy,short,silk,skin,slick,slimy,slippery,small,smooth,soft,sparse,thick,thin,tough,valuable,wet,wiry,wool,wooly,wrinkled
bat,0.15581334676728473,0.1320791204988469,0.1390887986690282,0.12324882433501894,0.12747355476244615,0.009752682917748506,0.05724661652819498,0.1358910893493765,0.04379739281716538,0.11901251435976351,0.17504948217523403,0.11902866670142098,0.09095448227843621,0.04721254690484153,0.042331043731923264,0.0785685270285351,0.1541147988672256,0.10327665935693163,0.1794550235142874,0.09364846580215198,0.16231675000553022,0.10644645113401748,0.10097168966178421,0.08364007502689169,0.13718685225362526,0.11258421835815724,0.2009857143448496,0.09617035728588466,0.0652473406920724,0.18950693864802695,0.10341891667478166,0.09377530631879703,0.02472400141919072,0.11582820357346875,0.008572260845194595,0.05400573184847477,0.08092186230547493,0.08772010709919255,0.01490421826125934,0.07714495766611974,0.0793412129201067,0.10730941922506386,0.04288768458969769,0.1430390050428707,0.06689368785773447,0.16471030064776201,0.12530746782596805,0.10953212581381103,-0.004439758369354117,0.05748824114887427
beaver,0.09019523471285139,0.10203451019622645,0.33590214999961143,0.2527666622943527,0.1952247199416814,0.08064426894922509,0.2031280142850057,0.1535736295905126,0.12410373228826824,0.17482069486731466,0.21145168301412456,0.08387999349915293,0.06268173185313579,0.15815958076187475,0.15052082536454842,0.16411450100131164,0.40509072164804383,0.1476612660395967,0.14785432765989787,0.11266395573794663,0.09947932958185136,0.1708928921914704,0.032603135756878225,0.0903150093652638,0.022028664211518535,0.11207375782868151,0.14730778478953005,0.11995554840722335,0.008566095234968674,0.27359940829886087,0.30030529888886265,0.040731046559251666,0.11764765472233608,0.11918329512044515,0.1621299923159414,0.25354666328603864,0.1262299959108788,0.13528909610520218,0.04517206019989586,0.05542425457528204,0.08978559156914004,0.14250229901109293,0.0857599683261636,0.02354470709956346,-0.010100939514997081,0.1881743363328226,0.1432770930996658,0.21412265663380073,0.278579804750136,0.13322222929865712
boar,0.060237616668775536,0.05001536858559792,0.2454624689693471,0.2305804351597607,0.2289615863427395,0.1250362186136185,0.17185747538615678,0.11292430962243194,0.0701393264943462,0.13440859684300438,0.20565120062749218,0.08902568389969759,0.08923076131479704,0.07564214818089358,0.08242467604343212,0.14647215358923832,0.30221438164987735,0.13426335195230105,0.14680269316745467,0.026102799249066257,0.15450955835102578,0.20476059794359538,-0.03761259027417123,0.08088955484069695,0.07669881944783138,0.06209077257353801,0.08065272901318271,0.09210381389464632,0.06883135563974323,0.26755056412632705,0.24752517244412395,0.033302865566360716,0.13569644562731495,0.09343620408806617,0.06902742516850924,0.11335272773717163,0.0394905052897809,0.07805320921075438,0.050391085793838726,-0.0072199083339301515,0.03730014486537975,0.12961384390286357,0.025003141385425618,0.0032912910553048427,-0.06202307054285067,0.054345282521064665,0.19891041608723228,0.17433487657247282,0.26697573245469863,0.13669897824968336
cheetah,0.09238289390752545,0.08027163109327597,0.22264191538282074,0.15204019067478358,0.22271571359053088,0.07721320177074716,0.01875370434002909,0.11435129173130623,0.10865969877870199,0.1565768435828309,0.21651361010490253,0.07485390877520685,0.08450114879562018,0.11400630259102414,0.10931632857999633,0.26253868492388654,0.26257353056591376,0.14071329994716833,0.15356714575785896,0.06371128841578494,0.15045890260734957,0.16084921596231697,0.026469325651913234,0.13147163074401644,0.11949340703549766,0.06508323098259805,0.1135994070159387,0.09411394367675747,0.02765266011586425,0.25621018251306704,0.2488212363153127,0.11580267953944083,0.10079496673636033,0.11823419663106151,0.12690886744380894,0.06214189249715664,0.09926225934200135,0.07537653720112543,0.11138781883004968,0.08234745264701125,0.03661999855805373,0.09044597701561821,0.0636547242376066,0.052737048147842636,0.012229403913091151,0.13733565518042268,0.20536343616063252,0.09903989353600252,0.2440631606207876,0.1457865745344124
crow,0.14170380472325408,0.16090370807195498,0.2548693544804145,0.21258735519495311,0.1840239500549916,0.09572541862417935,0.14305072352905834,0.04492794841962638,0.026900838478018142,0.14307122672677058,0.3653757315451037,0.12087677722712921,0.07338673847818226,0.020153004369974133,0.19591391124868862,0.20756419922993166,0.2223867506627921,0.14108524386403265,0.15344419230739817,0.16561351228526244,0.0644930922904861,0.22588938184968263,0.0840792919649775,0.14071999959843443,0.02057346585407806,0.02449783368464679,0.08278637037913902,0.23217895695267357,0.022233552176180976,0.2734673198527647,0.1935815317715784,0.08559868296824778,0.08383997226300635,0.11854132107141091,0.03162602655882532,0.2164778094399051,0.012186060762207485,0.10258600795955704,0.04411552575984102,0.11668535106576837,0.08462181005719524,0.0990018006568874,0.050957468256923016,0.02508039793238281,0.013475754922725595,0.09598498126834613,0.06056338627410569,0.08904974609941099,0.16319959508443163,0.1322811891741924
deer,0.06258126840742334,0.035756522291942955,0.20578150300129103,0.3438008781294903,0.21592255931977045,0.08352944532664147,0.14276444700636565,0.1374270370470557,0.09267472592523852,0.027078255287233257,0.22821311674933153,0.11185360485140848,0.05136773554692719,0.03115550535233922,0.0806604246414665,0.09513520827361141,0.3427064567560575,0.09389635320403082,0.12001702351484708,0.08563757632021188,0.12815881947418709,0.13322971494704733,0.0983801494015302,0.05602180344687291,-0.04206037483238041,0.06470395858008908,0.09630063090361765,0.044999820553174814,0.04922398555563562,0.17994482876014045,0.12882843315690554,0.013698054424547548,0.05668377014808062,0.09776702141786316,0.06050696119568917,0.08685270803094933,0.07499944156394925,0.0747046744087032,0.019733272176096658,0.03297748084710782,0.1278438351518448,0.07800895019288932,0.026747288349412326,0.036833147358357854,-0.002871548405226885,0.18513085012803238,0.03670293890046825,0.12353195307387514,0.16625889852841608,0.03975274356653582
dolphin,0.05111669909107423,0.029312245569029408,0.08805255846374394,0.10020712003649562,0.06901346977463481,0.0833315314204953,0.0894832287407166,0.07021834395572461,0.04927408472227081,0.017950831499311197,0.2153199220180262,0.10863460214008451,0.011290491711740088,0.1067100838882455,0.060338385120659234,0.1558065173646031,0.26996971580089874,0.05610206363838077,0.0850808647485978,0.031025507803873267,0.05564013527890821,0.1346063491523219,0.0820167429690471,0.058321051144358475,0.06618731994098086,0.0528135615519779,0.12106008849527057,0.17809185655069,0.12271935779325711,0.3062060078071345,0.10692945211258088,0.0076347625765640645,0.11694377954807592,0.1145688032418859,0.09188450443418848,0.2057061301397304,0.018554790097647975,0.09730718937275414,0.0163584743707655,0.07145732617286071,0.03020117224075305,-9.887301586123539e-4,0.021063290379785046,-5.124392977489671e-4,0.04742555228889407,0.09276407646115363,0.031077695012387874,0.14372731162812838,0.08746273025679926,0.10751409467490586
elephant,0.15104459391208605,0.03686218749259965,0.17821101579275803,0.11374018608877848,0.16477856708402935,0.12158297375407956,0.03307753755433251,0.11300921256139429,0.030768661453637908,0.10880944465150624,0.1884910972502165,0.03938984966068314,0.05486167073462363,0.051049604118896905,0.1525076499727593,0.25385889805756756,0.2814332448082516,0.0583833807913194,0.108899729575021,0.11422134658274195,0.1358234047008048,0.13462088341545336,0.08276655539131413,0.1099358079298299,0.08499400822907369,0.03492388945014582,0.16057674239307013,0.07555486382021843,0.10848660485784403,0.19062530044766474,0.18422986604775018,0.04302867790566391,0.158418424213046,0.06881062031262097,0.03134958666853421,0.11197314093877891,-0.0044658315342923,0.13881158390066928,0.09639877003779425,0.08258713627991643,0.08957842477164953,0.09312288826462546,0.07445209785020819,0.033717829704059926,0.013302845983498625,0.04019615522116037,0.11542419914208848,0.1114660881480967,0.2125753865791773,0.16156805923067138
flamingo,0.015336290552521172,0.06748188544126167,0.20488218971671787,0.1759282516170079,0.21132979883702688,0.1617710321178079,0.03510845042987348,0.18225395451100765,0.032808864386643016,0.19874816777046653,0.3382852026568957,0.06394237130544425,0.02651527728280247,0.12589549748516804,0.12604675850942407,0.21909858285848208,0.292933480368176,0.15782036731093846,0.15739591977546985,0.10675400424252841,0.17813259233255196,0.20360948061389197,0.04308953759256629,0.05025327972666236,0.013306109444078104,-0.005845881090666295,0.16036909263908217,0.15708609789959105,0.009186424613413277,0.27225220536396594,0.23560614340939579,-0.028951043040450083,0.18972853715381252,0.08441319420795296,0.10953725083018122,0.14298631012100185,0.056141425143908935,0.0424250857444716,0.06202021883904073,0.05807323903705962,0.024677495014186916,0.03575899070885178,0.016355418050061795,-0.04256398581805914,0.04300525760325696,0.06847383936991464,0.12103065702512922,0.09633619725613375,0.16705199992426484,0.1372428359962743
giraffe,0.08491672354326758,0.07743374470320377,0.27878727189941016,0.12978496421302488,0.21804173101170757,0.14006097558944833,0.05420045131625539,0.21416558809561612,0.028344419303121433,0.18250601582193635,0.28130010167706115,0.1264539355289387,0.10497837911793641,0.13152807027257082,0.13346009923619567,0.2857174441580575,0.31171011338518967,0.07690978448239952,0.1659766161262091,0.06091030523788059,0.15845321807551402,0.19256519659495935,0.025848214429885354,0.1370798265034463,0.06442576595631286,0.06923830379604509,0.10382110810239166,0.18217147376405338,0.08929815196658192,0.26013219184174574,0.24506592135189736,0.0654595538962981,0.13766922262192235,0.15515728816907273,0.08482282122807945,0.08755828568362939,0.0814626655811526,0.0747656828461743,0.0881028940540743,0.053137981026206774,0.0684896264116491,0.12771910542272608,0.12584730305906697,0.003949696872179847,0.011212901257149353,0.1578598012614977,0.15179943078449912,0.1275101362744947,0.21077240082858856,0.2201836672623912
