animal,amber,black,blue,bright,brown,dark,flash,gold,gray,light,medium,multi,neutral,orange,pattern,patterns,pink,red,single,spots,stripes,tan,tawny,white,yellow
hippo,0.09920493723424881,0.19164689537857885,0.13277191677265968,-0.010239119644588256,0.2149392692784428,0.12041107721940884,0.018021758930811226,0.1263179658104048,0.1465519127516986,0.04824205100125939,0.057004207359131004,0.060113627217501145,0.0069730170509200995,0.18712056020974785,0.06878325003436057,0.07071539940394493,0.16766258102100248,0.14031429176641166,-0.007870181782602558,0.04532766617873458,0.04680521983639906,0.14948967675137276,0.27457667191178825,0.2012868887042613,0.18273056511531716
killerwhale,0.0434950190580714,0.09582066836107972,0.08308682659375005,-0.021809465417539604,0.112339646025643,0.05424327557558854,-0.03358289971466372,0.09998732655088197,0.11242293517015274,0.07220732304264971,-0.018733124312334617,0.06372763540966905,-0.009493555304117447,0.1178130514336999,0.1250391657773098,0.08042208156428093,0.0682481045786578,0.07470037351531046,0.019837989916410777,-0.013271862629652435,0.08295889652701985,0.12137460596322953,0.07795482988925036,0.10847836886650972,0.10662259731422624
lion,0.04584172066845131,0.18661796062073788,0.07066372094896865,0.10043271513948604,0.15334503468656305,0.08319716502408457,0.07075599951343797,0.17803890764752994,0.0703875831998019,0.11015638619437045,0.017790224246950655,0.03904206499530308,-0.0151738721715905,0.030146792334082097,0.1604537129306724,0.11983586194830365,0.08598659489482123,0.14849126918863492,0.008628892309161671,0.07140529139578286,0.13337818368045345,0.02047590985486346,0.16812101186902897,0.1554684009797226,0.10929762925652849
llama,0.06869558206361502,0.09058910823616594,0.05809700362404074,-2.241113056927727e-4,0.21195474783014706,0.13953911473025382,-0.006120261208842485,0.06351758484643036,0.11235428682892934,0.005930525661648472,0.028345856249088575,0.012171346725657207,0.004613349686566582,0.11306571225665238,0.04185246255211892,0.05474246493946503,0.17011452090872203,0.06906119167506365,0.002140261350750254,0.07880913274269331,0.09092033152700689,0.19374731274005894,0.2724025233952111,0.14478665453923928,0.12222236639697785
mammoth,0.0026251327702374134,0.11594507752418791,0.11119558363701035,0.053258738670682315,0.10582454105349658,0.09372261280288682,0.017119549643132004,0.10742132704740075,0.11369736953861878,0.05933523087514649,0.06997902178664873,0.2822476496237737,0.013446105106951014,0.0891882545024033,0.039989659344970015,0.07697849014549732,0.1073399531479074,0.09178616443909789,0.26965356651759587,-0.010092230897315962,0.043118818580972676,-0.011863338802311031,0.07280125052681932,0.08082071404307116,0.10183940434226177
panda,0.15184853145872748,0.17017893845349027,0.1882766048134059,0.07078246344775625,0.1933453054680557,0.08648762629141492,0.12119291607968476,0.1226785641990082,0.11879024842225079,0.07935881422920191,0.07086063904270856,0.08225258147458389,0.05452074941529649,0.16879313517749844,0.1076028969492478,0.15826542973986607,0.23157651484137756,0.22520364810753007,0.06406554651015525,0.046954045533986605,0.13347918095520794,0.11231319978698466,0.16180660052910284,0.1859016337851377,0.22354317505149912
panther,0.21311493929642497,0.3078840833517485,0.20129311303829725,0.09536392113438517,0.26843146811214424,0.12759064219471683,0.15087566008952932,0.11886159341259087,0.2503027771665338,0.05946290687984811,0.03162154662279852,0.04020506065979045,-0.02567236425579062,0.23717884462457817,0.08747633939002658,0.11056146019707438,0.2247595736694145,0.23367547157303414,0.05155411017171026,0.09167763534132563,0.1363253298450039,0.23485444984468046,0.317708827885332,0.25468642854314977,0.22103311472835255
pig,0.11559210828826944,0.1408604919517079,0.09398749365229128,0.04420533528599832,0.21872296121265683,0.06795016067495495,0.038428975569991405,0.07391967081327734,0.0773340093031655,0.05599076227441779,0.043485915313316845,0.07437038919422304,0.04510744387400223,0.16192247050168404,0.06888658198993462,0.06423722965025583,0.19248628359836448,0.15833287557265988,0.0601959210298037,0.0016031169520236493,0.10947993797406474,0.13905836077275738,0.15620351732504584,0.14151596684354564,0.13352743489117075
pigeon,0.17682872584630455,0.20096970311401138,0.08976443253792231,-0.011164181398801749,0.22690239380290353,0.10002544053572245,0.12556667370084854,0.08332264150620919,0.17114046958766257,0.07982028317520518,0.11601188438634719,0.05756433360570989,-0.016895419165984922,0.11350007588409838,0.08454291065608607,0.1294066821737617,0.13162615487036247,0.10666671421960797,0.07885079033432588,0.08587755999969668,0.14751476984626874,0.102210762674585,0.1908823271769661,0.12136834722067075,0.1591327883722552
polarbear,0.13998787864041876,0.16120618894991762,0.14562561302369212,0.06305507193605954,0.1861329250227037,0.1069531808339438,0.04744633729049474,0.14654990730213643,0.17423707523240245,0.054011550725808787,0.027690993371358677,0.041587772996805404,0.04717609951945169,0.1367310152592604,0.06033896351872528,0.07827043436388577,0.18723854397868966,0.14976582373263134,0.08100021771277817,0.0437435061590986,0.09900994048278168,0.11283546937328576,0.15449379942196773,0.15444251349239158,0.09026140411557339
rhino,0.16132444381388492,0.24549936051670146,0.11352125256927593,0.008295336695220217,0.23548795795204788,0.06001543876755387,0.05517766031942223,0.16815031628598018,0.19675928071174228,0.053620943311635166,0.05326406445946511,0.0520847584616019,0.038779629430226836,0.11518616044574562,0.06493534394690947,0.06318885567844347,0.1223647352301381,0.12377728225368566,0.0325001475026314,0.025529249791463142,0.05691964150553741,0.10420617459190992,0.2934361442186036,0.21326743359628966,0.12071388911376964
shark,0.08353851338866926,0.16894730359162136,0.12132095050332341,0.0024509308840153588,0.1078463636529185,0.07180174220042063,0.0876501137712507,0.09681337137250658,0.09589414067505213,0.022768203914103936,0.05213806271263982,0.08684698448141066,-0.06006214671783826,0.09702377405377767,0.04236207357019005,0.07130720741463956,0.0947892892059253,0.11142906250463334,-0.006078875464646209,0.09494498814812628,0.07537750060572053,0.14054410821774063,0.12507653923076514,0.19165716868468202,0.13728485837597967
sheep,0.11494797208829834,0.182848050480084,0.07771779773129417,0.05068324631047682,0.24356191484750914,0.15421785508966918,-0.01262719543113409,0.10385259932890191,0.17062082768891235,0.07424115738360612,0.06125312523026037,-0.006653775584721968,0.04669785751333541,0.10595689360832578,0.12446082252568962,0.12694098864081801,0.11165839838701164,0.12126906122195498,0.06460004158984871,0.043818612482597295,0.13962785112720266,0.1290002042800373,0.25163843072217296,0.20617390101043673,0.0981920158141378
skunk,0.1635902455990561,0.14831905934649273,0.15640492491504787,0.040848549809923244,0.31171895352617485,0.17339297787471503,0.05340374529646438,0.012415390172839191,0.17452934422034733,0.12625654980392503,0.006078206374886587,0.05018908258809902,0.03170499224021896,0.21020143552876314,0.06018666007918048,0.04031094455806563,0.18643648929302453,0.1539037047895602,0.051890764675107504,0.07918086653502729,0.12282033026657053,0.273334050345376,0.25110106223583595,0.15447954489356983,0.17329373906904474
sloth,0.10393681307998541,0.020708869395476146,0.03320918131521402,-0.02378611081872922,0.13674411131244912,0.08387879195060205,0.044841218329446125,0.09645833374742711,0.047122774962073274,0.07708124244169733,-0.04435671392510453,0.04016248184646333,0.01909343450723739,-0.00974110163769621,0.10139418655793776,0.10421212837527691,0.06258277574411962,0.01719091368945184,0.049625987707830686,0.029492439615320703,0.007794146596160607,0.10716996474564666,0.13634897882563474,0.05355743909590823,0.058451835821581935
swan,0.2091589796145422,0.2787473357149632,0.23446988138777178,0.10291399694296959,0.277584868921338,0.1904748883333045,0.07127810844980542,0.21167916071910417,0.2548442727798287,0.05261969892947094,0.0715626786271556,0.04857980163431036,-0.0032148707765393527,0.17751501705256179,0.14855699856926463,0.12493508083237055,0.2658081547287809,0.2147361902783162,0.025362071629218778,0.07599958193937119,0.16565701044060063,0.1266077224922956,0.2753453273102534,0.2650610183719625,0.22795300010189523
zebra,0.21515386114492638,0.23512992449655373,0.29161322498103415,0.13051462371266487,0.2998865361742749,0.19208854751233806,0.10527019023390702,0.09549242488572524,0.250860312161116,0.07230433151941514,0.004915872307854789,0.04121959983811927,0.10249645662578136,0.3123468291277966,0.1870938734392915,0.1900300062820316,0.30844221131257304,0.31169880875541994,-0.01039843462964873,0.1078663034469234,0.2970615536828787,0.24858270655102016,0.32578455367285264,0.2949332602493854,0.32861770628087533
