animal,amber,black,blue,bright,brown,dark,flash,gold,gray,light,medium,multi,neutral,orange,pattern,patterns,pink,red,single,spots,stripes,tan,tawny,white,yellow
bat,0.10982078623924198,0.13161894043383668,0.10740229315874171,0.05674743046311904,0.17326277388262404,0.07222363819722427,0.09582774973341218,0.05186014662551181,0.08559939271453962,0.10097168966178421,0.13718685225362526,0.005527834049256187,5.388527965095911e-4,0.1317153535164965,0.09749350881352423,0.07183187488810955,0.17858503769542403,0.1156052981814668,0.18758788983367825,0.048896952296532493,0.004234052514215826,0.11668171307649328,0.09860937588820273,0.09500058700013315,0.13236641019797232
beaver,0.1379694685145982,0.16887085471223973,0.14170958469351408,0.04386903866849715,0.26263967853838227,0.09208199035745872,0.02011674606810361,0.1063494036801582,0.15170856404087008,0.032603135756878225,0.022028664211518535,0.06819154467522424,-0.00836221114310859,0.09059894551559337,0.11137334467505904,0.12079328317414752,0.13782335281080543,0.12952148962982027,-0.0015525945454419128,0.0772126884993638,0.08126291591253242,0.13550529499884742,0.23288064282153617,0.16352974551139313,0.10273022894953787
boar,0.10118950473898607,0.07071837056471376,0.06507295628061799,-0.0122824537983461,0.1749898936034279,0.03268731189759538,0.01586276685453525,0.09364386545327755,0.10178774212311455,-0.03761259027417123,0.07669881944783138,0.04660694100225804,-0.03590307652546898,0.12306757108996583,0.05239655902847539,0.04090968519310879,0.07146820359520085,0.0966688540168744,0.014748579108035788,0.0688084056102695,0.025057406171583273,0.16062519402660688,0.2768585587638608,0.09814343148679125,0.07327680288869115
cheetah,0.07739605741505921,0.20825832667734476,0.08839999533897712,0.05498343522537773,0.2338334091473019,0.07517849929091673,0.13505182394470613,0.0883872552296132,0.15284219598230206,0.026469325651913234,0.11949340703549766,0.08820139414661791,-0.027700673667298403,0.10890506939057991,0.08862008597314708,0.10226432297593754,0.16815530876776671,0.09240229351662112,0.02733262421725332,0.06598003125699779,0.026581320707542426,0.1463499743077942,0.268812688254501,0.1852334851672802,0.13466294834412715
crow,0.15176754011372312,0.1616490894052935,0.16470706200665078,0.12366805392238976,0.20566904361810068,0.12160463229615327,0.06659946890262645,0.11908583898827943,0.13533004045687008,0.0840792919649775,0.02057346585407806,-0.010131773039424117,-0.03681083021141683,0.14669623395818218,0.08246631363923133,0.0415195174647596,0.1335744262811865,0.16727253607174175,-0.004806636231272505,0.04470266781225449,0.15232743004815852,0.1651988360792736,0.17697424455145572,0.14618554840607617,0.12782830134072723
deer,0.13138776271579214,0.0920389062813119,0.05149973973083591,0.05128093928508658,0.18199343392502157,0.09995799924463461,0.0971150880249028,0.07555034973412762,0.15285449539464474,0.0983801494015302,-0.04206037483238041,0.04362873200401244,0.012404819965764534,0.12494234248286713,0.11195980776428532,0.10416589879736295,0.05003786702703704,0.1337707656586883,0.09868333936287658,0.11203626257709674,0.03844159233143226,0.11522500067232859,0.15584160225312121,0.09576870747700149,0.08126745702001044
dolphin,0.11076267551557822,0.13001641582559276,0.15020340662643863,0.049702359740597224,0.15835046579873435,0.03453210933033824,0.04229150456734325,0.08235285844553118,0.14042364600609614,0.0820167429690471,0.06618731994098086,0.08620568067016623,-0.014694966366869396,0.1085608050464283,0.13848410180142703,0.17197361492333788,0.19717182792358956,0.12590882869803263,0.028248312537490848,0.07403304169905248,0.09293656344473909,0.11741737540111653,0.15447245176816718,0.14575456902132236,0.1468680161218849
elephant,0.12108317555527702,0.27433497699734477,0.15060999815081458,0.06516572230343419,0.26104285762319845,0.12274489943258964,0.06242611445788835,0.19351053054599393,0.1689463443872359,0.08276655539131413,0.08499400822907369,0.12020260648061472,0.08956881469019647,0.16323740613936139,0.11874279915726328,0.08846132603448678,0.2121250757293988,0.19462396683854277,0.013387927696572322,-0.013041761104995891,0.06723308791176609,0.08700385000078345,0.20677756296589958,0.30481091164222474,0.19732596482239956
flamingo,0.18562977554515814,0.1298945871398727,0.18891919263528065,0.0855789625768812,0.25092546214124894,0.06004570530802173,0.12072882938952466,0.14379821377687801,0.10060146519192432,0.04308953759256629,0.013306109444078104,0.04194419050686386,0.0057599726380399,0.2539300615331524,0.12748759794805165,0.11255292506708608,0.32262233787893574,0.136357341267715,0.04237606362460998,0.06586944136972214,0.1091391904186285,0.2297774354148377,0.2504516391017669,0.16161298203203406,0.20043158318333393
giraffe,0.0746327256820114,0.1701619592724996,0.12745446723743084,0.08649935110542224,0.21271516408196478,0.10487849533570459,0.05270128034001621,0.05067685055815046,0.1118033172596267,0.025848214429885354,0.06442576595631286,0.060614008511836306,0.026582451589530872,0.14554644958442672,0.19368124872500356,0.18604303136553602,0.26248929791734377,0.09155951548468981,-0.006637628875745151,0.05658644553279085,0.0721318337164749,0.1318094488034794,0.2738262510700555,0.17038741640697191,0.14255269747915675
goat,0.07085551315355941,0.14849782917652635,0.09384940714966569,-0.009504408667524028,0.2261418319647577,0.08636378799686506,-0.0010621596163943971,0.11193710655345578,0.08169030816121782,0.011671974430005177,-0.01760524812888935,0.04049210693209051,0.0479105773543086,0.18027897348398955,0.03809020269551024,0.014000017252349043,0.12297028505498903,0.11541820038426079,0.07973975697863754,0.02119139061236235,0.06859292572078986,0.15790558749594596,0.2474507876287376,0.16270542167403454,0.10276451917243636
gorilla,0.10721903115490186,0.20506464638365704,0.0915193587751197,-0.010973718129173148,0.1535606447208686,0.07630722002564969,0.07194177795532941,0.10061575300701209,0.08774380366438111,0.05918260438116883,0.07479654281324415,0.12974635260392198,0.08120592796354173,0.13089092778869302,0.14435380212798413,0.13363950885534065,0.16323442261143362,0.10643920979344236,0.028684970550590747,-0.019014890792865523,0.024305554103859376,0.07438073180598033,0.16237122271179533,0.16819070810594572,0.10338204395568845
grizzly,0.03946379814290296,0.13241862904739846,0.027130650027406517,0.014938461402326082,0.15885616323665872,0.07845859575722099,0.06423644229126467,0.11017961608543506,0.12478834411350341,-0.00611936412159948,-0.011752272825156094,0.04245181405583525,0.010002736343910983,0.06887700701207551,0.08305943103086148,0.03467704389636293,0.023806947934866624,0.05436433497530719,0.11391545099542202,0.07951121407760423,0.05153767824764037,0.05631226430036348,0.1615107743041788,0.08889664997179862,0.05616201245973918
