animal,amber,black,blue,bright,brown,dark,gold,gray,grey,light,medium,multi,neutral,ochre,orange,pattern,patterns,pink,red,spots,stripes,tan,tawny,white,yellow
bat,0.322386452445206,0.33708695669086797,0.3354906136584335,0.2639905740119123,0.3081314292168944,0.27900457362131936,0.2585903886696746,0.25383835005621125,0.2320899385951061,0.3605782646433904,0.18831071416361056,0.18359970401410394,0.21112889969875376,0.19750413714101545,0.31045435311953556,0.26566842944002306,0.18897624128457702,0.3098871734617619,0.3415014400198839,0.297000947209112,0.2431306263277276,0.30064761361523024,0.205101455402752,0.28978292783706855,0.30535209041674005
beaver,0.2797649603565861,0.2797867023631176,0.28811681480319873,0.26793519477787425,0.3610968066167266,0.2523031985002424,0.31298456698000454,0.35248994312776577,0.3079651885783087,0.2035858843997302,0.2349710834963086,0.08455125944836733,0.11539630269464538,0.27143763863533676,0.2756383736539346,0.15185791580854896,0.1768153604186892,0.3032982650024887,0.279504106221732,0.3028260879386933,0.2664806499126405,0.2885264523963897,0.34487518033249787,0.3453600025601336,0.2760311951060818
boar,0.21084951703389104,0.20978882390982778,0.26612033207607594,0.16652257821584138,0.20454069296348729,0.22977029488603828,0.2497296224025823,0.26985744061828426,0.2787464003866211,0.19433971449133783,0.2506405488618173,0.06018515840193721,0.05751058719884959,0.277116441385415,0.2847753338670027,0.18894766732353419,0.1908222986985182,0.2692100100624634,0.23087713254103961,0.273383828094303,0.22899426881325827,0.22503701631772927,0.2234406447480353,0.22856824541613396,0.25681874877020267
cheetah,0.2236282849971949,0.26725786757615516,0.27754858076971534,0.17748177573144325,0.24714247866073327,0.2418257175372736,0.23477888394825616,0.19952952287247316,0.2129780409377286,0.2667002065630245,0.22911412114318064,0.17492491828223863,0.13902908751130622,0.12613773872646677,0.23331245949407764,0.26286312159690073,0.25094625444662105,0.30844134913985627,0.23794928346885194,0.3266672932105067,0.30230913995426717,0.2276688267735702,0.24681174589501542,0.26932133543302206,0.26930280844156906
crow,0.2609245961114431,0.3926308491732818,0.28914885796588297,0.2531341625841566,0.37106618607628816,0.2960921737582489,0.28815945410794996,0.30461063647625086,0.28547614739011634,0.3376936236608099,0.23240861975912805,0.13345108613237913,0.09105676613979047,0.20369854506377727,0.27003161140105664,0.25111256676681515,0.20557178582954225,0.26189254775117415,0.2194700831191744,0.32298429789659855,0.32007793239701,0.27772314424471556,0.2717315551043419,0.33863051253939186,0.2754196337718054
deer,0.315263196086192,0.28949187635375273,0.33932473850018596,0.28217828375980325,0.3252424402665487,0.30403212269622776,0.24516542382670256,0.3475266706832995,0.32569307471016434,0.3186954578558374,0.2391402011888951,0.13426637457050522,0.0891428130110568,0.28150698392970436,0.35569392236339853,0.22881269112074357,0.23985661743042316,0.28264069032254646,0.3538901886490887,0.40195271969742774,0.25156840389375035,0.33255577233678163,0.2865805417490798,0.3456185162556765,0.2881928004064268
dolphin,0.2941932162052874,0.2260197769467554,0.3506850955161873,0.1603047350983906,0.2557103816760131,0.17688802910499157,0.23638196507808568,0.2336247804461455,0.2117328540683052,0.22924421488435548,0.24122578656998928,0.23418364004176223,0.13386280068296721,0.22730715947185218,0.2004154227646412,0.20579152125023326,0.18512550041017198,0.31426709169639083,0.17610218437552239,0.18940764559035692,0.2077085201534634,0.18090447871072735,0.2917503923286661,0.2628335192677991,0.22221622978567004
elephant,0.2757967820196115,0.3224625718014529,0.2944394511607342,0.15592178279655275,0.24840923149825334,0.2552139896074485,0.2985618679405364,0.29472322453149,0.26478713491036304,0.23208215030854593,0.20927071097555122,0.16513744731241914,0.14344060995989336,0.2753075107061536,0.3217796619250001,0.18528935502985266,0.18353511172829,0.3716039104509428,0.20412045605834894,0.23619809336242106,0.28504049028859696,0.2444110681717056,0.27984297916199347,0.3264863243437483,0.2890336671255648
flamingo,0.22818516541012154,0.21594114520517116,0.32027825325406517,0.19165200789200934,0.19317449180422705,0.1587130303134864,0.2145710957639445,0.19829967382617505,0.2183538797909611,0.21028396236376687,0.229220553611764,0.15887618178805596,0.18055090261885348,0.19508134854260564,0.3155464567609766,0.16205978383924421,0.13748468454484855,0.38967997612793714,0.18608549394862878,0.26884459197342786,0.24063373352299167,0.21709890438439308,0.3499270038823847,0.21458179359916368,0.27996877295055156
giraffe,0.14951331584693603,0.24767240394520404,0.3344121787677462,0.1635269666044193,0.2573772414230133,0.18717715206143057,0.2067800215283328,0.249532279820902,0.24665199833279153,0.16649929046880904,0.26398304953611423,0.11822165486245183,0.13072529756614423,0.1983221567271719,0.29853967021488853,0.11004491696678377,0.1347076237207435,0.4145740609459952,0.17250315765944177,0.24227215140305924,0.28772169824487465,0.14704796244027546,0.2721982899438006,0.2852108422496962,0.31513091638524265
