animal,amber,black,blue,bright,brown,dark,gold,gray,grey,light,medium,multi,neutral,ochre,orange,pattern,patterns,pink,red,spots,stripes,tan,tawny,white,yellow
goat,0.18900695089277325,0.3286483382688247,0.2208363792578064,0.1663020061812017,0.26091422427147104,0.2502304815869606,0.23814388648207677,0.25644964007169063,0.25020093380801334,0.22818002249797978,0.24047561328911699,0.07272346719081402,0.10428531878968705,0.17516145711620887,0.2870300479631682,0.09048165043567513,0.1052486794998321,0.25512412484078756,0.18529768491134246,0.24352093682035272,0.19014314935381207,0.19807496616382467,0.1824116754007932,0.291378935489445,0.23320325815114107
gorilla,0.20574191021827137,0.32419802300455375,0.2922090490785208,0.1605038200851701,0.30849086404123427,0.2554699066704012,0.2161790428733534,0.27833789889820737,0.29770383749713963,0.18500483321244202,0.24601662646696365,0.16987403377935825,0.15961019800551332,0.15934770138824814,0.3145674569761054,0.20972508198885076,0.22546407000785054,0.40803073409139423,0.23403838619335726,0.18560329282170535,0.25650186867339236,0.24788277985966534,0.1964012435430005,0.31766573032165396,0.2528128523309645
grizzly,0.16453725934114835,0.24947475743512693,0.20357183668896775,0.12047734574295237,0.30367387759739883,0.27580536726055976,0.20216658374301996,0.2660997264972577,0.17659120945464074,0.10806020882757536,0.2919655490755416,0.1480033877428725,0.11806302476036667,0.20616508048827628,0.20942993151208278,0.21447223344560723,0.24280271229302,0.18399557941737268,0.12440122859205756,0.3022395181031495,0.19128626065305376,0.16623301947981975,0.2897749324956436,0.2172311962746221,0.17691649092053696
hippo,0.2326081332027585,0.24215977475318562,0.25767247240630115,0.141879062423652,0.23869685069458327,0.18279887697833794,0.18258804249800614,0.2017875975033757,0.14728322794778154,0.14839792582213227,0.21164239589969547,0.13183122970991468,0.11704939814007904,0.187001919098248,0.23978745299808485,0.1426420461064488,0.12892584763544807,0.3236271054472243,0.15532008299843897,0.2552942006599318,0.2267152420884394,0.14950794972744036,0.276501868150797,0.2000096472273996,0.2477567960048679
lion,0.2679173383560351,0.3685397031918485,0.31896763090678726,0.267126415875902,0.2780031767019784,0.3160705971765946,0.3653382939585017,0.26682143059013586,0.29361170173099527,0.3047657846617096,0.19306632543646507,0.14494513323289385,0.06470790270387872,0.20401499128851835,0.22353032724380528,0.2531767599693395,0.23122644510740936,0.23682563433532278,0.36832446887416176,0.303158929505909,0.30758438194016247,0.30523774746581633,0.20900274790662762,0.34745808874119793,0.3038768490111743
llama,9.458652406355149e-4,0.13601380639019417,0.12352869321029461,0.047573341180432306,0.19015438313080454,0.07719203401004084,0.08789250458381655,0.14862876729493277,0.07334571451840077,0.08491105629016248,0.21579133649525487,0.11034805443720912,0.04804458058699913,0.09060697444797765,0.15858939646980894,0.07429406366664826,0.08173321173657327,0.1547636122467129,0.09100423180804004,0.07180596895761658,0.04266183680504759,0.2090461486724788,0.15596247043882883,0.107689346967267,0.13429689031789097
mammoth,0.18025991356880708,0.1478598579865792,0.1815074250300128,0.08979109955225509,0.20469076545805917,0.1530370721999397,0.3034264968340307,0.1583458828725017,0.12078632440684639,0.1575691182481527,0.28025673762398645,0.19052087903743062,0.06685243885776378,0.23648351526752207,0.1263467439344991,0.16601385557745407,0.19589848173091726,0.20874978876305889,0.11792482892611303,0.21156975967528846,0.16068410894868054,0.12737679089322523,0.25874681902426544,0.15689041902178064,0.12934792754997837
panda,0.28010209509464923,0.3486128940604647,0.2783020143706166,0.16344576641836872,0.26459810302328485,0.21529948347211872,0.2643006870894739,0.2632049124228624,0.24894399871041376,0.20876253472861517,0.21834353176179538,0.1534837730907574,0.061771346369454215,0.16397565672242667,0.27219390076254596,0.19761819355855645,0.22994278152799102,0.3295085276524934,0.23398669979256653,0.26956067895536373,0.2636868859436288,0.3527570745303009,0.22518455579800464,0.2965219752117983,0.26735887619814913
panther,0.3047263577364449,0.4895104818902019,0.40530090842660393,0.22555525026526665,0.36379132937640657,0.3451688835079103,0.35209154263574377,0.33277316603490875,0.3005896405843431,0.2377065959615913,0.19512497384347505,0.21535653146431435,0.17934645424639184,0.2723282187958485,0.32823639543796934,0.2759931665460852,0.19807939618122414,0.4631725459821275,0.3179076795642412,0.267763082171702,0.3390619473309096,0.33994571797261147,0.22904155791224676,0.4199696093546937,0.3638448267077421
pig,0.16091213966535145,0.2773512391911785,0.23223666526576892,0.15386156186638267,0.24299683741092362,0.1934972276893386,0.21772004745024895,0.24066910790191567,0.2497254585266718,0.1361003986371444,0.20492038240444807,0.11399690421546783,0.19371309929492098,0.14081521186138865,0.21052516653828804,0.11986840084688277,0.13858433648795984,0.30426745546853096,0.1472040859117027,0.22450634137926553,0.18325135840030984,0.20737311351623466,0.17821430468413116,0.23933520481018794,0.2762421183162906
pigeon,0.17289329864842323,0.2620916689614074,0.26232021642547587,0.13789831929953889,0.2634375954234899,0.1379466309010936,0.22089300935795977,0.2500673972487458,0.16626992549519923,0.1808844817332625,0.16993793773317753,0.13250735404758407,0.1669852821743496,0.20939626054467475,0.30989985707419754,0.15679564365910972,0.12356920139616795,0.3247993896598303,0.17485374267706463,0.2367161822632863,0.21686265321769854,0.200977569935774,0.2413506640503122,0.26675717036687663,0.3254121838880809
polarbear,0.14421396006107892,0.20559129430532555,0.20040596129709187,0.22743393410632637,0.1803096349972844,0.22522651093025872,0.20524947522192905,0.17617139921021016,0.1415091447064783,0.2783346403857277,0.1805791637635466,0.20526941909430574,0.24516954354345633,0.20797307294965603,0.17393517148670537,0.1794523222987418,0.1799601434651961,0.07759020951531788,0.1490265558775737,0.23898628041973205,0.2276700971686337,0.23861160477880528,0.18706689756995404,0.21332635202282785,0.15080650792829323
rhino,0.2051183517051926,0.3225855617890244,0.21092214198161457,0.05397879527965554,0.20919269132263227,0.2199960076091237,0.17823871187341414,0.21485467001455286,0.20094775322448852,0.17230490363280876,0.245829227215386,0.1552352008904601,0.09519020317551975,0.2744472591015061,0.2534037091069219,0.08073139257810127,0.10617937804700414,0.24836417153536974,0.1892675596622429,0.22869571181457504,0.21238523363342043,0.1670910443008294,0.24520598011151967,0.2719835563272632,0.20242028282185356
shark,0.3137776424322633,0.34712313821163004,0.3729231413832524,0.16390735543876747,0.30825338481473125,0.25735747342241666,0.2555874021264799,0.306006000792308,0.2763645892050982,0.2051861634580543,0.2769400305296282,0.2055539267685009,0.14659192284696038,0.15281534889798384,0.2794408709767744,0.2524191210941745,0.22136348917178086,0.29570495334839086,0.24810255203031445,0.30911179902431873,0.23441423194869632,0.31671302212556934,0.2632019501876,0.3368604008759437,0.2891744821361301
sheep,0.12494821947750157,0.3426701323518394,0.273107865599428,0.16919937152205197,0.25231099395198653,0.22605161482835806,0.25171019676712647,0.28195383695887494,0.32421055081757494,0.22402229405295845,0.17805077521399007,0.08972241754509909,0.13416265162949206,0.20978123562449075,0.1911993962743676,0.17187414870371917,0.23211930670163772,0.25737969790874715,0.19604152577308193,0.26587166882567254,0.29610005548549734,0.19189120440018437,0.1592845946057677,0.29129092042077726,0.2431807113235301
skunk,0.27293037300003403,0.22290482107270143,0.2510930784702992,0.19805799202165345,0.26166519563953405,0.17793690209249602,0.15079591137168685,0.20979748535280293,0.1851158971495512,0.2025113449869253,0.09326136572918015,0.074567738088998,0.18008474901403884,0.22746143834474827,0.3160998450692003,0.012727909083127256,0.03130769432007514,0.34113458501702676,0.17599823432017064,0.19599763552113691,0.19182147669126678,0.22143581861697692,0.20436539454216243,0.23147621763157333,0.3274699154957779
sloth,0.17250741724900787,0.19755520930233866,0.18101567756758952,0.15444249850203928,0.1740031669420303,0.23243857248211922,0.15996320196230687,0.13018308409538473,0.1771912458550897,0.17679854224904323,0.20405516943110819,0.1827109568171328,0.0862539728238164,0.12331853457975954,0.12932006608609428,0.21092876608046543,0.21957188836448466,0.20308701818628272,0.08418832134982392,0.22629605278221912,0.1642519979650786,0.1770161957426694,0.17627753511279953,0.15985469230057334,0.20659806063255137
swan,0.3033851065600288,0.4112538326583569,0.3350562720991981,0.2267738888807093,0.3285230706146046,0.3361532981643748,0.28613829856255935,0.3430224410623121,0.3795840203501005,0.23009038549362376,0.1974428754428554,0.22037316580620436,0.13018925969412454,0.21559238622453591,0.2159128563373042,0.18851637771812765,0.13453409872424107,0.32752459256338795,0.18996639796855888,0.22451346963915925,0.3151582487553376,0.18964827426429562,0.31812848420443257,0.3481445729717892,0.26497198887951556
zebra,0.18266020585745418,0.3215058676248235,0.363978756079025,0.1357377423824189,0.2950375524547816,0.1558607737336184,0.14593182912143582,0.2686859792748247,0.2644493970811598,0.12506208424810053,0.167765294488048,0.15178294065420636,0.11463343147452745,0.2552729737217963,0.3585494023963242,0.24171465162335198,0.20058179477438173,0.38056739318653626,0.23518473126036463,0.25533060602595586,0.41044511445265963,0.1444058944154507,0.2351989607181538,0.32990388949657584,0.36831316191350333
