animal1,animal2,language_similarity_simple_dist_color
bat,bat,0
beaver,bat,0.41326651937415027
boar,bat,0.38110640522818573
cheetah,bat,0.4033210717542165
crow,bat,0.5819026736258376
deer,bat,0.342791086510405
dolphin,bat,0.4066764357508575
elephant,bat,0.30999732077074255
flamingo,bat,0.7529748029939
giraffe,bat,0.4838687775082758
goat,bat,0.4488839836811511
gorilla,bat,0.5608822882390124
grizzly,bat,0.4544968888292679
hippo,bat,0.6152037971190377
lion,bat,0.41122511770084463
llama,bat,0.700098634686817
mammoth,bat,0.49764331567143305
panda,bat,0.4281811406414177
panther,bat,0.5918499630573455
pig,bat,0.6625230344996242
pigeon,bat,0.3321738224946801
rhino,bat,0.7810266550797327
shark,bat,0.3231117631894093
sheep,bat,0.33500420318973306
skunk,bat,0.5801233741625383
sloth,bat,0.4390232211053635
swan,bat,0.42121007808440375
zebra,bat,0.460521477341827
bat,beaver,0.41326651937415027
beaver,beaver,0
boar,beaver,0.2972744571155894
cheetah,beaver,0.5117528934340851
crow,beaver,0.3689049294682843
deer,beaver,0.2766010402980675
dolphin,beaver,0.6039701526648615
elephant,beaver,0.376690657256843
flamingo,beaver,0.5672060509241907
giraffe,beaver,0.5664591770509417
goat,beaver,0.4371814785103573
gorilla,beaver,0.7650477230990315
grizzly,beaver,0.5791168160439396
hippo,beaver,0.7405501539607932
lion,beaver,0.4242444769607928
llama,beaver,0.8365028574942013
mammoth,beaver,0.6899436445512814
panda,beaver,0.6204001254519108
panther,beaver,0.3113891021506848
pig,beaver,0.8642465258008367
pigeon,beaver,0.3444667152340673
rhino,beaver,0.9551147387456959
shark,beaver,0.49835407292004713
sheep,beaver,0.34616485740641884
skunk,beaver,0.5518527338292253
sloth,beaver,0.5885810698709076
swan,beaver,0.3660756977736858
zebra,beaver,0.5349497573047338
bat,boar,0.38110640522818573
beaver,boar,0.2972744571155894
boar,boar,0
cheetah,boar,0.3507903028646003
crow,boar,0.55778891531303
deer,boar,0.3750087831330326
dolphin,boar,0.43142803368454324
elephant,boar,0.2609668054902725
flamingo,boar,0.6833535732698882
giraffe,boar,0.37678769658214756
goat,boar,0.2774882521657966
gorilla,boar,0.5743771053249682
grizzly,boar,0.4006351312362657
hippo,boar,0.5109706527586041
lion,boar,0.4080982233147429
llama,boar,0.6295100304094369
mammoth,boar,0.47860421331739617
panda,boar,0.4635894573047387
panther,boar,0.5086411966839355
pig,boar,0.6425717549677731
pigeon,boar,0.27977560903430526
rhino,boar,0.7352753888976139
shark,boar,0.35953291493393125
sheep,boar,0.23810950421177304
skunk,boar,0.4095584103770329
sloth,boar,0.43222704115523436
swan,boar,0.3814347628758541
zebra,boar,0.41558520509299735
bat,cheetah,0.4033210717542165
beaver,cheetah,0.5117528934340851
boar,cheetah,0.3507903028646003
cheetah,cheetah,0
crow,cheetah,0.7330837856003994
deer,cheetah,0.5586079624813447
dolphin,cheetah,0.24249344710388826
elephant,cheetah,0.2721945459189005
flamingo,cheetah,0.8165416661823806
giraffe,cheetah,0.2233886889601117
goat,cheetah,0.3578959840273679
gorilla,cheetah,0.3497067531596914
grizzly,cheetah,0.27207533398467276
hippo,cheetah,0.32861890659419796
lion,cheetah,0.49952575517614245
llama,cheetah,0.45256296435277615
mammoth,cheetah,0.3725327596273457
panda,cheetah,0.2454891569315197
panther,cheetah,0.7194640556257346
pig,cheetah,0.44258950862785995
pigeon,cheetah,0.33375392932477826
rhino,cheetah,0.5315555069916987
shark,cheetah,0.23585510921782107
sheep,cheetah,0.27744845644933835
skunk,cheetah,0.3600718683449846
sloth,cheetah,0.2560351323620994
swan,cheetah,0.4549635896000655
zebra,cheetah,0.23347012403566197
bat,crow,0.5819026736258376
beaver,crow,0.3689049294682843
boar,crow,0.55778891531303
cheetah,crow,0.7330837856003994
crow,crow,0
deer,crow,0.4959027543641992
dolphin,crow,0.8119695940010944
elephant,crow,0.5720213749842082
flamingo,crow,0.3989316846146353
giraffe,crow,0.7841014092536207
goat,crow,0.6501780579306778
gorilla,crow,0.9699525781637774
grizzly,crow,0.8164089047833188
hippo,crow,0.9603987783240238
lion,crow,0.6991806037577017
llama,crow,1.0666612025359268
mammoth,crow,0.9147521566905675
panda,crow,0.8404028493433566
panther,crow,0.25909000524485076
pig,crow,1.0779965038621429
pigeon,crow,0.5506503769001894
rhino,crow,1.2004597621584532
shark,crow,0.6777919575901252
sheep,crow,0.5682311243848969
skunk,crow,0.7392797658407744
sloth,crow,0.8100643781028966
swan,crow,0.404910487113503
zebra,crow,0.717469043637483
bat,deer,0.342791086510405
beaver,deer,0.2766010402980675
boar,deer,0.3750087831330326
cheetah,deer,0.5586079624813447
crow,deer,0.4959027543641992
deer,deer,0
dolphin,deer,0.6218908641876267
elephant,deer,0.4354042313525256
flamingo,deer,0.6992799263643257
giraffe,deer,0.6357464680930317
goat,deer,0.5458535276926443
gorilla,deer,0.7916572431453924
grizzly,deer,0.5879717489129599
hippo,deer,0.7840854906229522
lion,deer,0.345569629389706
llama,deer,0.8818319719580529
mammoth,deer,0.6893270289467132
panda,deer,0.6408074128241038
panther,deer,0.4241292614461741
pig,deer,0.8865229197714504
pigeon,deer,0.4224724241947193
rhino,deer,0.9768448057104401
shark,deer,0.5258109005501329
sheep,deer,0.4236086521286769
skunk,deer,0.6602646340619608
sloth,deer,0.6288030601491783
swan,deer,0.5130749721286754
