animal,amber,black,blue,bright,brown,dark,flash,gold,gray,grey,light,medium,multi,neutral,ochre,orange,pattern,patterns,pink,red,single,spots,stripes,tan,tawny,white,yellow
bat,0.3001412219900791,0.5034218575394519,0.42309288571821835,0.36701283590485173,0.45714194957863435,0.43709428884953105,0.3327362570652228,0.25772709095306257,0.38244706278127943,0.3567150437401822,0.30222403531356556,0.298183512491832,0.162211407314296,0.0736646536993147,0.3205598936071405,0.2757422440441057,0.4187254533426166,0.24570247114002242,0.35113114263465633,0.48657216660650904,0.3051230920829545,0.476984836228134,0.4418076178973054,0.4472308369281671,0.34794102936477356,0.44725215896550563,0.400033004685576
beaver,0.30779185536526854,0.4140310727974842,0.4571446086737205,0.34398656127090255,0.5243058158476369,0.2892953651051599,0.2506187301751134,0.3724353761351094,0.4683988277160486,0.47814978956289095,0.21097120538023537,0.26088136837880344,0.11067141282800291,0.09231303859723285,0.34679557870492633,0.459615889342707,0.2355051815473521,0.2462512964161704,0.3932817127092171,0.4856065065694245,0.15030857697761515,0.36184705869082423,0.3340470230004796,0.27949021865063234,0.4007598504090022,0.4292167798876746,0.39622649878442445
boar,0.21946717035030522,0.378491065751704,0.31573384224814444,0.3099915541960097,0.3267699778272212,0.3700258138832593,0.09190323875513773,0.32129582086633207,0.2898771412413496,0.41705828709173465,0.2179829433323932,0.24936017599704352,0.05199629826582973,0.05498348610199674,0.4303839723596316,0.20717633047112022,0.24285911924835935,0.20548925754180036,0.3024142241022593,0.33435580064767884,0.18200895845577791,0.3555420528466945,0.29236612270688545,0.3461004333019731,0.43080923059226467,0.35059893745329923,0.3592656358960019
cheetah,0.30217901986748336,0.36708345318137736,0.415159541378214,0.39177998016877214,0.4402739719366957,0.39726102195788593,0.34073001414058635,0.2528369050455798,0.45730381152308286,0.5000427601265147,0.2590005206865301,0.4103246925200186,0.22925841491438298,0.10078046958329913,0.34509850056947183,0.29062777122908856,0.37453198240956664,0.33588919809365664,0.4651311495270773,0.34237701038493307,0.28238340827964614,0.4598828736642767,0.3854670493729267,0.43068763562092793,0.47779253505045866,0.3542876023400062,0.40072548315560746
crow,0.25829649036786756,0.6164631849948575,0.4767352796491707,0.40196135673540084,0.6067957606140207,0.4606219685284807,0.2250374254654385,0.32270581622380123,0.5438347779658108,0.5406160301458501,0.25226268950380387,0.34373178293856105,0.21248297042066086,0.04802852650365971,0.39568601633793565,0.3395972802323125,0.278855522378776,0.2937133106543096,0.5058498580903349,0.4378363637411937,0.34099510903098756,0.40452031217135576,0.44359394255774737,0.3665312258404644,0.5240580445992088,0.583086685023176,0.43559008011570877
deer,0.2589330672966528,0.3618050303560431,0.39059047674149033,0.3007940514534336,0.406339876683493,0.2863365578344385,0.16246364460028567,0.3423717567010199,0.3777863946246525,0.44124884976753015,0.26155211839386366,0.3154569002408831,0.00807400205654105,0.03199670218712307,0.3390399318874257,0.36927562913186107,0.2441908951383405,0.2251819973970012,0.3242862066903142,0.5022978154433306,0.18769504665826656,0.4700806096325903,0.3054056101047578,0.3247230044670955,0.4241093680013429,0.3771812675263921,0.3933020142360985
dolphin,0.22919944643914053,0.3457515139964663,0.4532939079487104,0.3163654024516195,0.4297849730862915,0.2616499498854271,0.13294480964224753,0.2241944870285841,0.510032365931842,0.4821136329165897,0.2658567304716907,0.31261674535465633,0.13608333098138065,0.05502677621699541,0.3331882820065846,0.2970204729045438,0.30359510346938123,0.28713547322700606,0.44371913452516876,0.34475992410970663,0.16681412929233588,0.37115934229839165,0.389262683160142,0.38146319599433914,0.4687424022270403,0.32934984991768346,0.42338386244244197
elephant,0.28252546801492584,0.4364038001333369,0.3648111600939059,0.30503495246910006,0.3984884624217029,0.3172695614847493,0.2632998045321786,0.3178265491344542,0.4266642347193607,0.4192450720289245,0.23607679745039406,0.31314440134003535,0.23248672521849068,0.04535816563321756,0.37319769288974447,0.31828494389997186,0.29086734957837873,0.23942252961179394,0.4767244054999732,0.3527375696808951,0.33710909734577577,0.42710338778960616,0.38261005132916515,0.3099862660656043,0.3825875532625721,0.437236810694475,0.40904389660725476
flamingo,0.3222560041499659,0.475522804796528,0.48753356091823846,0.3592014882255936,0.5343598569805145,0.38720621493031515,0.2690375461789419,0.3265194698991621,0.5463562195459464,0.5356829471012041,0.2488325125062636,0.3490257941703856,0.1899543162082189,0.09797410068524852,0.335488889596632,0.447968617607952,0.2166668307144009,0.23460817636882966,0.5953885865140431,0.41617946009644347,0.28239005267107586,0.4559884807122889,0.4445511190437345,0.2652231238810691,0.4794843872741945,0.4288087839920657,0.4625049578926874
giraffe,0.19476845683581284,0.3109467616886962,0.3737123923998692,0.32496205069640166,0.3719859567582601,0.3089245296171443,0.13207774615428058,0.2230302632944361,0.4814287611705899,0.4225301792234925,0.2309878830002684,0.3404899592589822,0.2146432697297644,0.12642554737893674,0.36972261602549017,0.2805108034637702,0.3999303214886088,0.38205567388602657,0.43507982977337606,0.3394390676094668,0.28813286510149744,0.45529242907547895,0.45570674261529454,0.3130747663385504,0.41156510854246386,0.33803590035920156,0.4317155083122954
