colorname,n
green,314145
blue,287938
purple,249182
pink,130998
brown,75798
red,69922
teal,57123
orange,52193
yellow,44068
magenta,43720
grey,36125
violet,32801
turquoise,26292
lavender,25794
cyan,24735
tan,23976
aqua,23316
mauve,19147
gray,18237
olive,17552
maroon,16370
lilac,15702
salmon,14541
black,14327
beige,14319
fuschia,13153
peach,12021
lime,11585
periwinkle,11131
indigo,10674
rose,8810
mustard,8733
aquamarine,7774
navy,7211
gold,6265
plum,5948
khaki,4911
burgundy,4835
chartreuse,4619
lavendar,4380
mint,4362
taupe,4209
seafoam,4040
puce,3994
nigger,3838
sand,3684
fuscia,3502
fuchsia,3467
slate,3348
cerulean,3267
