animal,amber,black,blue,bright,brown,dark,flash,gold,gray,grey,light,medium,multi,neutral,ochre,orange,pattern,patterns,pink,red,single,spots,stripes,tan,tawny,white,yellow
bat,0.38645106807958096,0.3742954068967803,0.35224158363109787,0.36374811970692933,0.38889535353333965,0.3588902953041346,0.3595773217181929,0.2988910616066846,0.3549116396474179,0.31841881133854905,0.4019075557922936,0.1982057587535348,0.21749407939467985,0.17364119480373036,0.1718402500875977,0.3430210637997945,0.3630972268045232,0.3259206090196764,0.32811155808716863,0.25882570769856444,0.39920252245799326,0.33252231216350636,0.3072118795407701,0.38228371497393354,0.2790562733881764,0.3339457887729627,0.33589279592861626
beaver,0.40276654095750775,0.3863721780437277,0.40861090588183935,0.34106400478614657,0.5025380449473404,0.42300142850889616,0.28930868749112887,0.36636588862192043,0.5043137394140395,0.4473545228396091,0.37327015511920675,0.22683550125268837,0.12069276178886477,0.14149349993004787,0.3085672523551066,0.36943000642874924,0.3594566403195786,0.35558725493430654,0.3958515776252096,0.3696204456850149,0.2591684583056801,0.34762513903217745,0.3379109114721703,0.43175040368728457,0.42900919113805,0.40421035120065335,0.37305831909013476
boar,0.39350569047794653,0.34952601405782685,0.32712653505336226,0.2947383749197421,0.41776849702233837,0.40919444389516224,0.30995748187363387,0.29580513224053995,0.409300889261536,0.37945879760358586,0.3070441040246317,0.25012257484752853,0.17736851464006964,0.1153982053771906,0.3392987737969638,0.3363088863732523,0.2985622072018848,0.24756216309240459,0.35449414972255405,0.32049312264407703,0.255404737181567,0.32646386630366186,0.26900688675720735,0.3722401755667104,0.49011265193153086,0.3244425411759989,0.3229382117217995
cheetah,0.2802217790679663,0.33034527683923987,0.35788668929745954,0.3067095323589516,0.36063537679125907,0.2958202033683736,0.31123062360092285,0.30820966571101804,0.3350279388250237,0.301783624453207,0.18919203721014552,0.1716112240368214,0.18742049020158896,0.17196979003484045,0.1959014193207342,0.31396570314573674,0.2936528281769933,0.2579833629641003,0.3758706304007799,0.16204186737276827,0.20519573593883544,0.29486405124114967,0.2952440030859071,0.3381582656680122,0.43518119194587906,0.27580006471018087,0.3315330333163001
crow,0.4457607223258552,0.4577852715036837,0.5159265686052972,0.4846730636969335,0.5174740319319912,0.5190630489486269,0.4115915431662405,0.3631997641264081,0.5568379536001042,0.5885613493398825,0.4281161180892376,0.2441349396030783,0.1869331089761315,0.17368741357747056,0.31503547454838343,0.41453501752063543,0.394906727314735,0.3404089336682444,0.4834697529646089,0.2718325052921146,0.3490478930345497,0.401891208478917,0.3660907080737657,0.4888605073771092,0.45110661598460533,0.41187415432315466,0.4418325264499103
deer,0.3988159142254878,0.3851039065247981,0.34866787774414004,0.37640215703557395,0.4427451258231619,0.39843342169912327,0.3162237600628148,0.31411612226771773,0.47471322028719176,0.3709834286020214,0.4318641685411168,0.18986898289931545,0.12761286894578708,0.17334790369490444,0.23817182522542146,0.35253597814609994,0.3708336738349037,0.3878073892127529,0.29614776153816025,0.4602854302526407,0.3700200276411002,0.44383820677447305,0.35641567180579237,0.4133823944690946,0.4113544264610962,0.3441935975787512,0.3459180145539046
dolphin,0.3291798152834036,0.2384589698872866,0.3849899290855664,0.2925882282395859,0.2933760201368604,0.2657381403478914,0.3319586091166134,0.31615705207593175,0.31069996561885793,0.2766588124959442,0.2738355755450122,0.15958882764734664,0.22465235455239715,0.17204387872570615,0.24213792670900144,0.28597366139260444,0.2552976705166458,0.2626049704156358,0.38909184235555794,0.14856107886866474,0.25606930015327284,0.2652637639067963,0.22268616865849378,0.301426735842352,0.3298400261738886,0.2152183316360002,0.29186298273021366
elephant,0.35560502958140583,0.38028360799992966,0.3556641074674564,0.32217687806743206,0.3548905318356258,0.347471787481461,0.2987830697166284,0.32979310424960345,0.3964613850698013,0.35350944746048923,0.27511603071526697,0.21476770631090025,0.2836114044612539,0.21221839270711382,0.2721565396109519,0.37703375655013627,0.3127240939173499,0.288779226887664,0.4107666181441655,0.24907159794638437,0.2936452955239791,0.2921987263845551,0.2885540393087307,0.3247382783517531,0.422154329155669,0.33792285931083865,0.3931707911846815
flamingo,0.511784807846221,0.4358493940095863,0.5703675694532875,0.5235890870203075,0.49252212153531044,0.4592365862838265,0.44982765033204253,0.39790072806480187,0.4635165916376151,0.46655910000040884,0.37243554714544774,0.2310903336091203,0.24880576277519503,0.19610891735655606,0.4293823596602432,0.5570023243794484,0.29745288166833467,0.2856941789754573,0.6526252658508689,0.2831158348825396,0.2731337147078569,0.43313192120748933,0.4409140174394737,0.43782813383207664,0.5286739558108584,0.45014313357142266,0.5632328597062867
giraffe,0.32784929912457084,0.30679309989295606,0.31151793834393576,0.28280792560208207,0.4076375348455942,0.33818365554560725,0.207900370656452,0.23114863032351,0.3292568630102118,0.3479410450109116,0.1973285029641885,0.12435624071681449,0.2373717857363058,0.14221522751737234,0.2406236664455805,0.2834138440933565,0.273127523044718,0.24119946891212168,0.3876976442170091,0.11560567166042986,0.22374370544442448,0.2216441578889559,0.2518364120752493,0.3058095020305335,0.46792965396927905,0.2735946819024748,0.31574376156240164
