animal1,animal2,language_similarity_simple_dist_color
bat,bat,0
beaver,bat,0.34571864144800535
boar,bat,0.3591583266404048
cheetah,bat,0.3138455610403606
crow,bat,0.3368205301676502
deer,bat,0.28627275930654106
dolphin,bat,0.27379518235082007
elephant,bat,0.43933170597535454
flamingo,bat,0.40585965330742935
giraffe,bat,0.3647567489850134
goat,bat,0.34053651173325533
gorilla,bat,0.29971005778029536
grizzly,bat,0.3312401811725818
hippo,bat,0.36190831807729584
killerwhale,bat,0.3453346356297622
lion,bat,0.3702865893625562
llama,bat,0.36710169988407454
mammoth,bat,0.3881624017433267
panda,bat,0.3276393409710539
panther,bat,0.5248631585120918
pig,bat,0.25149865124065934
pigeon,bat,0.2844774163441815
polarbear,bat,0.27017483542765747
rhino,bat,0.3830407846514483
shark,bat,0.3192822672475917
sheep,bat,0.3538457591378102
skunk,bat,0.40467548542226317
sloth,bat,0.3731903023019541
swan,bat,0.534247057255855
zebra,bat,0.732623442812065
bat,beaver,0.34571864144800535
beaver,beaver,0
boar,beaver,0.2657774620340643
cheetah,beaver,0.20854479870391354
crow,beaver,0.214963044076457
deer,beaver,0.26594184003575705
dolphin,beaver,0.19869932955790548
elephant,beaver,0.3130299907966919
flamingo,beaver,0.3269815298237101
giraffe,beaver,0.22903508065744996
goat,beaver,0.24209083865381933
gorilla,beaver,0.26123713457605896
grizzly,beaver,0.3208486596560672
hippo,beaver,0.19223309082644868
killerwhale,beaver,0.3163088130603253
lion,beaver,0.2825196046757437
llama,beaver,0.23023157315068368
mammoth,beaver,0.49364114079190374
panda,beaver,0.28691534760768644
panther,beaver,0.3838482368556091
pig,beaver,0.22012926642143094
pigeon,beaver,0.23134982085153624
polarbear,beaver,0.19548146658454793
rhino,beaver,0.19859196818599195
shark,beaver,0.25434449543641646
sheep,beaver,0.18644594878444162
skunk,beaver,0.29507339212817185
sloth,beaver,0.3716727497335342
swan,beaver,0.36751344384002776
zebra,beaver,0.5857444355286229
bat,boar,0.3591583266404048
beaver,boar,0.2657774620340643
boar,boar,0
cheetah,boar,0.28430545536874097
crow,boar,0.341111408346614
deer,boar,0.29983313494650865
dolphin,boar,0.32332061983808164
elephant,boar,0.4874672759829517
flamingo,boar,0.440377027753395
giraffe,boar,0.36631488107281074
goat,boar,0.2328414540439945
gorilla,boar,0.3382859694107215
grizzly,boar,0.26348979435825126
hippo,boar,0.28646807413919845
killerwhale,boar,0.30547783491441544
lion,boar,0.382661213534458
llama,boar,0.21017449079728498
mammoth,boar,0.4923216668543673
panda,boar,0.4412974230552506
panther,boar,0.5461921652207683
pig,boar,0.2932945063597075
pigeon,boar,0.33776059629219635
polarbear,boar,0.3214594938490433
