animal,sub_id,word_id,word,sub_type
bat,CB_01,w1,rough,CB
bat,CB_02,w1,feathers,CB
bat,CB_03,w1,skin,CB
bat,CB_04,w1,leathery,CB
bat,CB_05,w1,short,CB
bat,CB_06,w1,soft,CB
bat,CB_08,w1,feathers,CB
bat,CB_09,w1,thin,CB
bat,CB_10,w1,rough,CB
bat,CB_11,w1,feathers,CB
bat,CB_12,w1,soft,CB
bat,CB_13,w1,fur,CB
bat,CB_14,w1,feathers,CB
bat,CB_15,w1,fur,CB
bat,CB_16,w1,rough,CB
bat,CB_17,w1,coarse,CB
bat,CB_18,w1,hair,CB
bat,CB_19,w1,feathers,CB
bat,CB_23,w1,fine,CB
beaver,CB_01,w1,long,CB
beaver,CB_02,w1,fur,CB
beaver,CB_03,w1,fine,CB
beaver,CB_04,w1,hi,CB
beaver,CB_05,w1,long,CB
beaver,CB_06,w1,soft,CB
beaver,CB_08,w1,rough,CB
beaver,CB_09,w1,rough,CB
beaver,CB_10,w1,wet,CB
beaver,CB_11,w1,fur,CB
beaver,CB_12,w1,soft,CB
beaver,CB_13,w1,fur,CB
beaver,CB_14,w1,slimy,CB
beaver,CB_15,w1,fur,CB
beaver,CB_16,w1,fur,CB
beaver,CB_17,w1,soft,CB
beaver,CB_18,w1,fluff,CB
beaver,CB_19,w1,fur,CB
beaver,CB_23,w1,fine,CB
boar,CB_01,w1,short,CB
boar,CB_02,w1,fur,CB
boar,CB_03,w1,fine,CB
boar,CB_04,w1,short,CB
boar,CB_05,w1,bushy,CB
boar,CB_06,w1,rough,CB
boar,CB_08,w1,rough,CB
boar,CB_09,w1,rough,CB
boar,CB_10,w1,rough,CB
boar,CB_11,w1,rough,CB
boar,CB_12,w1,coarse,CB
boar,CB_13,w1,rough,CB
boar,CB_14,w1,short,CB
boar,CB_15,w1,bristly,CB
boar,CB_16,w1,fur,CB
boar,CB_17,w1,tough,CB
boar,CB_18,w1,bristly,CB
boar,CB_19,w1,rough,CB
boar,CB_23,w1,thick,CB
cheetah,CB_01,w1,short,CB
cheetah,CB_02,w1,fur,CB
cheetah,CB_03,w1,fine,CB
cheetah,CB_04,w1,short,CB
cheetah,CB_05,w1,short,CB
cheetah,CB_06,w1,soft,CB
cheetah,CB_08,w1,soft,CB
cheetah,CB_09,w1,thin,CB
cheetah,CB_10,w1,rough,CB
cheetah,CB_11,w1,smooth,CB
cheetah,CB_12,w1,coarse,CB
cheetah,CB_13,w1,fur,CB
cheetah,CB_14,w1,short,CB
cheetah,CB_15,w1,fur,CB
cheetah,CB_16,w1,fur,CB
cheetah,CB_17,w1,short,CB
cheetah,CB_18,w1,shaggy,CB
cheetah,CB_19,w1,fur,CB
cheetah,CB_23,w1,thick,CB
crow,CB_01,w1,feathers,CB
crow,CB_02,w1,feathers,CB
crow,CB_03,w1,feathers,CB
crow,CB_04,w1,feathers,CB
crow,CB_05,w1,feathers,CB
crow,CB_06,w1,feathers,CB
crow,CB_08,w1,feathers,CB
crow,CB_09,w1,fluff,CB
crow,CB_10,w1,feathers,CB
crow,CB_11,w1,feathers,CB
crow,CB_12,w1,feathers,CB
crow,CB_13,w1,feathers,CB
crow,CB_14,w1,feathers,CB
crow,CB_15,w1,feathers,CB
crow,CB_16,w1,rough,CB
crow,CB_17,w1,coarse,CB
crow,CB_18,w1,feathers,CB
crow,CB_19,w1,feathers,CB
crow,CB_23,w1,fine,CB
deer,CB_01,w1,short,CB
deer,CB_02,w1,fur,CB
deer,CB_03,w1,fur,CB
deer,CB_04,w1,short,CB
deer,CB_05,w1,short,CB
deer,CB_06,w1,soft,CB
deer,CB_08,w1,soft,CB
deer,CB_09,w1,thick,CB
deer,CB_10,w1,soft,CB
deer,CB_11,w1,smooth,CB
deer,CB_12,w1,coarse,CB
deer,CB_13,w1,fur,CB
deer,CB_14,w1,short,CB
deer,CB_15,w1,fur,CB
deer,CB_16,w1,fur,CB
deer,CB_17,w1,soft,CB
deer,CB_18,w1,hair,CB
deer,CB_19,w1,fur,CB
deer,CB_23,w1,thick,CB
dolphin,CB_01,w1,smooth,CB
dolphin,CB_02,w1,scales,CB
dolphin,CB_03,w1,scales,CB
dolphin,CB_04,w1,smooth,CB
dolphin,CB_05,w1,smooth,CB
dolphin,CB_06,w1,scales,CB
dolphin,CB_08,w1,smooth,CB
dolphin,CB_09,w1,slick,CB
dolphin,CB_10,w1,wet,CB
dolphin,CB_11,w1,rough,CB
dolphin,CB_12,w1,slippery,CB
dolphin,CB_13,w1,smooth,CB
dolphin,CB_14,w1,slimy,CB
dolphin,CB_15,w1,smooth,CB
dolphin,CB_16,w1,smooth,CB
dolphin,CB_17,w1,soft,CB
dolphin,CB_18,w1,unknown,CB
dolphin,CB_19,w1,scales,CB
dolphin,CB_23,w1,slippery,CB
elephant,CB_01,w1,short,CB
elephant,CB_02,w1,fur,CB
elephant,CB_03,w1,thick,CB
elephant,CB_04,w1,leather,CB
elephant,CB_05,w1,rough,CB
elephant,CB_06,w1,smooth,CB
elephant,CB_08,w1,rough,CB
elephant,CB_09,w1,rough,CB
elephant,CB_10,w1,rough,CB
elephant,CB_11,w1,smooth,CB
elephant,CB_12,w1,coarse,CB
elephant,CB_13,w1,rough,CB
elephant,CB_14,w1,coarse,CB
elephant,CB_15,w1,smooth,CB
elephant,CB_16,w1,rough,CB
elephant,CB_17,w1,tough,CB
elephant,CB_18,w1,hair,CB
elephant,CB_19,w1,rough,CB
elephant,CB_23,w1,rough,CB
flamingo,CB_01,w1,smooth,CB
flamingo,CB_02,w1,feathers,CB
flamingo,CB_03,w1,feathers,CB
flamingo,CB_04,w1,feathers,CB
flamingo,CB_05,w1,feathers,CB
flamingo,CB_06,w1,feathers,CB
flamingo,CB_08,w1,feathers,CB
flamingo,CB_09,w1,fluffy,CB
flamingo,CB_10,w1,feathers,CB
flamingo,CB_11,w1,feathers,CB
flamingo,CB_12,w1,feathers,CB
flamingo,CB_13,w1,feathers,CB
flamingo,CB_14,w1,feathers,CB
flamingo,CB_15,w1,feathers,CB
flamingo,CB_16,w1,smooth,CB
flamingo,CB_17,w1,coarse,CB
flamingo,CB_18,w1,feathers,CB
flamingo,CB_19,w1,feathers,CB
flamingo,CB_23,w1,fine,CB
giraffe,CB_01,w1,long,CB
giraffe,CB_02,w1,fur,CB
giraffe,CB_03,w1,skin,CB
giraffe,CB_04,w1,short,CB
giraffe,CB_05,w1,short,CB
giraffe,CB_06,w1,soft,CB
giraffe,CB_08,w1,rough,CB
giraffe,CB_09,w1,thin,CB
giraffe,CB_10,w1,rough,CB
giraffe,CB_11,w1,smooth,CB
giraffe,CB_12,w1,rough,CB
giraffe,CB_13,w1,rough,CB
giraffe,CB_14,w1,coarse,CB
giraffe,CB_15,w1,smooth,CB
