word,type
circular,shape
wings,shape
slick,shape
medium,shape
soft,shape
wide,shape
thin,shape
round,shape
ugly,shape
big,shape
compact,shape
long,shape
small,shape
powerful,shape
flat,shape
skinny,shape
coarse,shape
fat,shape
large,shape
tall,shape
feathers,shape
little,shape
slippery,shape
oblong,shape
huge,shape
slender,shape
rough,shape
upright,shape
symmetrical,shape
arms,shape
wooly,shape
short,shape
legs,shape
fur,shape
graceful,shape
body,shape
feet,shape
lean,shape
strange,shape
highback,shape
square,shape
hair,shape
muscular,shape
gentle,shape
scales,shape
bulky,shape
strong,shape
gangly,shape
elongated,shape
skin,shape
erect,shape
bumbling,shape
bodies,shape
tail,shape
smooth,shape
shapely,shape
standard,shape
fins,shape
neck,shape
taller,shape
unmuscular,shape
larger,shape
horns,shape
webbed,shape
rounded,shape
hand,shape
upsidedown,shape
slim,shape
squat,shape
rectangular,shape
lanky,shape
streamlined,shape
parabolic,shape
sit,shape
oval,shape
ovals,shape
size,shape
torso,shape
plump,shape
height,shape
ears,shape
features,shape
paws,shape
chunky,shape
tails,shape
limbs,shape
low,shape
furball,shape
cylindrical,shape
hooves,shape
stacked,shape
thick,shape
normal,shape
nose,shape
circle,shape
hands,shape
tiny,shape
ground,shape
belly,shape
stout,shape
stouts,shape
bat,target_animal
beaver,target_animal
boar,target_animal
cheetah,target_animal
crow,target_animal
deer,target_animal
dolphin,target_animal
elephant,target_animal
flamingo,target_animal
giraffe,target_animal
goat,target_animal
gorilla,target_animal
grizzly,target_animal
hippo,target_animal
killerwhale,target_animal
lion,target_animal
llama,target_animal
mammoth,target_animal
panda,target_animal
panther,target_animal
pig,target_animal
pigeon,target_animal
polarbear,target_animal
rhino,target_animal
shark,target_animal
sheep,target_animal
skunk,target_animal
sloth,target_animal
swan,target_animal
zebra,target_animal
goldfish,texture_animal
snake,texture_animal
crocodile,texture_animal
lizard,texture_animal
eel,texture_animal
shark,texture_animal
turtle,texture_animal
toad,texture_animal
dolphin,texture_animal
frog,texture_animal
worm,texture_animal
elephant,texture_animal
hippo,texture_animal
rhino,texture_animal
pig,texture_animal
platypus,texture_animal
seal,texture_animal
ferret,texture_animal
gorilla,texture_animal
sheep,texture_animal
fox,texture_animal
bear,texture_animal
horse,texture_animal
donkey,texture_animal
cat,texture_animal
penguin,texture_animal
ostrich,texture_animal
flamingo,texture_animal
peacock,texture_animal
pigeon,texture_animal
fur,texture_word
scales,texture_word
skin,texture_word
feathers,texture_word
animals,texture_word
animal,texture_word
feather,texture_word
scale,texture_word
brown,color
bright,color
dark,color
light,color
black,color
gray,color
multi,color
white,color
spots,color
stripes,color
red,color
tan,color
pattern,color
medium,color
blue,color
flash,color
neutral,color
grey,color
pink,color
gold,color
orange,color
patterns,color
single,color
semibright,color
yellow,color
tawny,color
amber,color
ochre,color
rough,texture
feathers,texture
skin,texture
leathery,texture
short,texture
soft,texture
thin,texture
fur,texture
coarse,texture
hair,texture
fine,texture
long,texture
wet,texture
slimy,texture
fluff,texture
bushy,texture
bristly,texture
tough,texture
thick,texture
smooth,texture
shaggy,texture
scales,texture
slick,texture
slippery,texture
leather,texture
fluffy,texture
medium,texture
wool,texture
fleece,texture
wooly,texture
brushy,texture
curly,texture
course,texture
rubber,texture
silk,texture
flat,texture
valuable,texture
sparse,texture
light,texture
fuzz,texture
bristles,texture
small,texture
big,texture
wiry,texture
rubbery,texture
coat,texture
hide,texture
wrinkled,texture
scaly,texture
circular,texture
