animal,sub_id,word_id,word,sub_type
bat,CB_01,w1,brown,CB
bat,CB_02,w1,bright,CB
bat,CB_03,w1,dark,CB
bat,CB_04,w1,light,CB
bat,CB_05,w1,brown,CB
bat,CB_06,w1,bright,CB
bat,CB_08,w1,fly,CB
bat,CB_09,w1,dark,CB
bat,CB_10,w1,black,CB
bat,CB_11,w1,gray,CB
bat,CB_12,w1,black,CB
bat,CB_13,w1,black,CB
bat,CB_14,w1,multi,CB
bat,CB_15,w1,white,CB
bat,CB_16,w1,spots,CB
bat,CB_17,w1,black,CB
bat,CB_18,w1,black,CB
bat,CB_19,w1,birds,CB
bat,CB_23,w1,dark,CB
beaver,CB_01,w1,brown,CB
beaver,CB_02,w1,dark,CB
beaver,CB_03,w1,stripes,CB
beaver,CB_04,w1,light,CB
beaver,CB_05,w1,brown,CB
beaver,CB_06,w1,dark,CB
beaver,CB_08,w1,dark,CB
beaver,CB_09,w1,white,CB
beaver,CB_10,w1,white,CB
beaver,CB_11,w1,white,CB
beaver,CB_12,w1,dark,CB
beaver,CB_13,w1,light,CB
beaver,CB_14,w1,light,CB
beaver,CB_15,w1,brown,CB
beaver,CB_16,w1,exotic,CB
beaver,CB_17,w1,white,CB
beaver,CB_18,w1,IDK,CB
beaver,CB_19,w1,wild,CB
beaver,CB_23,w1,multi,CB
boar,CB_01,w1,brown,CB
boar,CB_02,w1,ambiguous,CB
boar,CB_03,w1,red,CB
boar,CB_04,w1,dark,CB
boar,CB_05,w1,brown,CB
boar,CB_06,w1,dark,CB
boar,CB_08,w1,dark,CB
boar,CB_09,w1,dark,CB
boar,CB_10,w1,brown,CB
boar,CB_11,w1,gray,CB
boar,CB_12,w1,dark,CB
boar,CB_13,w1,black,CB
boar,CB_14,w1,dark,CB
boar,CB_15,w1,white,CB
boar,CB_16,w1,exotic,CB
boar,CB_17,w1,tan,CB
boar,CB_18,w1,IDK,CB
boar,CB_19,w1,wild,CB
boar,CB_23,w1,black,CB
cheetah,CB_01,w1,white,CB
cheetah,CB_02,w1,dark,CB
cheetah,CB_03,w1,dark,CB
cheetah,CB_04,w1,light,CB
cheetah,CB_05,w1,spots,CB
cheetah,CB_06,w1,stripes,CB
cheetah,CB_08,w1,spots,CB
cheetah,CB_09,w1,pattern,CB
cheetah,CB_10,w1,brown,CB
cheetah,CB_11,w1,multi,CB
cheetah,CB_12,w1,stripes,CB
cheetah,CB_13,w1,dark,CB
cheetah,CB_14,w1,light,CB
cheetah,CB_15,w1,stripes,CB
cheetah,CB_16,w1,spots,CB
cheetah,CB_17,w1,stripes,CB
cheetah,CB_18,w1,spots,CB
cheetah,CB_23,w1,black,CB
crow,CB_01,w1,black,CB
crow,CB_02,w1,dark,CB
crow,CB_03,w1,red,CB
crow,CB_04,w1,dark,CB
crow,CB_05,w1,black,CB
crow,CB_06,w1,dark,CB
crow,CB_08,w1,fly,CB
crow,CB_09,w1,dark,CB
crow,CB_10,w1,black,CB
crow,CB_11,w1,white,CB
crow,CB_12,w1,black,CB
crow,CB_13,w1,dark,CB
crow,CB_14,w1,light,CB
crow,CB_15,w1,black,CB
crow,CB_16,w1,black,CB
crow,CB_17,w1,black,CB
crow,CB_18,w1,black,CB
crow,CB_19,w1,birds,CB
crow,CB_23,w1,dark,CB
deer,CB_01,w1,brown,CB
deer,CB_02,w1,bright,CB
deer,CB_03,w1,dark,CB
deer,CB_04,w1,light,CB
deer,CB_05,w1,brown,CB
deer,CB_06,w1,bright,CB
deer,CB_08,w1,dark,CB
deer,CB_09,w1,white,CB
deer,CB_11,w1,multi,CB
deer,CB_12,w1,dark,CB
deer,CB_13,w1,dark,CB
deer,CB_14,w1,dark,CB
deer,CB_15,w1,black,CB
deer,CB_16,w1,white,CB
deer,CB_17,w1,tan,CB
deer,CB_18,w1,brown,CB
deer,CB_19,w1,wild,CB
deer,CB_23,w1,brown,CB
dolphin,CB_01,w1,white,CB
dolphin,CB_02,w1,bright,CB
dolphin,CB_03,w1,medium,CB
dolphin,CB_04,w1,light,CB
dolphin,CB_05,w1,gray,CB
dolphin,CB_06,w1,bright,CB
dolphin,CB_08,w1,water,CB
dolphin,CB_09,w1,environment,CB
dolphin,CB_10,w1,blue,CB
dolphin,CB_11,w1,gray,CB
dolphin,CB_12,w1,black,CB
dolphin,CB_13,w1,water,CB
dolphin,CB_14,w1,multi,CB
dolphin,CB_15,w1,flash,CB
dolphin,CB_16,w1,black,CB
dolphin,CB_17,w1,white,CB
dolphin,CB_18,w1,IDK,CB
dolphin,CB_19,w1,water,CB
dolphin,CB_23,w1,multi,CB
elephant,CB_01,w1,brown,CB
elephant,CB_02,w1,dark,CB
elephant,CB_03,w1,red,CB
elephant,CB_04,w1,dark,CB
elephant,CB_05,w1,gray,CB
elephant,CB_06,w1,bright,CB
elephant,CB_08,w1,dark,CB
elephant,CB_09,w1,neutral,CB
elephant,CB_10,w1,white,CB
elephant,CB_11,w1,gray,CB
elephant,CB_12,w1,black,CB
elephant,CB_13,w1,dark,CB
elephant,CB_14,w1,light,CB
elephant,CB_15,w1,grey,CB
elephant,CB_16,w1,white,CB
elephant,CB_17,w1,brown,CB
elephant,CB_18,w1,IDK,CB
elephant,CB_19,w1,zoo,CB
elephant,CB_23,w1,black,CB
flamingo,CB_01,w1,black,CB
flamingo,CB_02,w1,dark,CB
flamingo,CB_03,w1,stripes,CB
flamingo,CB_04,w1,bright,CB
flamingo,CB_05,w1,pink,CB
flamingo,CB_06,w1,bright,CB
flamingo,CB_08,w1,bright,CB
flamingo,CB_09,w1,environment,CB
flamingo,CB_10,w1,pink,CB
flamingo,CB_11,w1,multi,CB
flamingo,CB_12,w1,pink,CB
flamingo,CB_13,w1,pink,CB
flamingo,CB_14,w1,light,CB
flamingo,CB_15,w1,pink,CB
flamingo,CB_16,w1,black,CB
flamingo,CB_17,w1,white,CB
flamingo,CB_18,w1,multi,CB
flamingo,CB_19,w1,birds,CB
flamingo,CB_23,w1,multi,CB
giraffe,CB_01,w1,white,CB
giraffe,CB_02,w1,ambiguous,CB
giraffe,CB_03,w1,white,CB
giraffe,CB_04,w1,light,CB
giraffe,CB_05,w1,spots,CB
giraffe,CB_06,w1,stripes,CB
giraffe,CB_08,w1,dark,CB
giraffe,CB_09,w1,neutral,CB
giraffe,CB_10,w1,brown,CB
giraffe,CB_11,w1,gray,CB
giraffe,CB_12,w1,dark,CB
giraffe,CB_13,w1,black,CB
giraffe,CB_14,w1,dark,CB
giraffe,CB_15,w1,brown,CB
giraffe,CB_16,w1,spots,CB
giraffe,CB_17,w1,stripes,CB
giraffe,CB_18,w1,spots,CB
giraffe,CB_19,w1,zoo,CB
giraffe,CB_23,w1,black,CB
goat,CB_01,w1,brown,CB
goat,CB_02,w1,ambiguous,CB
goat,CB_03,w1,dark,CB
goat,CB_04,w1,dark,CB
goat,CB_05,w1,brown,CB
goat,CB_06,w1,dark,CB
goat,CB_08,w1,dark,CB
goat,CB_09,w1,neutral,CB
goat,CB_10,w1,white,CB
goat,CB_11,w1,multi,CB
goat,CB_12,w1,dark,CB
goat,CB_13,w1,light,CB
goat,CB_14,w1,multi,CB
goat,CB_15,w1,white,CB
goat,CB_16,w1,spots,CB
goat,CB_17,w1,tan,CB
goat,CB_18,w1,white,CB
goat,CB_19,w1,farm,CB
goat,CB_23,w1,black,CB
gorilla,CB_01,w1,white,CB
gorilla,CB_02,w1,dark,CB
gorilla,CB_03,w1,dark,CB
gorilla,CB_04,w1,dark,CB
gorilla,CB_05,w1,brown,CB
gorilla,CB_06,w1,dark,CB
gorilla,CB_08,w1,IDK,CB
gorilla,CB_09,w1,white,CB
gorilla,CB_10,w1,brown,CB
gorilla,CB_11,w1,multi,CB
gorilla,CB_12,w1,dark,CB
gorilla,CB_13,w1,dark,CB
gorilla,CB_14,w1,dark,CB
gorilla,CB_15,w1,brown,CB
gorilla,CB_16,w1,spots,CB
gorilla,CB_17,w1,brown,CB
gorilla,CB_18,w1,IDK,CB
gorilla,CB_19,w1,zoo,CB
gorilla,CB_23,w1,brown,CB
grizzly,CB_01,w1,black,CB
grizzly,CB_02,w1,bright,CB
grizzly,CB_03,w1,white,CB
grizzly,CB_04,w1,dark,CB
grizzly,CB_05,w1,brown,CB
grizzly,CB_06,w1,dark,CB
grizzly,CB_08,w1,dark,CB
grizzly,CB_09,w1,dark,CB
grizzly,CB_10,w1,brown,CB
grizzly,CB_11,w1,gray,CB
grizzly,CB_12,w1,brown,CB
grizzly,CB_13,w1,black,CB
grizzly,CB_14,w1,dark,CB
grizzly,CB_15,w1,white,CB
grizzly,CB_16,w1,spots,CB
grizzly,CB_17,w1,white,CB
grizzly,CB_18,w1,IDK,CB
grizzly,CB_19,w1,wild,CB
grizzly,CB_23,w1,white,CB
hippo,CB_01,w1,brown,CB
hippo,CB_02,w1,dark,CB
hippo,CB_03,w1,medium,CB
hippo,CB_04,w1,light,CB
hippo,CB_05,w1,gray,CB
hippo,CB_06,w1,stripes,CB
hippo,CB_08,w1,dark,CB
hippo,CB_09,w1,white,CB
hippo,CB_10,w1,black,CB
hippo,CB_11,w1,white,CB
hippo,CB_12,w1,pink,CB
hippo,CB_13,w1,dark,CB
hippo,CB_14,w1,dark,CB
hippo,CB_15,w1,flash,CB
hippo,CB_16,w1,white,CB
hippo,CB_17,w1,stripes,CB
hippo,CB_18,w1,IDK,CB
hippo,CB_19,w1,wild,CB
hippo,CB_23,w1,brown,CB
killerwhale,CB_01,w1,white,CB
killerwhale,CB_02,w1,bright,CB
killerwhale,CB_03,w1,medium,CB
killerwhale,CB_04,w1,light,CB
killerwhale,CB_05,w1,gray,CB
killerwhale,CB_06,w1,bright,CB
killerwhale,CB_08,w1,water,CB
killerwhale,CB_09,w1,environment,CB
killerwhale,CB_10,w1,blue,CB
killerwhale,CB_11,w1,multi,CB
killerwhale,CB_12,w1,blue,CB
killerwhale,CB_13,w1,water,CB
killerwhale,CB_14,w1,multi,CB
killerwhale,CB_15,w1,flash,CB
killerwhale,CB_16,w1,black,CB
killerwhale,CB_17,w1,white,CB
killerwhale,CB_18,w1,IDK,CB
killerwhale,CB_19,w1,water,CB
killerwhale,CB_23,w1,black,CB
lion,CB_01,w1,white,CB
lion,CB_02,w1,dark,CB
lion,CB_03,w1,dark,CB
lion,CB_04,w1,bright,CB
lion,CB_05,w1,brown,CB
lion,CB_06,w1,stripes,CB
lion,CB_08,w1,dark,CB
lion,CB_09,w1,neutral,CB
lion,CB_10,w1,white,CB
lion,CB_11,w1,multi,CB
lion,CB_12,w1,red,CB
lion,CB_13,w1,dark,CB
lion,CB_14,w1,dark,CB
lion,CB_15,w1,gold,CB
lion,CB_16,w1,spots,CB
lion,CB_17,w1,stripes,CB
lion,CB_18,w1,orange,CB
lion,CB_19,w1,zoo,CB
lion,CB_23,w1,gold,CB
llama,CB_01,w1,brown,CB
llama,CB_02,w1,ambiguous,CB
llama,CB_03,w1,stripes,CB
llama,CB_04,w1,dark,CB
llama,CB_05,w1,white,CB
llama,CB_06,w1,stripes,CB
llama,CB_08,w1,dark,CB
llama,CB_09,w1,pattern,CB
llama,CB_10,w1,white,CB
llama,CB_11,w1,white,CB
llama,CB_12,w1,brown,CB
llama,CB_13,w1,dark,CB
llama,CB_14,w1,light,CB
llama,CB_15,w1,white,CB
llama,CB_16,w1,spots,CB
llama,CB_17,w1,black,CB
llama,CB_18,w1,IDK,CB
llama,CB_19,w1,wild,CB
llama,CB_23,w1,brown,CB
mammoth,CB_01,w1,brown,CB
mammoth,CB_02,w1,ambiguous,CB
mammoth,CB_03,w1,red,CB
mammoth,CB_04,w1,dark,CB
mammoth,CB_05,w1,brown,CB
mammoth,CB_06,w1,dark,CB
mammoth,CB_08,w1,dark,CB
mammoth,CB_09,w1,pattern,CB
mammoth,CB_10,w1,black,CB
mammoth,CB_11,w1,gray,CB
mammoth,CB_12,w1,dark,CB
mammoth,CB_13,w1,dark,CB
mammoth,CB_14,w1,multi,CB
mammoth,CB_15,w1,white,CB
mammoth,CB_16,w1,exotic,CB
mammoth,CB_17,w1,brown,CB
mammoth,CB_18,w1,white,CB
mammoth,CB_19,w1,wild,CB
mammoth,CB_23,w1,white,CB
panda,CB_01,w1,black,CB
panda,CB_02,w1,ambiguous,CB
panda,CB_03,w1,stripes,CB
panda,CB_04,w1,light,CB
panda,CB_05,w1,white,CB
panda,CB_06,w1,bright,CB
panda,CB_08,w1,spots,CB
panda,CB_09,w1,white,CB
panda,CB_10,w1,black,CB
panda,CB_11,w1,white,CB
panda,CB_12,w1,white,CB
panda,CB_13,w1,light,CB
panda,CB_14,w1,light,CB
panda,CB_15,w1,red,CB
panda,CB_16,w1,spots,CB
panda,CB_17,w1,brown,CB
panda,CB_18,w1,spots,CB
panda,CB_19,w1,bears,CB
panda,CB_23,w1,brown,CB
panther,CB_01,w1,white,CB
panther,CB_02,w1,ambiguous,CB
panther,CB_03,w1,dark,CB
panther,CB_04,w1,dark,CB
panther,CB_05,w1,black,CB
panther,CB_06,w1,dark,CB
panther,CB_08,w1,dark,CB
panther,CB_09,w1,dark,CB
panther,CB_10,w1,pink,CB
panther,CB_11,w1,gray,CB
panther,CB_12,w1,pink,CB
panther,CB_13,w1,dark,CB
panther,CB_14,w1,dark,CB
panther,CB_15,w1,stripes,CB
panther,CB_16,w1,spots,CB
panther,CB_17,w1,brown,CB
panther,CB_18,w1,black,CB
panther,CB_19,w1,wild,CB
panther,CB_23,w1,white,CB
pig,CB_01,w1,brown,CB
pig,CB_02,w1,ambiguous,CB
pig,CB_03,w1,red,CB
pig,CB_04,w1,dark,CB
pig,CB_05,w1,brown,CB
pig,CB_06,w1,dark,CB
pig,CB_08,w1,dark,CB
pig,CB_09,w1,neutral,CB
pig,CB_10,w1,brown,CB
pig,CB_11,w1,multi,CB
pig,CB_12,w1,pink,CB
pig,CB_13,w1,pink,CB
pig,CB_14,w1,light,CB
pig,CB_15,w1,pink,CB
pig,CB_16,w1,exotic,CB
pig,CB_17,w1,tan,CB
pig,CB_18,w1,IDK,CB
pig,CB_19,w1,farm,CB
pig,CB_23,w1,brown,CB
pigeon,CB_01,w1,black,CB
pigeon,CB_02,w1,bright,CB
pigeon,CB_03,w1,dark,CB
pigeon,CB_04,w1,light,CB
pigeon,CB_05,w1,gray,CB
pigeon,CB_06,w1,dark,CB
pigeon,CB_08,w1,fly,CB
pigeon,CB_09,w1,environment,CB
pigeon,CB_10,w1,white,CB
pigeon,CB_11,w1,multi,CB
pigeon,CB_12,w1,blue,CB
pigeon,CB_13,w1,light,CB
pigeon,CB_14,w1,multi,CB
pigeon,CB_15,w1,gray,CB
pigeon,CB_16,w1,black,CB
pigeon,CB_17,w1,black,CB
pigeon,CB_18,w1,IDK,CB
pigeon,CB_19,w1,birds,CB
pigeon,CB_23,w1,brown,CB
polarbear,CB_01,w1,black,CB
polarbear,CB_02,w1,bright,CB
polarbear,CB_03,w1,white,CB
polarbear,CB_04,w1,light,CB
polarbear,CB_05,w1,white,CB
polarbear,CB_06,w1,bright,CB
polarbear,CB_08,w1,dark,CB
polarbear,CB_09,w1,white,CB
polarbear,CB_10,w1,brown,CB
polarbear,CB_11,w1,multi,CB
polarbear,CB_12,w1,white,CB
polarbear,CB_13,w1,light,CB
polarbear,CB_14,w1,dark,CB
polarbear,CB_15,w1,white,CB
polarbear,CB_16,w1,white,CB
polarbear,CB_17,w1,white,CB
polarbear,CB_18,w1,white,CB
polarbear,CB_19,w1,bears,CB
polarbear,CB_23,w1,white,CB
rhino,CB_01,w1,brown,CB
rhino,CB_02,w1,ambiguous,CB
rhino,CB_03,w1,white,CB
rhino,CB_04,w1,dark,CB
rhino,CB_05,w1,black,CB
rhino,CB_06,w1,dark,CB
rhino,CB_08,w1,dark,CB
rhino,CB_09,w1,dark,CB
rhino,CB_10,w1,black,CB
rhino,CB_11,w1,white,CB
rhino,CB_12,w1,stripes,CB
rhino,CB_13,w1,light,CB
rhino,CB_14,w1,dark,CB
rhino,CB_15,w1,gray,CB
rhino,CB_16,w1,white,CB
rhino,CB_17,w1,stripes,CB
rhino,CB_18,w1,IDK,CB
rhino,CB_19,w1,wild,CB
rhino,CB_23,w1,black,CB
shark,CB_01,w1,white,CB
shark,CB_02,w1,bright,CB
