target_word,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101
larger,-0.044734,-0.30379,-0.039628,-0.16799,-0.0093595,0.25156,-0.41681,-0.21909,0.41156,-0.035118,0.4106,-0.014865,-0.29818,-0.11108,-0.27919,0.048934,0.1693,0.58703,0.3542,-0.079037,0.16775,-0.085717,-0.71946,-0.55757,0.11133,0.47197,0.079984,0.14697,-0.072403,-0.095577,-0.38275,0.18281,-0.16196,-0.24194,-0.1491,0.0012694,0.24853,0.12166,-0.2891,-0.048839,-0.078386,-0.12098,-0.042251,0.24455,0.41435,-0.041017,-0.17472,-0.086863,-0.095963,-0.13764,-0.20714,0.2053,0.22051,-0.15838,-0.071152000000000007,-0.029377,0.25637,-0.14958,0.34139,-0.0088711,0.16303,-0.30897,0.65697,-0.19834,0.060374,0.12941,0.17363,0.18602,-0.20946,-0.4541,0.21696,-0.20471,0.27687,0.02362,0.11141,0.24281,0.27711,-0.06896,-0.11114,-0.23976,-0.34368,0.026212,0.035293,0.39207,-0.69943,0.22083,0.33071,-0.038719,-0.44558,-0.21478,-0.20773,-0.084133,0.33049,-0.20116,-0.096027,-0.075985,0.2742,-0.24889,-0.33384,0.090871
wide,0.055236,-0.3039,0.1951,0.35568,0.14176,0.48427,-0.34078,-0.60899,0.56994,-0.031899,0.056709,-0.24007,-0.099391,0.061559,-0.25161,0.10471,-0.13499,0.14051,0.0091051,-0.26847,-0.14868,0.050054,-0.46751,-0.27224,-0.17477,0.25193,0.21544,0.16579,-0.27221,-0.50011,-0.32909,0.25017,-0.029219,0.086614,-0.07371,0.21725,0.37218,0.084366,0.23689,-0.11279,0.064991,0.1079,0.067068,0.86002,0.46008,-0.0068278,-0.30637,0.14334,-0.14236,0.18578,0.057473,0.29296,-0.081424,-0.2813,0.077383,-0.027732,0.22431,-0.0045771,0.14592,-0.009204,-0.18229,0.4762,0.3338,-0.24817,0.16144,-0.063361,0.24883,0.048329,-0.048233,-0.31659,-0.060044,0.19794,-0.18296,-0.14794,-0.01581,0.057096,-0.47913,0.43481,0.038763,-0.34275,-0.021898,-0.6069,0.2264,0.22718,-0.3564,0.28817,0.29738,-0.084314,-0.29574,-0.030728,0.10001,-0.34976,0.33272,-0.11085,-0.21981,-0.33984,0.37314,-0.48991,-0.16766,-0.024649
gold,-0.12551,-0.6916,0.39208,0.28629,-0.096746,-0.099912,-0.12829,0.10788,0.5887,7.5054e-4,0.022711,0.07306,0.093133,-0.29089,0.0041511,-0.87426,-0.0088847,0.27621,-0.45119,-0.0059496,0.68783,0.13495,-0.685,0.11466,-0.19849,0.31551,0.025116,0.55631,-0.42241,-0.13162,-0.28224,-0.1802,-0.22844,0.13099,-0.36155,-0.32245,0.21354,-0.057053,0.55964,0.39554,0.55567,0.11845,-0.35071,0.052915,0.65144,0.2409,-0.2359,0.45122,0.27108,-0.16289,0.15679,0.21773,-0.074921,0.035904,-0.36553,0.12634,0.33729,0.017192,0.29703,0.026756,0.74617,-0.17627,0.058467,-0.22489,-0.18993,0.0028332,-0.3567,0.13299,-0.20103,0.325,-0.36516,0.47933,-0.1557,-0.31126,-0.16232,-0.20051,-0.33554,-0.22575,0.16986,-0.074501,0.29039,0.25961,0.095127,-0.11202,-0.34293,0.43047,0.045429,-0.26872,-0.40513,0.22226,0.7311,-0.10104,0.13778,-0.42918,0.53755,-0.54637,0.50523,-0.037236,0.53696,0.10132
square,0.12235,-0.34429,0.46688,-0.012592,-0.2203,0.46953,-0.11065,-0.52411,0.50382,-0.19269,-0.33842,0.21094,-0.15185,0.29794,-0.41501,-0.10877,0.35356,0.29458,0.21101,-0.31199,0.39354,0.36345,-0.81231,-0.28776,0.2197,0.014078,0.22018,-0.055938,-0.10065,0.35142,-0.475,0.049132,0.082422,-0.61415,-0.65106,0.14151,-0.038083,-0.18222,0.27227,-0.21267,0.43581,-0.39233,0.088638,0.2707,0.48986,-0.24975,-0.051461,-0.047703,-0.14619,-0.12599,-0.11566,-0.059287,0.021732,-0.17655,-0.0053328,-0.057811,-0.033461,-0.23176,0.50226,-0.61371,-0.075493,0.52873,0.4234,-0.23586,0.027295,0.13708,0.069559,0.088861,-0.52877,-0.2626,0.038999,0.068235,-0.072337,-0.87116,0.087438,-0.17923,0.14427,0.66829,0.20994,-0.66536,-0.56405,0.10941,-0.43242,0.2091,-0.30866,0.79458,-0.14851,-0.40897,-0.44013,0.26751,0.17736,0.21435,0.2413,-0.13055,-0.13584,-0.32677,0.008839,0.38636,-0.5529,0.25675
course,0.097015,-0.2242,-0.14079,-0.028642,-0.057941,0.14268,-0.061835,-0.34861,0.52018,-0.30131,-0.11562,-0.058548,0.099826,0.13475,-0.086269,0.031465,-0.020551,-0.099352,-0.18424,-0.15518,0.35989,-0.18399,-0.36297,-0.23122,0.11405,-0.073167,-0.15129,0.24428,-0.25383,0.047727,0.21549,0.15633,-0.10835,-0.24009,-0.076275,-0.17365,0.074566,0.2042,0.036418,-0.02501,-0.055454,-0.12235,-0.095292,0.32587,0.10651,0.034136,0.10177,0.045793,-0.41059,0.067718,0.16463,0.17093,-0.19967,-0.31287,0.076508,0.35449,0.14055,-0.0033918,0.33063,0.28909,-0.0077505,0.08768,-0.10481,-0.35424,0.19569,-0.053169,-0.36398,-0.076782,-0.088613,-0.22443,0.31788,0.20047,0.23476,-0.10498,-0.14123,-0.27749,-0.30363,0.22098,0.40333,-0.0031251,0.040606,-0.10965,0.29608,0.18902,0.021647,-0.20235,0.068314,-0.028405,-0.29495,-0.11169,0.10947,0.21841,-0.066317,-0.21262,-0.050777,-0.48056,-0.081248,-0.23983,-0.26146,0.35398
brown,-0.091362,-0.28312,0.30476,0.38421,0.061091,-0.20415,-0.17359,-0.23057,0.23814,-0.31126,-0.36305,-0.19806000000000001,-0.65599,-0.45613,0.090886,-0.0079209,0.085702,0.1755,-0.082672,0.12854,0.22494,0.15652,-0.36144,0.40155,-0.57144,0.05984,-0.21694,0.23268,-0.63163,-0.25014,-0.24013,0.13117,-0.33051,-0.32404,0.0027591,-0.094554,0.51136,0.27935,0.70612,0.3898,0.035804,-0.113,-0.021598,0.22254,0.41823,0.29113,-0.076551,0.33691,-0.54982,0.021786,0.3187,0.62501,-0.010449,-0.67188,-0.14207,0.080102,0.30483,0.38168,0.18408,-0.20174,-0.092989,-0.34561,0.16121,-0.58041,-0.057337,-0.507,0.12958,0.38672,-0.62474,-0.12759,-0.61908,0.18044,-0.19639,0.068669,0.22034,0.1311,0.21296,-0.11159,0.14211,-0.25387,-0.12407,-0.055955,0.41338,-0.34337,-0.16331,0.029869,-0.3454,-0.13807,-0.35121,-0.17383,0.003719,0.17455,0.61587,-0.075568,-0.18471,-0.51981,0.26888,-0.56014,-0.22259,-0.20299
round,0.54865,-0.41963,-0.004305,0.46151,-0.152,-0.029227,-0.36544,-0.21633,0.69263,-0.71005,0.022455,0.071838,-0.17186,-0.29145,-0.091305,-0.14793,0.16852,0.48519,-0.43225,-0.14228,0.42305,0.067288,-0.26318,-0.05567,0.12266,-0.038831,-0.084997,0.20042,-0.064316,-0.13745,-0.18132,-0.11448,0.11153,-0.28321,-0.37422,0.081864,0.10156,0.14315,-0.076035,0.082285,0.16917,-0.039807,0.2191,0.47862,-0.0040447,0.89576,-0.35437,0.12592,0.27906,0.14706,0.037738,0.41038,-0.43028,-0.35816,-0.15389,-0.30613,0.39816,0.45401,0.52451,-0.10205,0.42631,-0.19282,0.014389,-0.37416,0.015646,0.30021,-0.1332,0.20953,-0.23193,-0.34311,-0.48205,0.45256,0.011562,-0.084747,0.037023,0.042614,-0.24965,0.55982,-0.024417,-0.37148,-0.078961,0.32014,0.019376,0.29668,-0.36736,0.1029,0.58721,-0.18113,-0.22149,-0.18842,0.019914,-0.2082,0.35601,-0.072249,-0.16864,-0.70679,-0.047712,-0.012466,-0.41931,0.37584
arms,-0.23495,-0.48335,-0.18286,0.92689,0.33545,0.11594,-0.26164,-0.070665,0.3387,0.16209,-0.10441,-0.11095,-0.17196,-0.40867,-0.2371,-0.076079,0.51499,0.42642,0.17206,0.16219,0.41317,-0.266,-0.74327,-0.085173,-0.47753,0.45301,0.19214,0.11812,-0.12402,0.37964,0.040302,0.28684,0.072368,0.4821,-0.3045,0.27841,0.46932,-0.25564,0.0074523,0.16111,0.3729,-0.10623,0.27702,0.27332,0.19674,-0.51926,0.079763,0.118,-0.026039,-0.31451,0.26781,-0.31986,0.34055,-0.58987,0.068111,0.10535,0.56493,0.33036,0.5908,0.11934,0.053895,-0.2904,0.24331,-0.43127,0.57413,0.072563,-0.41838,0.22473,0.23567,0.029172,-0.08561,-0.022832,0.3332,-0.33934,-0.5108,-0.20991,0.10412,-0.059092,0.16627,-0.48385,-0.5344,0.19227,0.04232,0.176,-0.2285,0.45898,0.43961,0.20151,-0.52873,0.40178,-0.42358,0.087558,-0.0075904,-0.28476,-0.049477,-0.13042,0.18601,0.1689,-0.22912,0.11168
dark,-0.39891,-0.040763,0.43562,0.45674,0.031605,0.073711,-0.29255,-0.10546,0.04665,-0.68743,0.024621,0.018719,-0.49341,-0.042063,0.029338,-0.098344,-0.13363,-0.25038,0.36447,-0.021603,0.45812,-0.095431,-0.44445,-0.019511,-0.72019,0.055756,0.0074692,0.60953,-0.034861,-0.29082,-0.030404,0.17175,-0.47715,0.069749,-0.18888,-0.54925,0.26146,0.61515,0.20931,0.45062,0.18442,0.29551,0.3494,0.35528,0.61526,0.052299,-0.24801,0.2983,-0.35961,0.018709,-0.17749,0.29797,-0.26761,0.1105,-0.16485,-0.34354,0.019423,0.029406,0.34403,-0.16025,0.010078,-0.34952,-0.01922,-0.034817,0.28072,-0.18074,-0.051113,0.069487,-0.53151,0.14583,-0.27201,-0.036754,0.072867,-0.22636,0.20053,-0.35835,0.24302,-0.15742,0.15436,-0.31339,5.66e-4,-0.090787,0.1349,-0.096138,-0.18953,0.32494,0.25363,0.12087,-0.51593,-0.20749,0.14262,0.45508,0.76426,-0.41597,0.12458,-0.65833,0.19028,-0.35237,-0.58417,-0.096079
scale,0.16404,-0.18098,-0.13137,-0.35861,0.0090827,-0.21746,-0.53135,-0.13926,0.7397,-0.39214,2.6795e-4,0.13309000000000001,-0.24546,0.34368,0.065768,0.037785,-0.10409,-0.20655,0.14682,-0.022286,0.094018,-0.35297,-0.35311,-0.16298,-0.097721,0.11205,0.13559,-0.015105,-0.49621,0.23414,-0.36001,0.62292,-0.057548,-0.51272,-0.34691,-0.12125,0.10709,-0.055177,-0.30533,-0.17055,0.24308,-0.058818,-0.35917,0.15105,0.42263,-0.31278,0.11271,0.29082,-0.26223,0.056864,-0.27593,0.092066,0.16088,-0.056146,-0.075152,0.14853,0.32899,-0.34877,0.83521,-0.11388,0.1623,-0.021658,0.473,0.17346,0.025751,-0.25481,-0.11551,-0.47738,-0.40157,-0.4177,0.14575,0.16129,0.2563,-0.026602,0.05718,-0.15909,-0.20934,0.21449,-0.067342,-0.30254,-0.45604,-0.397,0.018212,0.26799,-0.49058,0.56356,-0.33162,0.1181,-0.072357,0.059654,0.010403,-0.44249,0.27945,-0.29281,0.031079,-0.042338,0.047632,0.074196,-0.59011,0.18383
feet,0.41704,-0.64238,0.48272,-0.09806,-0.17836,0.45307,-0.31078,-0.15929,1.1358,-0.33516,0.1938,-0.24917,-0.37442,-0.28694,0.021949,0.28006,0.3178,-0.07711,-0.079764,-0.35503,0.49614,0.20754,-0.74391,0.091378,0.18443,0.17054,0.36395,0.12038,-0.58013,0.13323,-0.49597,0.044851,-0.0019251,0.16155,-0.15176,-0.11003,-0.16481,-0.052498,0.50248,-0.36002,-0.3516,-0.013314,0.66408,0.72329,0.047744,-0.17617,0.179,-0.12035,0.079051,0.27266,-0.0099735,-0.38757,0.48047,-0.17934,-0.034851,-0.40282,-0.10328,-0.15936,0.38786,-0.01817,0.2093,0.33379,0.027359,-0.74577,0.30434,-0.20727,0.62612,-0.4111,-0.39303,-0.27132,-0.1259,0.48777,0.11846,-0.49717,0.19996,-0.017122,-0.42789,0.12132,-0.029271,-0.27316,0.068673,-0.075003,-0.14255,0.27208,-0.4536,0.66457,0.20787,0.02647,-0.62294,-0.01814,-0.030294,-0.12925,0.10624,-0.37337,-0.70356,-0.8114,0.40417,-0.16643,0.020069,0.14609
normal,-0.53593,0.039559,-0.04602,-0.33048,-0.28276,0.076194,-0.12642,-0.088081,0.1532,-0.02616,0.20782,-0.024592,-0.3188,0.020247,0.025964,-0.097998,-0.17887,-0.0055033,0.30303,-0.31408,0.19797,-0.052702,-0.27523,-0.10714,0.45607,0.025734,-0.41347,0.4452,-0.031681,-0.22553,0.023888,0.3326,-0.16836,-0.061197,-0.26339,-0.29613,0.29647,0.16474,0.077645,0.042282,0.10358,-0.29944,-0.024511,0.12934,0.10275,-0.3502,0.3487,-0.097601,-0.30716,0.062743,-0.043013,0.05295,-0.27222,-0.16069,0.25775,-0.0037082,-0.17791,-0.014995,0.2702,0.081691,0.23143,-0.30354,0.53699,-0.48591,0.22139,-0.16694,0.037976,0.21772,-0.51889,-0.56519,0.11748,0.24773,0.29433,-0.22646,-0.20299,0.23141,-0.18821,0.3001,0.17133,-0.10993,-0.14233,0.14909,0.39403,-0.14748,-0.60328,0.31954,0.036375,0.093041,-0.26904,-0.10575,-0.192,0.20922,0.48252,-0.43647,-0.32837,-0.37904,-0.17647,-0.19416,-0.23264,0.21742
animals,0.16568,-0.19438,-0.18759,-0.086797,0.05572,-0.20258,-0.041088,-0.26076,0.71181,-0.20211,0.17299,-0.045562,-0.80018,-0.26266,-0.10996,0.62942,-0.099836,0.18592,0.31691,0.26106,0.021017,0.12057,-0.17916,-0.15428,0.15749,0.2567,0.26633,0.44016,-0.36937,-0.15654,-0.072726,0.077776,-0.32697,-0.0029028,0.50214,-0.23862,0.10465,0.23408,-0.080234,0.1658,-0.035735,0.077824,-0.52756,0.33908,0.23664,-0.74793,0.24058,-0.03401,-0.28011,-0.38247,-0.35955,-0.5066,-0.087134,-0.22663,-0.22329,0.073961,0.37284,0.016249,0.49971,-0.012313,0.51994,0.285,-0.12999,-0.97202,0.10074,-0.32177,-0.034917,0.027259,0.064432,-0.01695,0.011674,-0.026656,0.34689,-0.18089,-0.36027,0.34885,-0.16127,-0.20032,-0.040526,-0.011854,-0.23947,0.72228,0.47048,0.31385,-0.23637,0.25543,-0.14138,0.378,-0.44629,-0.61733,0.29451,-0.38205,0.42239,-0.51653,-0.191,-0.13888,0.2179,-0.2663,-0.16682,-0.17344
powerful,-0.27299,-0.53485,-0.056821,0.065461,0.073767,0.089502,-0.34782,-0.047498,0.035947,-0.030716,0.37272,-0.16038,-0.35753,0.25252,0.14314,-0.01724,0.053281,0.05592,0.57788,-0.14993,0.36111,0.23644,-0.45056,-0.50281,-0.26997,0.43277,0.13074,0.44058,0.40213,-0.074802,-0.14422,0.50573,-0.12172,-0.10989,-0.34284,0.31459,0.01942,0.31039,-0.60071,-0.080701,-0.040597,0.015774,0.060706,0.41984,0.56659,-0.075703,-0.22827,-0.5642,-0.078404,-0.078556,-0.24637,0.023504,-0.049615,-0.48538,-0.19539,-0.53681,0.50456,-0.13528,0.24213,0.415,-0.079031,-0.40315,0.097409,-0.086281,0.3415,-0.084798,0.18911,-0.31853,-0.19718,-0.3134,-0.19076,-0.4256,-0.0050134,-0.079135,0.17441,-0.13421,-0.17452,0.10873,-0.16353,0.21006,0.33036,0.17959,0.26797,0.35389,-0.045429,0.28111,0.041737,0.52785,-0.028263,-0.081015,0.16513,0.0044971,0.37897,-0.044335,-0.092083,-0.062823,0.21487,-0.26697,-0.066866,0.6742
hands,0.029051,-0.40635,0.11202,0.56647,-0.11729,0.61909,-0.16968,0.17154,0.38621,0.16739,0.14519,-0.10788,-0.20047,0.12497,0.3088,0.36696,0.2977,0.1835,-0.26588,0.17724,0.57903,-0.095383,-0.2745,-0.042239,0.040386,-0.048308,-0.053527,0.20191,0.27212,0.17784,-0.34581,0.31324,-0.34396,0.31099,-0.14486,0.15681,-0.061707,-0.084653,-0.28996,0.11972,-0.075715,0.23385,0.16187000000000001,0.082985,0.25504,-0.14277,0.088302,-0.23919,-0.33969,0.042465,-0.07833,0.095512,0.079459,-0.43053,0.0038378,-0.20506,0.12896,0.31005,0.57815,0.13252,0.37936,0.0022092,-0.09394,-0.54133,0.4626,-0.013498,-0.12984,-0.14716,-0.091035,-0.22465,-0.51751,0.23929,0.20336,-0.30577,-0.19188,-0.30209,-0.33675,0.24675,0.087613,0.084773,0.0032073,0.41714,0.16469,0.16394,0.056546,0.23623,0.055515,0.28575,-0.30336,-0.12667,0.034222,0.29066,-0.049714,-0.29376,0.079852,-0.45692,0.24455,0.091759,-0.19989,0.47156
animal,-0.30084,-0.18871,0.16232,-0.023213,0.13109,-0.28141,-0.020498,-0.11056,0.70601,-0.018458,0.070233,-5.6019e-4,-0.63294,-0.29873,-0.21856,0.46502,-0.11277,0.35029,0.42706,0.25292,0.1116,-0.0085777,-0.057592,0.013949,0.18019,0.10076,0.29124,0.42194,-0.30131,-0.2129,0.061141,-0.040643,-0.30386,-0.0081417,0.31996,-0.078667,-0.039025,-0.012555,0.12655,0.02786,0.083045,0.032668,-0.4498,0.29201,0.1675,-0.67967,0.1111,-0.06081,-0.34855,-0.49517,-0.1217,-0.19328,0.19825,-0.33558,-0.014880000000000001,0.0080566,0.26844,0.0030578,0.50402,0.14741,0.25448,0.15096,-0.21847,-1.0671,0.29593,-0.45913,-0.18234,-0.048207,0.082273,-0.142,0.0011632,-0.097146,0.1179,-0.23201,-0.27969,0.27271,-0.27183,-0.20691,-0.040108,0.039222,-0.44378,0.4066,0.54196,0.24526,0.0098037,0.23457,-0.14129,0.23758,-0.37343,-0.54111,0.28409,-0.36281,0.71613,-0.62332,-0.083932,-0.3112,0.079801,-0.17311000000000001,-0.27217,-0.31424
horse,-0.38596,-0.26257,-0.30269,0.34527,0.038398,0.090202,0.10799,-0.042522,0.82995,-0.06879,0.022443,0.23302,-0.56288,-0.76348,-0.17392,-0.10297,-0.16078,-0.16281,0.2107,-0.0063419,0.49039,0.11387,-0.66088,0.0078311,-0.41104,0.16046,0.27523,0.29282,-0.33127,0.53769,0.072358,-0.36058,-0.51995,0.19688,0.191,-0.045201,-0.28627,0.057446,0.04753,-0.098209,0.18115,-0.12338,-0.08625,0.43411,-0.25394,0.49349,-0.15391,0.021248,-0.058076,-0.30082,-0.16754,-0.042467,-0.0068822,-0.58779,-0.1232,-0.35826,0.3553,-0.034642,0.56629,0.42097,0.19764,0.083693,-0.014965,-0.71737,0.093372,-0.34454,-0.64803,0.015541,-0.053785,0.26309,-0.0045712,0.28169,-0.18187,-0.39086,-0.50171,-0.10688,-0.066878,-0.40841,0.07726,-0.19383,-0.19405,0.52928,0.10262,0.082736,0.10851,0.27554,0.44822,0.011305,-0.36447,-0.2319,0.49173,-0.13131,0.42819,-0.44202,0.11679,-0.40448,-0.32161,-0.43802,-0.36878,0.29889
yellow,-0.33035,-0.34667,0.19068,0.81021,-0.3026,-0.17992,-0.26659,-0.50082,0.42909,-0.33632,-0.23812,0.16935,-0.94405,-0.30628,-0.10997,-0.30857,0.070196,-0.19299,-0.066203,-0.42423,0.19262,-0.15435,-0.28069,-0.029949,-0.8349,0.038219,-0.15463,0.41462,-0.014608,-0.36378,-0.45446,0.16607,-0.22778,-0.063372,-0.0056516,-0.15165,0.027026,0.56179,0.64903,0.21399,-2.9206e-4,0.21547,-0.20593,-0.2275,0.63266,-0.15076,-0.16141,0.47157,-0.21981,0.24658,0.19142,0.40737,0.17027,-0.60452,-0.42471,0.38866,0.27362,0.34698,0.13542,0.069292,0.084396,-0.51381,0.23006,-0.35177,0.093393,-0.40718,-0.45643,0.47492,-0.86168,-0.058844,-0.44552,0.20489,0.059186,-0.14768,0.19533,-0.35535,0.3278,0.038033,0.23686,-0.11817,0.037568,0.16262,0.23086,-0.39817,-0.53955,0.565,0.32676,-0.51561,-0.26316,0.28377,0.40701,0.11922,0.79076,-0.31407,-0.11884,-0.17456,0.37185,-0.25243,-0.59854,-0.14803
orange,-0.17936,-0.56867,0.54689,0.40561,-0.023129,-0.2034,0.048492,-0.47759,0.2903,-0.31413,-0.85933,0.063204,-0.50914,-0.31942,-0.10653,-0.3508,0.25945,0.10163,0.40552,0.20242,0.00983,-0.102,-0.67089,0.1299,-0.743,-0.014101,-0.33493,0.26855,0.20559,-0.28926,-0.20423,-0.14293,-0.084687,-0.26996,-0.38336,-0.45934,-0.11239,0.097413,0.48163,0.3617,-0.17446,0.15088,-0.14561,0.39359,0.69768,-0.10299,0.26235,0.14115,-0.32167,0.32679,0.11504,0.43813,0.064585,-0.51204,-0.41384,0.22422,0.35114,0.26557,0.1808,-0.22701,-0.0071419,-0.44912,0.51809,-0.49736,-0.046954,-0.066794,-0.26639,0.51784,-0.70019,-0.094331,-0.28034,-0.047108,0.17307,0.13419,0.16789,-0.15122,1.0241,0.2922,0.24617,-0.39645,0.030525,0.065475,0.037569,0.039092,-0.10338,0.07703,0.27822,-0.24477,-0.25026,0.29733,-0.043824,0.39267,0.15045,-0.54598,0.2547,-0.22563,0.29443,-0.47955,-0.37502,0.1317
fox,0.1176,-0.39831,-0.3134,0.45476,0.092089,-0.37108,0.0051584,0.04046,0.39305,0.10135,0.15239,0.10319,-0.054773,-0.063534,-0.313,0.44354,-0.44445,-0.48232,0.56113,0.081467,0.33989,0.34017,-0.52264,0.54211,-0.16977,0.52646,0.045425,0.44508,-0.57554,-0.19145,-0.29616,0.22865,-0.3953,-0.4676,0.22057,0.010243,0.056466,-0.16373,-0.042573,0.2684,-0.29045,-0.13949,-0.08348,0.42144,0.48853,0.62392,-0.006084,-0.0085669,-0.22208,-0.31616,-0.11171,0.088101,0.1074,-0.42955,0.076071,-0.088778,0.22609,0.45845,0.082333,-0.085919,-0.17818,0.10129,0.31575,-0.46081,0.21987,-0.18297,-0.10308,0.46652,-0.59016,-0.096933,-0.18482,0.26003,-0.30472,0.069668,0.39788,0.024915,0.1828,0.05083,0.37078,-0.2262,0.012367,0.10342,0.24941,0.52087,0.57613,0.24032,-0.15775,1.2342e-4,-0.64399,-0.29085,-0.049314,0.0081261,0.47895,-0.29536,-0.094087,-0.35925,-0.062616,-0.23549,-0.18659,-0.4725
fine,-0.4455,-0.011364,0.74632,0.0036953,0.12449,0.45085,-0.27264,-0.24171,0.42822,-0.0045199,-0.079708,-0.092044,-0.14125,0.10244,-0.023568,0.19264,0.12286,0.47847,-0.37904,-0.10449,0.18964,-0.11427,-0.46404,-0.015537,-0.2,0.10986,-0.14333,-0.044039,-0.30414,-0.10093,0.10146,0.43193,-0.67197,-0.45115,0.016593,-0.11729,0.032693,0.012984,0.29285,0.55282,0.22119,-0.17258,0.43586,0.15012,0.72569,0.071834,-0.079427,0.2559,-0.57194,-0.042582,0.3109,0.32329,0.064877,-0.1785,-0.0046189,-0.32797,0.2,-0.092347,0.33491,-0.22791,0.20555,-0.13146,-0.042809,-0.23517,-0.053435,-0.28734,0.015927,0.065683,-0.40169,-0.046761,-0.27345,0.28024,-0.14034,0.087176,-0.20364,0.23676,-0.17826,-0.011836,0.29032,-0.097104,-0.30026,-0.077198,0.012947,-0.16053,-0.39291,-0.020397,0.19876,0.52905,-0.068433,-0.051374,0.41573,-0.6047,0.4832,-0.20281,0.097969,-0.49502,-0.15694,-0.204,-0.26069,0.27808
circle,-0.076325,-0.4212,0.29715,-0.036373,-0.3751,0.14551,0.31992,-0.061345,0.74853,-0.31969,-0.35308,0.08573,0.055782,0.26023,0.17441,0.2336,0.14529,-0.034215,0.18694,-0.23734,0.44116,-0.054801,-0.49569,0.12326,-0.24454,-0.0054019,0.24703,0.79007,-0.028819,0.26892,-0.33746,0.24316,-0.28452,0.17979,-0.020033,-0.0014306,-0.1784,-0.19731,0.27167,-0.53351,-0.027878,-0.15509,0.12437,0.14764,0.22349,-0.46756,0.30186,0.21742,0.069836,-0.58641,-0.12892,0.068976,-0.27362,-0.16927,-0.24699,-0.099123,0.20628,0.21432,0.21814,0.02721,-0.021695,0.085824,0.51849,0.10048,0.078066,0.17216,-0.1837,-0.10011,8.9367e-4,-0.31308,0.23203,0.072273,-0.047497,-0.46683,0.012784,-0.064821,0.2074,0.80716,0.22362,-0.96118,-0.36079,0.35099,-0.046979,-0.16213,-0.69909,0.16909,0.15243,-0.42433,-0.23733,0.22733,0.17025,0.31279,0.47378,0.30707,0.26037,-0.8038,0.13149,0.25086,-0.10549,-0.1228
pattern,0.071477,0.071589,-0.24687,0.29643,0.13745,0.036567,-0.40801,-0.47216,0.22246,-0.17231,-0.34699,-0.046133,-0.6973,0.57429,-0.15882,-0.084375,-0.039681,-0.20221,0.033662,-0.010358,0.014877,-0.22677,-0.14959,-0.14029,-0.094714,0.096002,-0.19234,0.29563,0.16415,-0.0405,-0.16612,-0.019514,-0.019959,-0.25332,-0.13071,-0.35703,0.46542,0.11692,-0.01581,-0.2057,0.17841,-0.15323,-0.11819,0.35018,0.27084,0.0077334,0.4415,-0.0090488,-0.28388,0.070434,0.10562,0.21525,0.060241,-0.30648,-0.21422,-0.76369,0.18314,0.052387,0.36812,0.52283,0.29353,-0.0027838,0.66996,-0.3104,0.24746,-0.46394,-0.49141,-0.050876,-0.65633,-0.43053,-0.22487,0.27175,0.066447,-0.47154,0.024463,0.15824,-0.24678,-0.15012,-0.17205,-0.39883,-0.28749,-0.011577,0.24648,-0.31654,-0.48937,0.2343,0.12078,-0.015291,-0.17887,0.082345,0.27109,-0.12653,0.090102,0.030899,-0.07851,-0.66791,-0.1753,0.051582,-0.6978,0.17357
huge,-0.15079,-0.54444,0.11827,0.22567,-0.20772,0.20811,-0.46601,-0.17505,0.77699,-0.24073,0.029646,0.048605,0.070438,0.0060332,-0.082607,-0.18519,-0.03691,0.32236,-0.22799,-0.0051935,0.50038,0.064893,-0.34925,-0.40028,0.081381,0.30845,0.31621,0.12837,-0.058597,0.047876,-0.44731,0.28515,-0.29111,0.10196,-0.35305,-0.10499,0.20697,0.040299,-0.33746,0.046055,0.20197,0.20288,-0.20084,0.41646,0.48435,0.042516,-0.46339,0.070939,-0.17221,-0.12962,-0.088996,-0.036405,0.092025,-0.16787,0.11151,0.14375,0.26308,-0.23086,0.058979,-0.12151,0.099289,-0.0077582,0.34923,-0.3241,-0.0026316,0.083139,0.23648,0.033422,-0.13402,-0.2451,-0.080504,-0.0078165,-0.086671,-0.12989,0.081731,-0.3743,-0.10594,-0.15096,-0.18391,-0.020779,-0.1295,-0.19772,0.21828,0.46001,-0.44902,0.2674,0.010297,0.3459,-0.48731,-0.30219,0.2774,-0.26635,0.1356,0.042597,-0.18977,0.19087,-0.018501,-0.16057,-0.30307,0.19163
