target_word,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101
body,-0.17629,-0.17562,0.22145,-0.23453,0.14086,0.40481,-0.27378,0.12124,0.55051,-0.010897,0.099538,-0.071586,-0.66156,0.031948,0.20013,8.5777e-5,0.021037,0.25947,0.21763,-0.19978,-0.027928,0.011987,-0.12318,-0.0097174,-0.11519,0.026366,-0.057827,0.26783,0.032947,-0.079841,-0.010354,0.22295,-0.54397,-2.3609e-4,-0.22323,0.083315,0.30317,0.065413,-0.11298,0.089632,0.016477,0.095261,0.067353,0.42322,0.16564,-0.44358,-0.0021557,-0.069521,-0.41305,-0.30689,0.26459,-0.13731,-0.07654,-0.41386,0.08297,-0.19537,-0.37442,0.030894,0.28891,0.29808,-0.01719,-0.29841,-0.20845,-0.73436,0.33372,0.076925,-0.45853,-0.15453,0.068965,-0.85413,-0.17418,0.012212,0.37686,-0.4644,0.11567,0.14054,-0.28715,0.07409,-0.18921,0.028362,-0.37293,0.45591,0.28831,-0.059519,-0.2448,0.297,0.22603,0.48445,-0.52754,0.090287,-0.10607,0.090993,0.020879,-0.39142,-0.02019,-0.58952,0.26217,-0.13242,-0.083725,-0.12833
light,-0.25016,-0.40202,0.42761,0.59615,-0.42268,0.0091099,-0.40431,-0.35754,0.14801,-0.70561,-0.2869,0.030913,-0.21759,0.077438,0.13975,-0.022568,-0.046559,-0.14167,0.24413,-0.33118,-0.11054,0.20257,-0.46953,-0.16079,-0.65963,0.4207,0.27897,0.66312,-0.21609,-0.2706,0.16629,-0.30178,-0.067095,0.13883,-0.068146,0.075949,0.054097,0.64201,0.30824,0.33663,-0.3479,-0.052116,-0.19602,0.37298,0.4908,-0.11569,0.017565,0.043191,-0.5022,-0.085938,0.084954,0.39112,-0.14485,-0.22378,-0.19815,-0.4124,-0.0041861,-0.36355,0.50313,0.055156,0.088958,-0.65244,0.47847,-0.44092,0.047657,0.068192,-0.44463,-0.0037812,-0.51613,-0.15163,-0.23112,0.1984,0.31615,-0.13108,-0.092238,0.028754,-0.14795,0.060161,0.070972,-0.16876,-0.28341,-0.26008,0.013129,-0.24964,-0.31933,0.16182,0.45465,0.040774,-0.23571,-0.090891,-0.094135,0.10254,0.079703,-0.033764,0.21102,-0.18401,0.0056275,-0.32237,-0.36949,0.2384
standard,-0.29677,-0.35798,0.10405,0.39407,0.12979,-0.081897,-0.029526,-0.067521,0.19644,-0.12314,0.261,-0.11192,-0.29651,-0.13563,0.080637,-0.17664,0.023657,-0.089085,0.058626,-0.16652,-0.29894,-0.11913,-0.42323,-0.1888,0.33247,0.0076722,-0.23629,0.50863,-0.19482,-0.42792,-0.041983,0.38665,-0.25901,-0.35447,-0.23833,-0.041253,0.21429,0.11414,-0.023881,-0.247,0.25424,-0.14088,-0.557,0.34928,0.29216,0.19495,0.31276,-0.023409,0.16328,0.23661,-0.10215,0.28324,0.36228,-0.057241,0.34415,-0.45155,0.40303,-0.0024102,0.36889,0.39686,0.058563,0.046985,0.43405,0.12289,-0.22667,-0.11336,-0.38221,-0.12498,-0.4113,0.0098356,-0.072809,0.016462,0.24896,-0.044817,-0.23902,0.21258,-0.25598,0.23761,0.2084,-0.11485,-0.1859,-0.10101,-0.20669,-0.29237,-0.38763,0.27821,0.08353,-0.31515,-0.3058,-0.0014297,-0.12543,-0.0063727,0.033313,-0.10261,-0.063885,-0.45097,0.093583,-0.40906,0.21538,0.34055
hand,-0.17834,-0.31046,0.1315,0.5073,-0.067401,0.51062,0.034687,-0.1261,0.33303,-0.016312,0.15745,-0.043567,-0.15491,0.075604,0.31598,0.39802,0.016873,0.19421,-0.26658,0.12335,0.57773,-0.086771,-0.22917,-0.059926,0.27258,0.27389,-0.023474,0.3557,0.19029,0.097887,-0.16566,0.065964,-0.49656,-0.048889,-0.16829,0.34335,-0.01719,-0.03604,-0.12025,-0.025284,0.044271,0.26581,0.095956,0.026829,0.05283,-0.16915,0.092822,0.04922,0.05411,-0.086844,-0.08253,0.43604,0.052189,-0.33665,2.2496e-4,-0.15928,0.21701,0.18266,0.64045,0.20274,0.40554,-0.091231,0.10791,-0.20305,0.42873,-0.06025,-0.41333,-0.28083,0.0039261,-0.44653,-0.13022,0.16795,0.28236,-0.24784,0.041886,-0.36005,-0.2672,0.10726,0.22876,-0.078747,0.062219000000000003,0.31874,0.21157,0.021146,-0.073956,0.22328,0.061815,0.19084,-0.11326,0.0078297,-0.060101,0.15136,0.10145,-0.16996,0.1199,-0.55675,0.064733,-0.0048418,-0.068978,0.30688
low,-0.34123,-0.22443,0.24976,0.068696,-0.19945,-0.11458,-0.47594,-0.13082,0.35745,0.0085079,0.24023,-0.16284,-0.45491,-0.17416,0.051129,0.099947,-0.065144,-0.31618,0.16947,-0.19512,0.31895,0.32619,-0.64705,-0.065063,0.049058,0.01735,-0.3295,0.69762,-0.25379,-0.23058,-0.14116,0.33368,-0.078489,-0.042631,-0.47212,-0.12985,0.1538,0.40863,-0.11679,-0.17548,-0.086426,-0.0037632,0.15699,0.31828,0.40106,-0.030326,-0.12503,0.12233,0.22507,0.055117,-0.063826,0.24945,0.21033,0.27468,0.22219,0.059847,-0.029604,-0.17979,0.42024,0.32283,0.52451,-0.1918,0.61536,-0.18,-0.019557,0.020398,0.42743,-0.154,-0.34211,-0.12183,-0.16381,0.10161,0.0050544,0.24456,-0.49327,-0.036681,-0.018104,0.50152,0.048062,0.061379,0.34768,-0.52777,0.30087,0.15481,-0.5317,-0.1666,-0.043456,0.35149,-0.38114,0.013746,-0.2108,-0.31128,0.1076,-0.55931,-0.052994,-0.14525,0.25958,-0.4969,-0.32021,0.15011
strong,-0.3723,-0.23308,0.042008,0.22675,-0.097627,0.048151,-0.37075,-0.1131,0.14584,0.23025,-0.11783,-0.20726,-0.36114,0.23825,-0.019897,0.23324,-0.056137,0.095458,0.55465,-0.34693,0.56721,0.028849,-0.39189,-0.16502,-0.10204,0.283,-0.22843,0.12956,0.10395,0.068346,-0.10002,0.36933,-0.31663,0.017734,-0.21506,0.094765,0.082989,0.043021,-0.20447,0.073747,0.023151,-0.11278,-0.33078,0.30631,0.64451,0.14542,-0.36305,0.079315,-0.058858,-0.063957,0.46067,0.30355,0.042518,0.075686,-0.07742,-0.35339,0.2898,-0.097621,0.029557,0.060322,0.034429,-0.02946,0.076311,-0.46366,0.17945,-0.38715,-0.28769,-0.24511,-0.037654,-0.07264,-0.31151,-0.15328,0.19276,0.14652,-0.055172,0.022091,-0.015369,0.22265,-0.13996,-0.15348,0.19276,-0.46622,0.35022,0.2745,-0.27012,-0.23696,0.031495,0.41327,-0.22973,-0.19199,-0.052227,0.22662,0.3974,-0.087736,0.020929,-0.31548,0.052094,-0.23806,0.03049,0.30561
blue,-0.18546,-0.41785,0.30709,0.56676,-0.21143,-0.20373,-0.27453,-0.29959,0.24941,-0.36793,-0.22348,0.17515,-0.59837,0.013971,-0.078352,-0.1916,0.0091525,-0.21982,-0.066889,-0.2056,0.16319,-0.13829,-0.48609,0.12336,-0.57632,0.17566,-0.098153,0.63663,-0.15209,-0.0681,-0.39117,-0.020929,-0.03923,0.015703,-0.064824,-0.23663,0.049544,0.47244,0.5227,0.21608,0.15244,-0.13989,-0.1809,-0.20137,0.62319,0.082922,0.0080717,0.45425,-0.19732,0.22757,0.042044,0.091911,0.13517,-0.53364,-0.26315,0.17391,0.4657,0.17195,0.30485,-0.18679,0.080418,-0.57166,0.35232,-0.38849,0.00133,-0.33887,-0.38129,0.35574,-0.91762,-0.021519,-0.35324,0.0365,-0.1021,-0.018089,0.41851,-0.046513,0.1553,-0.21916,-0.0032421,-0.21231,-0.10963,0.083772,0.20874,-0.29567,-0.35815,0.23933,0.26528,-0.17602,-0.62978,0.40499,0.21686,0.55508,0.36525,-0.07033,0.048252,-0.43481,0.36952,-0.4985,-0.46229,-0.30927
big,-0.15506,-0.33052,0.15977,0.12771,-0.10177,-0.47192,-0.15145,-0.13046,0.48814,-0.54503,-0.048788,-0.15126,0.23001,-0.11705,-0.29356,0.3054,0.15877,0.12773,0.019319,0.25712,0.44864,-0.1336,-0.30139,-0.18001,0.14834,0.056256,0.38352,0.2838,-0.13312,0.14219,-0.59787,0.25492,-0.35917,0.0032621,-0.096411,0.0030048,0.042283,0.1201,0.16058,-0.12279,0.22374,-0.086056,-0.20961,0.12312,0.77763,0.16882,0.049592,0.26788,-0.041226,-0.076524,-0.196,0.23377,0.031179,-0.56029,0.28413,-0.037166,0.46782,0.035812,0.024505,-0.11808,-0.11337,-0.29035,0.46001,-0.41939,-0.058224,0.10581,-0.057698,0.14928,-0.27072,-0.32681,-0.35987,0.055236,-0.17222,0.18267,0.07272,-0.25899,-0.091237,0.079816,0.14411,-0.143,-0.032322,0.085295,0.092667,0.2283,0.14375,0.07561,0.14487,0.14629,-0.76875,-0.17391,-0.08953,-0.23497,0.20465,-0.099772,-0.32918,-0.58256,0.0657,-0.25189,0.14443,0.20241
features,0.13396,-0.032478,0.27435,0.29615,0.31662,-0.19739,-0.29997,-0.25932,0.24361,-0.42288,-0.15417,-0.082262,-0.12656,0.19326,-0.35572,0.20122,-0.19768,-0.37852,0.07159,-0.017407,0.15426,0.09331,-0.63848,-0.29744,0.33337,-0.079418,-0.23573,0.29702,-0.28324,-0.26254,-0.23079,0.47879,-0.64848,-0.15072,-0.15557000000000001,-0.22149,0.21434,0.22294,-0.27997,0.12076,0.3891,-0.13314,0.013558,0.58167,0.37859,-0.15819,0.25228,-0.24894,0.12545,-0.082165,-0.030512,-0.21741,0.15701,-0.29825,-0.11533,-0.088918,0.15168,-0.01792,0.20665,0.062941,0.1273,0.088322,0.26621,-0.20816,-0.15603,-0.38632,-0.23225,-0.021278,0.0034095,-0.12713,0.18941,0.0026732,-0.006317,-0.1187,0.35363,-0.079998,-0.028332,-0.17732,0.023403,-0.14031,-0.060487,-0.13221,0.4042,0.097059,-0.33719,0.38914,0.35979,-0.094653,-0.39051,-0.19293,0.30242,0.13592,-0.045027,0.069393,-0.1615,-0.12586,0.21641,-0.27948,-0.017655,-0.069434
ground,-0.071229,-0.46586,0.50385,0.28647,-0.15526,0.096858,-0.32816,-0.47003,0.91975,-0.37246,0.12081,0.36346,-0.60312,-0.25404,0.16225,0.19748,-0.10628,-0.1277,-0.17063999999999999,-0.23807,0.41792,0.25086,-0.49613,-0.050924,-0.0029873,0.024949,0.049714,0.17681,0.074935,0.065018,-0.499,0.0028321,-0.25268,-0.17106,-0.2471,0.067309,0.13598,0.25471,0.0063284,0.17911,-0.20172,0.12718,-0.013529,-0.076757,-0.094964,0.17458,-0.010863,-0.18329,-0.2322,-0.10771,0.38396,-0.20959,-0.13333,0.0019321,0.10465,-0.12438,0.11882,-0.21552,0.38028,0.2124,0.2063,0.12846,0.029411,-0.42579,0.29512,-0.11078,0.054882,0.0016422,-0.49652,0.055081,-0.19722,0.21057,0.35044,0.0992,-0.28298,0.17794,-0.2906,0.22247,-0.19032,-0.48698,0.21284,0.11892,-0.012593,0.079625,-0.08405,0.013898,-0.124,0.29175,-0.18729,-0.1683,-0.037757,0.057655,0.33971,-0.31342,-0.29538,-0.56609,0.010199,-0.32128,-0.5803,-0.43048
