animal1,animal2,language_similarity_simple_dist_shape
bat,bat,0
beaver,bat,0.8383015559508546
boar,bat,0.8054545846173181
cheetah,bat,0.7669351050413912
crow,bat,0.723668460527453
deer,bat,0.7216364816598368
dolphin,bat,0.7233817175966916
elephant,bat,0.7315733642234019
flamingo,bat,0.8520493354996759
giraffe,bat,0.9561198741142182
goat,bat,0.7910214595304091
gorilla,bat,0.7661030609934234
grizzly,bat,0.7859139282259
hippo,bat,0.7644727270553783
killerwhale,bat,0.8365578825814017
lion,bat,0.826116215289671
llama,bat,0.8584089040832449
mammoth,bat,1.198015393072439
panda,bat,0.7547887225879518
panther,bat,0.771763088572038
pig,bat,0.8472193314339994
pigeon,bat,0.7124430865625514
polarbear,bat,0.8589136418736938
rhino,bat,0.7247846391714754
shark,bat,0.7566385406709595
sheep,bat,0.8918508257315387
skunk,bat,0.8179765297387074
sloth,bat,0.9669771057710733
swan,bat,0.8470863203239067
zebra,bat,0.8555825279028558
bat,beaver,0.8383015559508546
beaver,beaver,0
boar,beaver,0.5997098554588673
cheetah,beaver,0.6051041903829588
crow,beaver,0.6629060758535158
deer,beaver,0.6268034450303174
dolphin,beaver,0.6941191413743811
elephant,beaver,0.6011007520501648
flamingo,beaver,0.6870446996511516
giraffe,beaver,0.7452162307959259
goat,beaver,0.595085108663197
gorilla,beaver,0.5871161989022123
grizzly,beaver,0.5417676164298282
hippo,beaver,0.5085588372888931
killerwhale,beaver,0.7528167561695687
lion,beaver,0.78167916049562
llama,beaver,0.5231477498060442
mammoth,beaver,1.2525696789705163
panda,beaver,0.5644065705849759
panther,beaver,0.5398145363411727
pig,beaver,0.6165555810260428
pigeon,beaver,0.64932618770769
polarbear,beaver,0.6082100519204321
rhino,beaver,0.5523872065987738
shark,beaver,0.7671860296563049
sheep,beaver,0.6469071343310211
skunk,beaver,0.5564285945681668
sloth,beaver,0.808154013804514
swan,beaver,0.6360370543177646
zebra,beaver,0.5518078627951385
bat,boar,0.8054545846173181
