animal,big,bristles,bristly,brushy,bushy,circular,coarse,coat,course,curly,feathers,fine,flat,fleece,fluff,fluffy,fur,fuzz,hair,hide,humanlike,leather,leathery,light,long,medium,rough,rubber,rubbery,scales,scaly,shaggy,shoft,short,silk,skin,slick,slimy,slippery,small,smooth,soft,softskin,sparse,thick,thin,tough,valuable,wet,wiry,wool,wooly,wrinkled
bat,0.27141588296274355,0.25257912099518776,0.3137664382525132,0.21474449252319713,0.30819660856104186,0.15444126960012464,0.12063813388079658,0.20755981037104498,0.09602725132859545,0.18804429392315403,0.23711537065392407,0.12537336719272166,0.15971424991442407,0.18544990543488232,0.18477702088012038,0.24629652779604008,0.2307116079674916,0.15079721476323582,0.20874815570063188,0.2224606685314739,0.22935808740713592,0.23848261093578174,0.26639401437463517,0.1989057684872675,0.2281388411759885,0.24240617713577337,0.12883252822662583,0.22902600702551448,0.23129599639031415,0.13536976938526074,0.31301666080428253,0.3139946247090877,0.1831970577697006,0.16963117742112802,0.19538561174907487,0.2305041166738699,0.14546559389625346,0.23057502128842486,0.16496848076151843,0.15666261882567792,0.15014429260213388,0.17403203976947867,0.20092825702701675,0.12651195311767605,0.1728014111160545,0.1414033388758791,0.13880751024450516,0.13757348315356915,0.17599832765023243,0.20587688079088257,0.1652389349666012,0.3063082383821248,0.25029937492561316
beaver,0.34499018096848094,0.20693017485575688,0.259527006587225,0.44561139292510776,0.3076359486283781,0.10117484374476181,0.250420924413141,0.25982852797568556,0.2062337554606936,0.3230700960084778,0.275824110630709,0.12159151133536857,0.2236376576840313,0.24704401974715415,0.2328270727724546,0.2704266840478402,0.4294261391314494,0.23131569315857312,0.25702299752603835,0.24770401553340163,0.2341252199807407,0.21904920716679493,0.13591186306039996,0.12507225423345059,0.2046889405881839,0.09575099460071036,0.24737498784142814,0.17434372290688815,0.18334683380858913,0.1537920912557583,0.1847854435794081,0.31719642246103497,0.1933441248252322,0.22649033600724675,0.17723664208896364,0.19985046474432525,0.3159535979835172,0.27827239563355055,0.2925488184189594,0.26405643090530745,0.18589224687326675,0.1538581657503975,0.1538343286941559,0.2025211892957294,0.19907733584944753,0.17461964151156734,0.17147744950975255,0.2031802362902005,0.2381614646892723,0.24871251865502475,0.22530959425727773,0.3808347419895239,0.20000966253903865
boar,0.2016558917517256,0.3079969786972682,0.28405604657340366,0.25538464648723924,0.2970721330065006,0.1976607936481696,0.28399442741426156,0.3504777490000724,0.17829268600321083,0.30771333428324443,0.35021287093062825,0.11269228870432348,0.16799016357062518,0.3948003360056471,0.1374325612468995,0.2786484757625221,0.2658823843335722,0.12619226612096077,0.3160689739992946,0.28115326408035324,0.32915351995708697,0.2517622286471102,0.23953670597710067,0.10337979490648366,0.1667364125108151,0.10180321595097458,0.2297171574059068,0.11161599437279936,0.20480053816423605,0.16386907048115257,0.34164848892159205,0.28622091689572376,0.11729037659348927,0.13277172341357155,0.19323898669725187,0.2850646985427244,0.14649224562648855,0.2508122639579343,0.18657164270993123,0.22345078451441933,0.20398086626260667,0.13820772454372277,0.2440097243347582,0.172526411005107,0.24604832369873259,0.1425312276709534,0.1694870958854468,0.1668028020569643,0.17045388326601724,0.23456914972105034,0.25985762008297486,0.345419936490736,0.2913925482394666
cheetah,0.23949528781590532,0.1717177396235493,0.15864498667997026,0.19951090635786023,0.25723697233915627,0.0912607749097125,0.056178721565199354,0.1396700864441902,0.11468500262229925,0.23559855948154762,0.24471872965665517,0.12710639711264554,0.11501459747380788,0.10947167230782032,0.15485017071780252,0.23128340613190382,0.2617367530650797,0.24202300466965523,0.18707697214540908,0.21262105282197666,0.2577500391598812,0.18448982744274703,0.17062016649609182,0.1999141815646045,0.16907009527041508,0.16742850100980358,0.1712937046130544,0.12867375324844968,0.16740226385262644,0.1397053601292549,0.234276747312904,0.33352956093767233,0.1648175042071414,0.17315388914737306,0.13308664608817067,0.25836085628670563,0.2814663883538884,0.1161443614989592,0.1450139976346898,0.0996561560578381,0.12006868496389021,0.10700830424142203,0.20294259647879415,0.17479757769524404,0.12577015559837232,0.12328758801128024,0.17475542600047564,0.1268358107938029,0.20856580418637596,0.08181975623665376,0.0959922758805024,0.3199513889245038,0.1914208184355611
crow,0.25974186901374946,0.17396107815621867,0.19571482081440175,0.3657250348207495,0.22261134888590325,0.15165029105284553,0.18801786372639373,0.14379331602296425,0.1654967740110219,0.2830855861495403,0.3760248093607677,0.15194963445267884,0.14352096690503832,0.19172938799945238,0.17671586190825617,0.26339386179580854,0.23603293896406258,0.16096287342829113,0.21543262357818327,0.24893620287455287,0.20464596582775937,0.15711527445807574,0.149144753050146,0.14758321948506412,0.2388237164640133,0.15320313020328422,0.18994575431725272,0.026725004253559486,0.10509586749364785,0.1591100907920309,0.29408269642753265,0.2805538422644198,0.24885795084934934,0.21029828521299548,0.15389013172823487,0.20057471479403002,0.15610199205583272,0.21900039198843776,0.19514229936547373,0.16086476095332758,0.08521158900036058,0.11934202549641403,0.11657480213051195,0.10436498184895991,0.22660177105023896,0.17027753367583742,0.16988770226860914,0.04749561601444156,0.1999131531678297,0.17869935133572562,0.18353108413314762,0.26245537284562176,0.18568120411050662
deer,0.25245845957784463,0.28838605273370693,0.30510017391764277,0.43598632111191193,0.3780996094982686,0.1685296833372954,0.24694329055386632,0.29090116501706753,0.18041791973512963,0.23975230409082143,0.37968470082420513,0.11678002587614326,0.18173509403212237,0.2788674428587652,0.15746020804749822,0.20224375376540182,0.3850893695958214,0.15159687650277967,0.2466795572332079,0.2665412475858711,0.28684852910196035,0.2531094509892632,0.21996194045551457,0.19980855251767246,0.2268383936170094,0.19499593998747977,0.21033843502043775,0.1748144668678699,0.1907917660072917,0.14735428219910696,0.30305468443854794,0.25017021492320785,0.15612403766413838,0.22140636570338737,0.21942442094627643,0.25766839635918387,0.18612743414569094,0.19180268807573408,0.18934938827150802,0.2854471045168037,0.1912094279874118,0.16096861882970764,0.14969270615049166,0.23369133752161317,0.19682482249622116,0.11481565353870359,0.11704871788658135,0.21027691498252596,0.22535750798251575,0.2103203348746318,0.32018276685872343,0.35250254163954875,0.2609888157181083
dolphin,0.15717185958335592,0.20009747280955859,0.16955584176949037,0.1319407431320319,0.1763584279753263,0.19921100489240484,0.107010576362521,0.1643163862914978,0.16015605410404338,0.10234709872523504,0.23835844442169066,0.07531857853860853,0.16097866665676253,0.23819121282410954,0.05654926532119468,0.18077602296325695,0.18324013582045431,0.09530675641682759,0.11443740383811017,0.13899046669849083,0.2901196359855883,0.18016975360389023,0.18558623595363705,0.17867772065886853,0.19499157714553206,0.19084561321824228,0.28246337786269615,0.1524855250667293,0.1814812377037348,0.17085990981164212,0.25873563231734004,0.2066251053666999,0.16042159119845728,0.16682647696719483,0.12882778149943225,0.18738074002330826,0.17892340282614055,0.20184320739707146,0.12671356574356213,0.11570659120433213,0.10696108714824148,0.10808075119788227,0.27322529407648666,0.13735527725554658,0.12546561450186305,0.09701607486248894,0.12415330027465474,0.12936536750355707,0.1441835160058529,0.0550831416067282,0.130539811771731,0.21373398742320054,0.18737759034065374
elephant,0.32405597586613183,0.2665652082669878,0.2599177048734465,0.23672260374454235,0.3744158532878316,0.20731171803361564,0.10879729324503676,0.24663497324431244,0.08994292708351743,0.2019001170937142,0.32549879219690697,0.05468619598595886,0.1313434685550892,0.29012162784864814,0.17535440266447164,0.24866892383149836,0.2797652532004146,0.23456706589997486,0.23972887572336976,0.2851996511527797,0.30491676906636395,0.25161152027317585,0.22592336466473714,0.16553050514338813,0.2023550348293403,0.16016699957529462,0.2681726718543608,0.2369243332808067,0.27749811718715706,0.1802552131298025,0.28650788222991436,0.32105341209562993,0.17956112880885994,0.17362299241747953,0.23054713050147907,0.2832138182307477,0.20316348751825683,0.18878363658203626,0.23451626614404417,0.25753795299464793,0.15556074880009965,0.12332950160330632,0.15232808271255513,0.17879264667237443,0.2697591142961145,0.22352767354104133,0.1845643197912903,0.15310420763433902,0.21595050402485683,0.19076624576812146,0.17233564973125765,0.40088449949411703,0.3001067743703257
flamingo,0.256370716065521,0.1881115835735065,0.2006295790502239,0.2891927376636763,0.35566922886332564,0.18315477873208721,0.10949409250856033,0.1982669768230972,0.19449730765245488,0.24235276132239938,0.4232682310881525,0.15891493504062856,0.18967095217813165,0.26115407477882546,0.21972254971376368,0.3264016217429657,0.23811033200422113,0.25674511751485524,0.2104319435331871,0.1492155121929717,0.17715558792375147,0.23088289062821946,0.19868316444291562,0.17881965368057337,0.17646573519235745,0.1612371522782635,0.19827359719894608,0.23720613354574338,0.24888219023800834,0.09901688214228171,0.25782724144419716,0.31450329575807734,0.15672000126575944,0.22809811275766836,0.20731312494162477,0.16766813749557974,0.29103055586266274,0.14351792748533868,0.15078329182779623,0.2069297249110346,0.1636786753221757,0.19908133146096216,0.19553551547570824,0.11547008251249974,0.19596468526951083,0.17968348683349974,0.14660157689066586,0.17118398335996862,0.24153002026357948,0.16022372852059433,0.2086698454097425,0.31300415870527476,0.2058119763535574
giraffe,0.19685357023647987,0.3070371661617377,0.2647265602863766,0.19761522464388365,0.3087358462009591,0.17431428056623005,0.14444923216563316,0.3158197633353834,0.09753243395904344,0.214518499003202,0.3845845733300644,0.13595896058839027,0.1941853308343156,0.26379973108234683,0.18866729728290135,0.3328970271524534,0.29932494987652697,0.2256344350510591,0.28947812417519125,0.2588517530638409,0.361830935181416,0.24743392198712946,0.24958727865837962,0.17599415381195432,0.1992960165555052,0.1511117413404972,0.22331827059495316,0.2245067928616738,0.2642515768049896,0.15121196045509933,0.30012826213129734,0.2617203207952302,0.24323195941553175,0.2427310605973917,0.1985780227901135,0.3554119675380499,0.20220191324724185,0.18237251436102095,0.123622847455151,0.18170123334122407,0.16107628796359366,0.18590765751939736,0.2183408833945065,0.2017864752704677,0.2610007571284096,0.2232109397610142,0.19440215615980125,0.13520461186121163,0.2504538570232878,0.21106061478938798,0.22765812911513333,0.3820649246721933,0.28988372807015134
