animal1,animal2,similarity,sim_type
shark,bat,465,taxonomy
grizzly,gorilla,94,taxonomy
polarbear,gorilla,94,taxonomy
panda,gorilla,94,taxonomy
skunk,gorilla,94,taxonomy
cheetah,gorilla,94,taxonomy
panther,gorilla,94,taxonomy
lion,gorilla,94,taxonomy
boar,gorilla,94,taxonomy
pig,gorilla,94,taxonomy
deer,gorilla,94,taxonomy
goat,gorilla,94,taxonomy
sheep,gorilla,94,taxonomy
giraffe,gorilla,94,taxonomy
dolphin,gorilla,94,taxonomy
killerwhale,gorilla,94,taxonomy
hippo,gorilla,94,taxonomy
llama,gorilla,94,taxonomy
zebra,gorilla,94,taxonomy
rhino,gorilla,94,taxonomy
bat,gorilla,94,taxonomy
gorilla,gorilla,0,taxonomy
beaver,gorilla,88,taxonomy
sloth,gorilla,102,taxonomy
mammoth,gorilla,102,taxonomy
elephant,gorilla,102,taxonomy
crow,gorilla,320,taxonomy
pigeon,gorilla,320,taxonomy
flamingo,gorilla,320,taxonomy
swan,gorilla,320,taxonomy
shark,gorilla,465,taxonomy
grizzly,beaver,94,taxonomy
polarbear,beaver,94,taxonomy
panda,beaver,94,taxonomy
skunk,beaver,94,taxonomy
cheetah,beaver,94,taxonomy
panther,beaver,94,taxonomy
lion,beaver,94,taxonomy
boar,beaver,94,taxonomy
pig,beaver,94,taxonomy
deer,beaver,94,taxonomy
goat,beaver,94,taxonomy
sheep,beaver,94,taxonomy
giraffe,beaver,94,taxonomy
dolphin,beaver,94,taxonomy
killerwhale,beaver,94,taxonomy
hippo,beaver,94,taxonomy
llama,beaver,94,taxonomy
zebra,beaver,94,taxonomy
rhino,beaver,94,taxonomy
bat,beaver,94,taxonomy
gorilla,beaver,88,taxonomy
beaver,beaver,0,taxonomy
sloth,beaver,102,taxonomy
mammoth,beaver,102,taxonomy
elephant,beaver,102,taxonomy
crow,beaver,320,taxonomy
pigeon,beaver,320,taxonomy
flamingo,beaver,320,taxonomy
swan,beaver,320,taxonomy
shark,beaver,465,taxonomy
grizzly,sloth,102,taxonomy
polarbear,sloth,102,taxonomy
panda,sloth,102,taxonomy
skunk,sloth,102,taxonomy
cheetah,sloth,102,taxonomy
panther,sloth,102,taxonomy
lion,sloth,102,taxonomy
boar,sloth,102,taxonomy
pig,sloth,102,taxonomy
deer,sloth,102,taxonomy
goat,sloth,102,taxonomy
sheep,sloth,102,taxonomy
giraffe,sloth,102,taxonomy
dolphin,sloth,102,taxonomy
killerwhale,sloth,102,taxonomy
hippo,sloth,102,taxonomy
llama,sloth,102,taxonomy
zebra,sloth,102,taxonomy
rhino,sloth,102,taxonomy
bat,sloth,102,taxonomy
gorilla,sloth,102,taxonomy
beaver,sloth,102,taxonomy
sloth,sloth,0,taxonomy
mammoth,sloth,99,taxonomy
elephant,sloth,99,taxonomy
crow,sloth,320,taxonomy
pigeon,sloth,320,taxonomy
flamingo,sloth,320,taxonomy
swan,sloth,320,taxonomy
shark,sloth,465,taxonomy
grizzly,mammoth,102,taxonomy
polarbear,mammoth,102,taxonomy
panda,mammoth,102,taxonomy
skunk,mammoth,102,taxonomy
cheetah,mammoth,102,taxonomy
panther,mammoth,102,taxonomy
lion,mammoth,102,taxonomy
boar,mammoth,102,taxonomy
pig,mammoth,102,taxonomy
deer,mammoth,102,taxonomy
goat,mammoth,102,taxonomy
sheep,mammoth,102,taxonomy
giraffe,mammoth,102,taxonomy
dolphin,mammoth,102,taxonomy
killerwhale,mammoth,102,taxonomy
hippo,mammoth,102,taxonomy
llama,mammoth,102,taxonomy
zebra,mammoth,102,taxonomy
rhino,mammoth,102,taxonomy
bat,mammoth,102,taxonomy
gorilla,mammoth,102,taxonomy
beaver,mammoth,102,taxonomy
sloth,mammoth,99,taxonomy
mammoth,mammoth,0,taxonomy
elephant,mammoth,26,taxonomy
crow,mammoth,320,taxonomy
pigeon,mammoth,320,taxonomy
flamingo,mammoth,320,taxonomy
swan,mammoth,320,taxonomy
shark,mammoth,465,taxonomy
grizzly,elephant,102,taxonomy
polarbear,elephant,102,taxonomy
panda,elephant,102,taxonomy
skunk,elephant,102,taxonomy
cheetah,elephant,102,taxonomy
panther,elephant,102,taxonomy
lion,elephant,102,taxonomy
boar,elephant,102,taxonomy
pig,elephant,102,taxonomy
deer,elephant,102,taxonomy
goat,elephant,102,taxonomy
sheep,elephant,102,taxonomy
giraffe,elephant,102,taxonomy
dolphin,elephant,102,taxonomy
killerwhale,elephant,102,taxonomy
hippo,elephant,102,taxonomy
llama,elephant,102,taxonomy
zebra,elephant,102,taxonomy
rhino,elephant,102,taxonomy
bat,elephant,102,taxonomy
gorilla,elephant,102,taxonomy
beaver,elephant,102,taxonomy
sloth,elephant,99,taxonomy
mammoth,elephant,26,taxonomy
elephant,elephant,0,taxonomy
crow,elephant,320,taxonomy
pigeon,elephant,320,taxonomy
flamingo,elephant,320,taxonomy
swan,elephant,320,taxonomy
shark,elephant,465,taxonomy
grizzly,crow,320,taxonomy
polarbear,crow,320,taxonomy
panda,crow,320,taxonomy
skunk,crow,320,taxonomy
cheetah,crow,320,taxonomy
panther,crow,320,taxonomy
lion,crow,320,taxonomy
boar,crow,320,taxonomy
pig,crow,320,taxonomy
deer,crow,320,taxonomy
goat,crow,320,taxonomy
sheep,crow,320,taxonomy
giraffe,crow,320,taxonomy
dolphin,crow,320,taxonomy
killerwhale,crow,320,taxonomy
hippo,crow,320,taxonomy
llama,crow,320,taxonomy
zebra,crow,320,taxonomy
rhino,crow,320,taxonomy
bat,crow,320,taxonomy
gorilla,crow,320,taxonomy
beaver,crow,320,taxonomy
sloth,crow,320,taxonomy
mammoth,crow,320,taxonomy
elephant,crow,320,taxonomy
crow,crow,0,taxonomy
pigeon,crow,80,taxonomy
flamingo,crow,80,taxonomy
swan,crow,92,taxonomy
shark,crow,465,taxonomy
grizzly,pigeon,320,taxonomy
polarbear,pigeon,320,taxonomy
panda,pigeon,320,taxonomy
skunk,pigeon,320,taxonomy
cheetah,pigeon,320,taxonomy
panther,pigeon,320,taxonomy
lion,pigeon,320,taxonomy
boar,pigeon,320,taxonomy
pig,pigeon,320,taxonomy
deer,pigeon,320,taxonomy
goat,pigeon,320,taxonomy
sheep,pigeon,320,taxonomy
giraffe,pigeon,320,taxonomy
dolphin,pigeon,320,taxonomy
killerwhale,pigeon,320,taxonomy
hippo,pigeon,320,taxonomy
llama,pigeon,320,taxonomy
zebra,pigeon,320,taxonomy
rhino,pigeon,320,taxonomy
bat,pigeon,320,taxonomy
gorilla,pigeon,320,taxonomy
beaver,pigeon,320,taxonomy
sloth,pigeon,320,taxonomy
mammoth,pigeon,320,taxonomy
elephant,pigeon,320,taxonomy
crow,pigeon,80,taxonomy
pigeon,pigeon,0,taxonomy
flamingo,pigeon,76,taxonomy
swan,pigeon,92,taxonomy
shark,pigeon,465,taxonomy
grizzly,flamingo,320,taxonomy
polarbear,flamingo,320,taxonomy
panda,flamingo,320,taxonomy
skunk,flamingo,320,taxonomy
cheetah,flamingo,320,taxonomy
panther,flamingo,320,taxonomy
lion,flamingo,320,taxonomy
boar,flamingo,320,taxonomy
pig,flamingo,320,taxonomy
deer,flamingo,320,taxonomy
goat,flamingo,320,taxonomy
sheep,flamingo,320,taxonomy
giraffe,flamingo,320,taxonomy
dolphin,flamingo,320,taxonomy
killerwhale,flamingo,320,taxonomy
hippo,flamingo,320,taxonomy
llama,flamingo,320,taxonomy
zebra,flamingo,320,taxonomy
rhino,flamingo,320,taxonomy
bat,flamingo,320,taxonomy
gorilla,flamingo,320,taxonomy
beaver,flamingo,320,taxonomy
sloth,flamingo,320,taxonomy
mammoth,flamingo,320,taxonomy
elephant,flamingo,320,taxonomy
crow,flamingo,80,taxonomy
pigeon,flamingo,76,taxonomy
flamingo,flamingo,0,taxonomy
swan,flamingo,92,taxonomy
shark,flamingo,465,taxonomy
grizzly,swan,320,taxonomy
polarbear,swan,320,taxonomy
panda,swan,320,taxonomy
skunk,swan,320,taxonomy
cheetah,swan,320,taxonomy
panther,swan,320,taxonomy
lion,swan,320,taxonomy
boar,swan,320,taxonomy
pig,swan,320,taxonomy
deer,swan,320,taxonomy
goat,swan,320,taxonomy
sheep,swan,320,taxonomy
giraffe,swan,320,taxonomy
dolphin,swan,320,taxonomy
killerwhale,swan,320,taxonomy
hippo,swan,320,taxonomy
llama,swan,320,taxonomy
zebra,swan,320,taxonomy
rhino,swan,320,taxonomy
bat,swan,320,taxonomy
gorilla,swan,320,taxonomy
beaver,swan,320,taxonomy
sloth,swan,320,taxonomy
mammoth,swan,320,taxonomy
elephant,swan,320,taxonomy
crow,swan,92,taxonomy
pigeon,swan,92,taxonomy
flamingo,swan,92,taxonomy
swan,swan,0,taxonomy
shark,swan,465,taxonomy
grizzly,shark,465,taxonomy
polarbear,shark,465,taxonomy
panda,shark,465,taxonomy
skunk,shark,465,taxonomy
