animal1,animal2,similarity,sim_type
cheetah,shark,465,taxonomy
panther,shark,465,taxonomy
lion,shark,465,taxonomy
boar,shark,465,taxonomy
pig,shark,465,taxonomy
deer,shark,465,taxonomy
goat,shark,465,taxonomy
sheep,shark,465,taxonomy
giraffe,shark,465,taxonomy
dolphin,shark,465,taxonomy
killerwhale,shark,465,taxonomy
hippo,shark,465,taxonomy
llama,shark,465,taxonomy
zebra,shark,465,taxonomy
rhino,shark,465,taxonomy
bat,shark,465,taxonomy
gorilla,shark,465,taxonomy
beaver,shark,465,taxonomy
sloth,shark,465,taxonomy
mammoth,shark,465,taxonomy
elephant,shark,465,taxonomy
crow,shark,465,taxonomy
pigeon,shark,465,taxonomy
flamingo,shark,465,taxonomy
swan,shark,465,taxonomy
shark,shark,0,taxonomy
