animal,arms,belly,big,bodies,body,bulky,bumbling,chunky,circle,circular,coarse,compact,cylindrical,ears,elongated,erect,fat,feathers,features,feet,fins,flat,fur,furball,gangly,gentle,graceful,ground,hair,hand,hands,height,highback,hooves,horns,huge,lanky,large,larger,lean,legs,limbs,little,long,low,medium,muscular,neck,normal,nose,oblong,oval,ovals,parabolic,paws,plump,powerful,rectangular,rough,round,rounded,scales,shapely,short,sit,size,skin,skinny,slender,slick,slim,slippery,small,smooth,soft,square,squat,stacked,standard,stout,stouts,strange,streamlined,strong,symmetrical,tail,tails,tall,taller,thick,thin,tiny,torso,ugly,upright,upsidedown,webbed,wide,wings,wooly
bat,0.1506988395793796,0.11248345928407348,0.15581334676728473,0.08850483060783745,0.1460883399232673,0.10870934801231907,0.043642613150054355,0.06867575301196589,0.13474306392645533,0.009752682917748506,0.05724661652819498,0.02249946731282649,0.1052461702281236,0.14309698017024383,0.11733823463291762,0.09068798619433174,0.02063621827266707,0.17504948217523403,-0.05424833460696608,0.1543817714726229,0.17821048317722174,0.09095448227843621,0.1541147988672256,0.1869671070010878,0.09484606189295103,0.08448515320269057,0.1004085701316636,0.2529953419141368,0.1794550235142874,0.2363959344861484,0.16353778170718888,0.09020255824355056,0.07220668869029222,0.13892287392054997,0.18485074245294225,0.0883214129238182,0.17060620050698322,0.10315455569068795,0.03605913804260715,0.08580300275951057,0.21097602394225376,0.16933748412631883,0.20803643132898528,0.08364007502689169,0.06510546824845957,0.13718685225362526,0.13317661520000537,0.16385671334363283,0.05435049647300063,0.21406445830317608,0.1520444106628499,0.16500011273456042,0.1574246170587438,0.07703522872004004,0.1905777109392462,0.0577004057560127,0.030655021394974842,0.09788671632248873,0.11258421835815724,0.13924330783408403,0.1341526322429359,0.0652473406920724,0.08907554598760654,0.09377530631879703,0.09886432614082606,0.12896647754820909,0.11582820357346875,0.1252707108667958,0.13945371224001152,0.008572260845194595,0.07299747109135124,0.08092186230547493,0.08772010709919255,0.01490421826125934,0.07714495766611974,0.094139964358853,0.18107540091316424,0.07173396930195271,0.016444396219154465,0.09251848501130733,0.05607582033277984,0.10995446292384206,0.0017807259096150677,0.09000910762641542,0.05840471622237896,0.3207629755855986,0.2242154938692285,0.14500237517001913,0.10043331748333066,0.10730941922506386,0.04288768458969769,0.09574679938806151,0.19532455287085998,0.11019469861457845,0.10187297307899093,0.21362930464319846,0.21860702116870176,0.08771119802006402,0.16634761478928586,-0.004439758369354117
beaver,0.05369216068270569,0.13437944249170108,0.09019523471285139,0.03997118642027524,0.14139458399422647,0.13059342457377646,0.205629711248955,0.1286503167715019,0.026129718840501973,0.08064426894922509,0.2031280142850057,0.08473132051633774,0.12109216097995311,0.20578587494817166,0.1058791906341041,0.1772495376772054,0.16223760072379576,0.21145168301412456,0.07951657028646512,0.10269378768530892,0.20124493484521325,0.06268173185313579,0.40509072164804383,0.346400853752867,0.21010578608809788,0.19417859834361026,0.09446564225256898,0.030990815358303985,0.14785432765989787,0.13469486310444748,0.03969297093939373,0.076523166341092,0.054144147302430425,0.2593825408688428,0.19377545335539223,0.028550750328461015,0.14490605763468065,0.10382125337342442,0.1164881058030614,0.05570891336749423,0.12937241161559176,0.17189198442963435,0.16175415326959278,0.0903150093652638,-1.882214378859187e-4,0.022028664211518535,0.11066992400062639,0.1440510245121392,0.15238146584931114,0.19227439223817655,0.1010606672302056,0.14868316883338034,0.16405047296770162,0.010597499142919943,0.316771019751933,0.16635447467768072,-4.971388993184638e-4,0.13532092087461547,0.11207375782868151,0.004745008752378492,-0.023499257208265966,0.008566095234968674,0.14953104033024986,0.040731046559251666,0.01115348345609483,0.1506631167312667,0.11918329512044515,0.15503867086171008,0.1312169601953783,0.1621299923159414,0.07244774964165941,0.1262299959108788,0.13528909610520218,0.04517206019989586,0.05542425457528204,0.11118551005236213,0.058903683137893945,-0.06704724689466542,-4.061731054679789e-4,0.15707959329369295,0.11182277491748255,0.18345309417270877,0.08275145187844533,0.020836289701590904,0.08891336095028864,0.27015257220265504,0.23259108237004542,0.14738591930995928,0.1022573415028822,0.14250229901109293,0.0857599683261636,0.17981851830533363,0.14949113750232834,0.08818577457452889,0.07285406958723108,0.2814336881003553,0.311200328538751,0.040997852234209854,0.0944463968310434,0.278579804750136
boar,0.1715326699992061,0.26150472345327924,0.060237616668775536,0.07110215654501707,0.11344628788892955,0.08313514693272563,0.06745163545345959,0.17171084486682997,0.06267546852097841,0.1250362186136185,0.17185747538615678,0.03962898610046784,0.1396049557268079,0.16876282031348852,0.11156763723623833,0.15097092455843722,0.15736618554279155,0.20565120062749218,0.02519359273481208,0.08630528591084122,0.20613912106747567,0.08923076131479704,0.30221438164987735,0.33724509793596963,0.1900796320719013,0.14257096337800962,0.09950384307882101,0.09083517471010996,0.14680269316745467,0.05540176519025817,0.00513552714523245,0.10890905663358552,0.04859213377673815,0.41133055846141586,0.2711491443974184,0.041781937676228405,0.19271676452454972,0.08106903976133825,0.09049996359866143,0.12310679229039509,0.18456892171232214,0.18013942537527639,0.10190205842983598,0.08088955484069695,0.015287205612396099,0.07669881944783138,0.1736394983218829,0.21046701105030885,0.01893606906760598,0.17087585808124803,0.20665350405258295,0.08713097078478196,0.03955064080195344,0.06203808639129752,0.2953103841346199,0.22710067818346005,-0.019274733665054417,0.11579309669662978,0.06209077257353801,0.06755957270050064,0.09499805865047457,0.06883135563974323,0.2189302541206632,0.033302865566360716,-0.00335015134950435,0.08649104185524337,0.09343620408806617,0.1574026942352594,0.11225084830450414,0.06902742516850924,-0.00318308364228122,0.0394905052897809,0.07805320921075438,0.050391085793838726,-0.0072199083339301515,0.1858684248734377,0.13575748397246737,-0.017924949244862824,0.010997307722140958,0.17899721756358378,0.2093582269536952,0.08845514400815002,0.03522359129697699,6.461540808858206e-4,0.09130030895556049,0.2761002142443016,0.2597601375619997,0.18688439050437164,0.14882629489784516,0.12961384390286357,0.025003141385425618,0.13305300579982585,0.23106685389477144,0.10892896244530083,0.09865193452946219,0.173790084366727,0.17729954115422428,0.08506213396888467,0.15853088102446133,0.26697573245469863
cheetah,0.22326487801992778,0.1943611422315532,0.09238289390752545,0.061216056842773293,0.12939971508843315,0.09277524412176986,0.12259619196294143,0.1320151740214166,0.1250307521746949,0.07721320177074716,0.01875370434002909,0.10478283679714395,0.06055639305543175,0.09868002636548104,0.12597797128068042,0.0768458385317415,0.11108560648547881,0.21651361010490253,0.11748830538066053,0.10783314590839159,0.19676931426511074,0.08450114879562018,0.26257353056591376,0.37403020775087226,0.2819303126557248,0.1758162254604928,0.23956631983978735,0.08552622182090301,0.15356714575785896,0.026675855560079533,0.07020059261686126,0.06112286262506152,0.10011011227174917,0.23060045572888202,0.10879650915223489,0.035122293765602566,0.2417577085086307,0.042981032233030556,0.06899472301882752,0.13909983012923957,0.24459810805711263,0.1684250508430449,0.13716410609515506,0.13147163074401644,0.04647552242032742,0.11949340703549766,0.19371520379570442,0.07357358506042398,0.1284851960709198,0.12245464585635549,0.12038655875561181,0.17680733703324103,0.1903793309937431,0.08045978889610378,0.3510101202904634,0.1776095289687311,0.02517429697042193,0.056145629805471435,0.06508323098259805,0.014001044902789615,0.07257202090186726,0.02765266011586425,0.16730134796844928,0.11580267953944083,0.011512698379723596,0.13745601149589057,0.11823419663106151,0.22570275226235798,0.17394677979289702,0.12690886744380894,0.096298477807656,0.09926225934200135,0.07537653720112543,0.11138781883004968,0.08234745264701125,0.07636573631212726,0.09947426465886271,-0.06046182806406877,0.05440335079311971,0.15051689724954717,0.014520972341184523,0.1578951498730167,0.0718742178909559,-0.008264033097727537,0.09307349531579295,0.27157258230390185,0.21413615166646324,0.19135921601135847,0.14232156549410124,0.09044597701561821,0.0636547242376066,0.1484908588882918,0.1772203002186339,0.11293078780905544,0.13351533109516936,0.1578373149205497,0.26070784180050166,0.0777473686139782,0.1857163607562483,0.2440631606207876
crow,0.099596106231199,0.2502880898385288,0.14170380472325408,0.0974839064609008,0.10404295055852007,0.03285307095879455,0.13479675243772798,0.11956633662874884,0.09891178868781167,0.09572541862417935,0.14305072352905834,-0.03867935627119222,0.1094491027356976,0.22110036158834123,0.16765556488023697,0.14342479146334441,0.19634872414689833,0.3653757315451037,-0.01043757373336667,0.13041619241386934,0.2061371846009064,0.07338673847818226,0.2223867506627921,0.3014956968575371,0.175870717450887,0.08362997353607297,0.17986268074695516,0.10734766284037094,0.15344419230739817,0.01245374910588507,0.03914859352639211,0.08306535863396303,0.016402733855989317,0.2176883249052595,0.18465454129936454,0.08056789555739652,0.1275000035325789,0.09163755391192015,0.13053162001196708,0.14261289345810113,0.1335282357285822,0.21154134181573583,0.1772529561286897,0.14071999959843443,0.006159587612764576,0.02057346585407806,0.10424275528941924,0.12887931950170048,0.020195768377101495,0.15376880650025807,0.20525559244784172,0.15500461139210261,0.11486560473375311,0.05359598694821666,0.2560980290488302,0.2642417727703608,4.2619656372910175e-4,0.12116425964694151,0.02449783368464679,0.038057353985299934,0.024568738284865853,0.022233552176180976,0.13883898719518006,0.08559868296824778,0.08419212470142876,0.09630638916051674,0.11854132107141091,0.14335324807362554,0.1478357721966391,0.03162602655882532,0.10899374316005943,0.012186060762207485,0.10258600795955704,0.04411552575984102,0.11668535106576837,0.18022605303112443,0.18673578338693472,0.024809112750060376,-0.01599105267823771,0.14361966311223748,0.0780377784239388,0.19112052144825162,0.019013549507771288,0.016248477558457663,0.13316830793629392,0.3162465229937359,0.28457637881422515,0.1516260704438699,0.1264736424897807,0.0990018006568874,0.050957468256923016,0.16769786375845272,0.12156777303279757,0.19286025224703715,0.09947223179683735,0.24356840842561867,0.18352369992000395,0.06975721572359515,0.3100282880605602,0.16319959508443163
deer,0.10913445404818083,0.12093494064822566,0.06258126840742334,0.07496105820826199,0.11985745109631255,0.1194817329799639,0.005327106235147105,0.0717826051602591,0.05512222943727239,0.08352944532664147,0.14276444700636565,0.11444488677686952,0.039074480900585545,0.1343075289885241,0.035749049943739404,0.11900223972464875,0.09994242441465855,0.22821311674933153,0.027096032589631842,0.1520771230681796,0.17621981530251787,0.05136773554692719,0.3427064567560575,0.23566261685990764,0.09259186782784662,0.08154653298798513,0.08370787180963107,0.12775653896927808,0.12001702351484708,0.04690491993743063,0.042532784310766084,0.09956514916570026,0.0013385885177237971,0.33405124102620165,0.23625945067964588,0.006754409751229258,0.060192285783461454,0.09082168667359694,0.09406474962804244,0.16005189649181095,0.15816777421835157,0.2328762760641263,0.09207027765539846,0.05602180344687291,0.05842353086939248,-0.04206037483238041,0.032355115517606836,0.16722072882425096,0.07948783143104021,0.11739421768809893,0.11888320727315692,0.10956926079576937,0.13102033094301926,0.0341773904036989,0.23077463334742426,0.10524320933230939,-0.02661515617517201,0.09442241166840169,0.06470395858008908,0.02821283902224263,0.00837696686863483,0.04922398555563562,0.08403622312096502,0.013698054424547548,0.017474653928067765,0.10861700186830374,0.09776702141786316,0.07570506283126587,0.048433401382003506,0.06050696119568917,0.047615208795135526,0.07499944156394925,0.0747046744087032,0.019733272176096658,0.03297748084710782,0.09189490747730054,0.02072096317925937,-0.003977099025954746,0.010828045549295843,0.08766389683384285,0.11351657322631181,0.07114412150281228,0.07217126638287341,-0.011595684037339847,0.07418444021249661,0.18744422918480727,0.16241872735739205,0.09512946997631855,0.1306508441448602,0.07800895019288932,0.026747288349412326,0.07753471250315554,0.19845388175124418,0.12083036185007072,0.1364219731989026,0.16408005423001967,0.15028478799975126,0.09217253345436306,0.0925178269406529,0.16625889852841608
dolphin,0.1363794140395987,0.14782195621125643,0.05111669909107423,0.12871321781216927,0.13935813070564032,0.014864264244882816,0.03470330561809089,0.07100157291386164,0.0532993271326146,0.0833315314204953,0.0894832287407166,0.020404191346756712,0.15506093992466893,0.12152855510325063,0.12823433666093761,0.06033199342356923,0.07210092687682965,0.2153199220180262,0.06372691725249831,0.14325534358234715,0.44859882354406694,0.011290491711740088,0.26996971580089874,0.3353413853211094,0.07016507875433786,0.19148907608289056,0.1536643221262026,0.03819088175597521,0.0850808647485978,0.09767388855490831,0.0722534727711696,0.0305663460152671,0.05886700365130442,0.16070859657458283,0.13341708039339834,0.03821936636902667,0.03422574639049529,0.05146413249726464,0.06839053743457027,0.03214474888279401,0.15516213490278102,0.16248780888887168,0.12768368922139084,0.058321051144358475,0.0312059905299534,0.06618731994098086,0.095951690081493,0.1442219106855534,0.11820257411128844,0.13355678649147404,0.10273721917194406,0.061259296790223225,0.06673550171890612,0.06015656214851004,0.2433681926689567,0.14090556113089395,0.007984799517201126,0.10424278028745976,0.0528135615519779,0.03777715495063402,0.0308947252487237,0.12271935779325711,0.15648131506688498,0.0076347625765640645,0.007508426028581928,0.09031218828797773,0.1145688032418859,0.10827070606075385,0.08939895501209894,0.09188450443418848,0.04903212901062667,0.018554790097647975,0.09730718937275414,0.0163584743707655,0.07145732617286071,0.09071394063487168,0.0911802248379973,-0.029595968713651274,0.04229932058998166,0.01432079929143413,0.0031265300861277896,0.14008233329586622,0.08025832583011895,0.022666908811192894,0.014019460574374972,0.2656985167889619,0.2483100556946033,0.0658300647138808,0.025361333192915593,-9.887301586123539e-4,0.021063290379785046,0.14228798989875044,0.13968795996686723,0.055411940204527874,0.09556828791745683,0.1887336771766223,0.22526237236780552,0.05117150886503809,0.09389601098325251,0.08746273025679926
elephant,0.18349364558009615,0.2123777817384713,0.15104459391208605,0.05148312951808931,0.1271789098200562,0.1007854456033377,0.07937414534741802,0.10489549903673541,0.11817251908760314,0.12158297375407956,0.03307753755433251,0.10872986990009252,0.056486623292159095,0.13416524973335198,0.16955049102414022,0.17133328236545836,0.11380528324209874,0.1884910972502165,0.07117564679305415,0.07399711597319863,0.16173678605034858,0.05486167073462363,0.2814332448082516,0.41233091252071963,0.17725949292146956,0.13481951717123034,0.1797355829824099,0.06963711829553763,0.108899729575021,0.1318737332901547,0.030678890010785952,0.11482949994970018,0.02732118238167452,0.22480997837451924,0.2217248321746003,0.17252684953096617,0.13342070151693078,0.15173592789874188,0.1336330851946845,0.12439882300207816,0.12750648154588134,0.1597493397379993,0.13284102876440124,0.1099358079298299,-0.00650371059634693,0.08499400822907369,0.07692021176052445,0.13692280843214283,0.06057395832678508,0.1382813680711963,0.15222465496123336,0.13611338870072892,0.10783572169999796,0.062435813147340584,0.2892306090739688,0.15699523131206847,0.01200935437321387,0.12446514485083399,0.03492388945014582,0.04154261911504709,-0.04773647012498379,0.10848660485784403,0.10813632582949151,0.04302867790566391,0.08170515585934736,0.1990290536747696,0.06881062031262097,0.13969546688749154,0.12254220358820708,0.03134958666853421,0.04242919524278984,-0.0044658315342923,0.13881158390066928,0.09639877003779425,0.08258713627991643,0.1231159242978852,0.08368134532297627,0.03397649545114638,0.08144729040703517,0.031127078708882733,0.03470853838748079,0.14122858314632106,0.03772927888580572,-0.04676641932327413,0.053720876759554975,0.24650240460070677,0.15551713882047605,0.20723765945929476,0.10906579387251539,0.09312288826462546,0.07445209785020819,0.20527037987083205,0.1288645719644041,0.17106642252303178,0.09765780847481095,0.19492483287692108,0.2048493849041469,0.06703215179646589,0.05511761561271478,0.2125753865791773
flamingo,0.10366278243760688,0.17509132341721428,0.015336290552521172,0.0726143704211666,0.10150270250924377,0.04496372537614672,0.14992092302582122,0.18328824938106425,0.1646757641142366,0.1617710321178079,0.03510845042987348,0.03835463247149235,0.1814991468194168,0.05898829458841211,0.2330187640968165,0.15593904887147833,0.12821107139584292,0.3382852026568957,0.07988933573818432,0.11180068788754682,0.2689984195486751,0.02651527728280247,0.292933480368176,0.3259593245506371,0.18426651800801444,0.0999860971407423,0.24353823500847177,0.031539459978608714,0.15739591977546985,0.06867060544773237,-0.014732526950316882,0.12447152125363571,0.14283567295177854,0.20117286124075096,0.1834273778626107,0.035697592191966186,0.1483495121256556,0.06908982943336461,0.07582404660431784,0.004208629347166795,0.17942216317943682,0.16388734290009344,0.11548221365070827,0.05025327972666236,-0.01896611099661665,0.013306109444078104,0.05901995292400477,0.02749987564523405,0.07801991959017843,0.029377695845291728,0.20288959612256874,0.15462006726488786,0.11102226896429347,0.15184690105232096,0.20665184166434183,0.20119470847593454,-0.05639077430559877,0.21944304661562186,-0.005845881090666295,0.02503776241552594,0.06002174304062434,0.009186424613413277,0.24523748507263338,-0.028951043040450083,0.004596121010710895,0.14275777541750034,0.08441319420795296,0.13847110083602826,0.16434408926833138,0.10953725083018122,0.0476608423519136,0.056141425143908935,0.0424250857444716,0.06202021883904073,0.05807323903705962,0.09749379319551689,0.07888269037272815,0.045599974296752166,-0.012621047949272015,0.07657091759226908,0.0141070181027209,0.16468508488293007,0.07876452260815431,-0.02989425207848659,0.1251166123875045,0.26584613946816743,0.2294656442465976,0.18881116931673186,0.10797594335018544,0.03575899070885178,0.016355418050061795,0.14733511783694295,0.16466294473298965,0.10031047894328096,0.16588383420129557,0.2154273336859383,0.2860154861680576,0.042242492202266196,0.1804673214558097,0.16705199992426484
giraffe,0.18291967073191176,0.2870839321304172,0.08491672354326758,0.06878427854534151,0.14828240264884696,0.18742043527423943,0.13671891391286867,0.19736331848697877,0.10838081568398514,0.14006097558944833,0.05420045131625539,0.07054525323373084,0.21020331782332458,0.1768444586527472,0.25964430606075084,0.24570071301684487,0.1471876855440476,0.28130010167706115,0.1043895278609475,0.17135247004378226,0.21982765982207653,0.10497837911793641,0.31171011338518967,0.41602312566506544,0.31365273065359417,0.19499761185722259,0.23117003118481805,0.07543193271019054,0.1659766161262091,0.10125211238663014,0.024631503062446342,0.1634550230805587,0.13773035248834378,0.3226092682406463,0.26413181397475094,0.036959979690097025,0.2385819210290901,0.08726938020389804,0.07524288256777246,0.12412430894398037,0.34245768034750984,0.28059657162972546,0.1238700360725144,0.1370798265034463,0.01602433260470301,0.06442576595631286,0.16894298639136923,0.22389557617110797,0.10063529461891721,0.15710959817331213,0.23284526207090803,0.11598810451941961,0.10033112672180419,0.12751708340159731,0.35948747959352695,0.23623660759473425,0.007125253114717111,0.20637309062069534,0.06923830379604509,0.09633527214734167,0.03102499358188729,0.08929815196658192,0.24187009960692085,0.0654595538962981,0.0561297919878393,0.18665062208012595,0.15515728816907273,0.2558662931899087,0.2283308314806762,0.08482282122807945,0.08646362033616474,0.0814626655811526,0.0747656828461743,0.0881028940540743,0.053137981026206774,0.14627659192097228,0.14257652159562675,0.042284601792919284,0.021992522779511685,0.1405902479895124,0.08298112521063528,0.22537281550538701,0.051542026982338375,0.007988887722365157,0.14878823450470402,0.27248942831580886,0.2489424973602151,0.3398582750347721,0.21241816125813956,0.12771910542272608,0.12584730305906697,0.20129289072318104,0.27842160352417383,0.13621049067387803,0.22105381281906883,0.24514032810709788,0.36091934812243637,0.05553379833501131,0.20812492278172534,0.21077240082858856
