animal,amber,black,blue,bright,brown,dark,flash,gold,gray,grey,light,medium,multi,neutral,ochre,orange,pattern,patterns,pink,red,single,spots,stripes,tan,tawny,white,yellow
bat,0.14402439741294615,0.1606080257730443,0.20296373831499154,0.1822330192320458,0.19470578094662622,0.2561520324107507,0.12174293887363609,0.15518918100374557,0.22352287070415194,0.18595145406410687,0.1989057684872675,0.24240617713577337,0.11186854134643119,0.11988626812809261,0.28662890480101705,0.1593786237390649,0.13140156463419364,0.14514681181636735,0.1680269614485176,0.2304161318756641,0.21410092542054407,0.18674430549349533,0.1851888364915621,0.13158221232339812,0.30335478251403164,0.17012153973724062,0.25309340791020823
beaver,0.19015845387901759,0.22437260864348535,0.25413679650765375,0.1672307248085534,0.33109845339819277,0.16644139719365866,0.17025753207474864,0.22499630522726483,0.26048249599041023,0.2912513461615935,0.12507225423345059,0.09575099460071036,0.14010677018298173,0.06629555654089009,0.21514299455593305,0.25601063310129774,0.14771154878338105,0.15104564591207192,0.1998550192587463,0.23291452535117027,0.13702665008365958,0.20664154703676393,0.1943390943328617,0.18759663301375967,0.3004474533886278,0.24584865685408225,0.22080717192492563
boar,0.11283472281639947,0.23491986739204176,0.220943327097802,0.14148272746186744,0.200115787680256,0.22484099535967828,0.13752353380962834,0.17582889150055359,0.21632227823926095,0.24095174901882127,0.10337979490648366,0.10180321595097458,0.05942032690532191,0.03454230976520551,0.2122785046952077,0.10328259291920851,0.1494859295225502,0.1381395185821622,0.20407198193150905,0.26346902375916503,0.07765829386545543,0.19222201312102605,0.15550489824936323,0.16592800745529204,0.36224836059032733,0.2293164061617059,0.20107607404664107
cheetah,0.21734392778256578,0.25468623795428275,0.2756137626440467,0.17386532567515103,0.1778025104670949,0.20814765411320446,0.303504464781161,0.10925531828443431,0.1822175807926421,0.22093198812970152,0.1999141815646045,0.16742850100980358,0.17578366752379385,0.1218823577698912,0.11243596232427772,0.17710401609266802,0.1591098135265772,0.1593998824622842,0.26989342945147043,0.24789086248989023,0.237706726363467,0.23830546700986793,0.24764199127514328,0.1645021680890764,0.34500832671587744,0.21595852974339938,0.16327576497206714
crow,0.21469370214233757,0.3874512112107371,0.2743038203671696,0.2770692511489918,0.30930042660866097,0.2740478424091615,0.1403406515751267,0.15057045087023593,0.2824093344730258,0.26709465308542774,0.14758321948506412,0.15320313020328422,0.17300939113801198,0.04981810923664619,0.2635259931574513,0.21044450293302128,0.17491992596816322,0.1991697367666599,0.2557739912026502,0.25197643331280184,0.23949078233308801,0.17590579437480436,0.23020743530218424,0.1639799227097493,0.3537778941533673,0.38817705083206006,0.2593279652242309
deer,0.2287636166268333,0.27127518023053854,0.26239261018113863,0.19969175313603402,0.2541045187441967,0.18349025171240096,0.1658417249286989,0.18895597855906832,0.29620483149011495,0.31370328249656354,0.19980855251767246,0.19499593998747977,0.09623594586844793,0.07721064149573091,0.28431055602812805,0.17048848439755113,0.11514238184298059,0.16766948986217717,0.19918045023093536,0.34897834466997457,0.14370471587652228,0.2384478326530511,0.20398005353229035,0.22060569571311697,0.36670777477399935,0.34024073254999915,0.24530522415296765
dolphin,0.18664367639081292,0.137061062151361,0.3117964956057556,0.19209054408765364,0.22252576699311555,0.16580547262618817,0.20795373604760076,0.16776840228645462,0.2493894764087511,0.195472252049982,0.17867772065886853,0.19084561321824228,0.18378581415588352,0.1478102923640274,0.20259680620189155,0.19159206388834782,0.19643888322040345,0.23113990361159617,0.23287914463217216,0.19478089027638104,0.1507996893828682,0.20083248459334574,0.27050249341923566,0.09292400419413867,0.2562712358966143,0.19741469364844916,0.21334494369602067
elephant,0.1877191021182315,0.2792613440611501,0.21535998116978833,0.13698738674531102,0.20515059600492877,0.22251845397492018,0.15962129403280492,0.17433470453436253,0.21897215157066052,0.1659530804819428,0.16553050514338813,0.16016699957529462,0.1350513077128281,0.09788999227678212,0.17351102032963858,0.20656013060779954,0.13808396237967177,0.1697113577169797,0.2995460898488394,0.24958138056993256,0.1375163541075659,0.22801876465619642,0.24817369731104424,0.20177344118224724,0.2643765263762799,0.33840472863276977,0.1806763946816823
flamingo,0.24608997000650368,0.27930847865051744,0.34863470716297495,0.21756707982251167,0.25606106728219213,0.24188768097732716,0.2758682860045582,0.24217226369585665,0.24133007063545758,0.280572672445549,0.17881965368057337,0.1612371522782635,0.11851892479354188,0.13142531096281962,0.20174968124991538,0.3018700753681705,0.17148150496355014,0.19317525703563565,0.3664764114474432,0.28573498792012014,0.17124767515900818,0.23244451850472636,0.23076996901733549,0.13931906432944732,0.3534102250534632,0.25753150753957293,0.2592816825529928
giraffe,0.2235578196082665,0.24333001723934103,0.2372519946623661,0.21635258065336646,0.21422750921409373,0.2143140743579935,0.21725801452261756,0.12402806324555717,0.22491055592633713,0.2527514551149655,0.17599415381195432,0.1511117413404972,0.07716688106487256,0.11838355920884404,0.17486157595112403,0.2274553068410909,0.22660305953820054,0.2128137110921239,0.2892414733001459,0.22810045720208535,0.14480436751728978,0.20669215541617644,0.25964901102736077,0.20536859557432585,0.3419516658468559,0.2725457242117178,0.2161725539742047
