animal1,animal2,language_similarity_simple_dist_shape
bat,bat,0
beaver,bat,0.6275742951749435
boar,bat,0.6110270969469309
cheetah,bat,0.8853056245578975
crow,bat,0.800658963890103
deer,bat,0.5450887918598804
dolphin,bat,0.9791455724848122
elephant,bat,0.5695858064320779
flamingo,bat,0.742590778570346
giraffe,bat,0.9399809520495486
goat,bat,0.8506817748646487
gorilla,bat,1.0114324451892183
grizzly,bat,0.9785590236538574
hippo,bat,1.168478513953502
lion,bat,0.6888050985505118
llama,bat,1.526496351817129
mammoth,bat,0.973326807389661
panda,bat,0.9956084507602772
panther,bat,0.6270099553906762
pig,bat,1.1360911672046448
pigeon,bat,0.80370883608845
rhino,bat,1.5565044583033223
shark,bat,0.769667836347957
sheep,bat,0.7462763596476055
skunk,bat,1.3391485798327551
sloth,bat,0.8655423894223063
swan,bat,0.7834274331922814
zebra,bat,1.3766393645173975
bat,beaver,0.6275742951749435
beaver,beaver,0
boar,beaver,0.4627736267373649
cheetah,beaver,0.9623318543481418
crow,beaver,0.8050847460498052
deer,beaver,0.5250378231571075
dolphin,beaver,1.06880505872541
elephant,beaver,0.6341482434948041
flamingo,beaver,0.691960660686255
giraffe,beaver,0.9839956585542231
goat,beaver,0.789820931916732
gorilla,beaver,1.1643751941842837
grizzly,beaver,1.0536012737048266
hippo,beaver,1.2235610650550375
lion,beaver,0.7826418206290743
llama,beaver,1.5908408403562782
mammoth,beaver,1.0192708105433756
panda,beaver,1.1133238375237295
panther,beaver,0.48438539435890526
pig,beaver,1.22174857988631
pigeon,beaver,0.8329191627560173
rhino,beaver,1.6389688057384055
shark,beaver,0.8613312293488181
sheep,beaver,0.761731510027557
skunk,beaver,1.4044377277733784
sloth,beaver,1.0163768338411587
swan,beaver,0.8453203867280245
zebra,beaver,1.4043196559080375
bat,boar,0.6110270969469309
beaver,boar,0.4627736267373649
boar,boar,0
cheetah,boar,0.9359633848135147
crow,boar,0.8285139396919691
deer,boar,0.5981497882678206
dolphin,boar,1.0680242243182336
elephant,boar,0.5809717962012154
flamingo,boar,0.6583052501984397
giraffe,boar,0.9141861337847297
goat,boar,0.6905832598697222
gorilla,boar,1.136013427757097
grizzly,boar,1.0425757953359285
hippo,boar,1.1339602186232194
lion,boar,0.7996900530197306
llama,boar,1.5425883067131043
mammoth,boar,1.067666748228125
panda,boar,1.1139669713345393
panther,boar,0.5865349560308597
pig,boar,1.1390356225345661
pigeon,boar,0.8033485491153379
rhino,boar,1.5812785923037347
shark,boar,0.8767070697813979
sheep,boar,0.7393729949096196
skunk,boar,1.3381278135968158
sloth,boar,1.0098968072161363
swan,boar,0.8073238659760786
zebra,boar,1.3808936650271098
bat,cheetah,0.8853056245578975
beaver,cheetah,0.9623318543481418
boar,cheetah,0.9359633848135147
cheetah,cheetah,0
crow,cheetah,1.4317301061503862
deer,cheetah,1.0691270456883208
dolphin,cheetah,0.5918656496879183
elephant,cheetah,0.6633188975069544
flamingo,cheetah,0.9965487032049982
giraffe,cheetah,0.48298310863480937
goat,cheetah,0.76446317476177
gorilla,cheetah,0.5269851672997368
grizzly,cheetah,0.5531573914846452
hippo,cheetah,0.5186183682033273
lion,cheetah,0.9978385970713474
llama,cheetah,0.8941613315445193
mammoth,cheetah,0.9300597880501034
panda,cheetah,0.5469644957438495
panther,cheetah,1.1379948335093713
pig,cheetah,0.6691749504647359
pigeon,cheetah,0.6387448629442299
rhino,cheetah,0.8727284916361219
shark,cheetah,0.65062423764867
sheep,cheetah,0.6695177491185581
skunk,cheetah,0.7689234466189576
sloth,cheetah,0.6348790789088821
swan,cheetah,0.776296975878169
zebra,cheetah,0.6476986726163226
bat,crow,0.800658963890103
beaver,crow,0.8050847460498052
boar,crow,0.8285139396919691
cheetah,crow,1.4317301061503862
crow,crow,0
deer,crow,0.8720307229082154
dolphin,crow,1.5100553192110024
elephant,crow,0.99844046545998
flamingo,crow,0.796484208214879
giraffe,crow,1.3620158711171149
goat,crow,1.2738179828168834
gorilla,crow,1.61771621665127
grizzly,crow,1.5881575397840073
hippo,crow,1.6926947861813715
lion,crow,1.1758146265998124
llama,crow,2.122310689598148
mammoth,crow,1.468876155297036
panda,crow,1.6044431552450966
panther,crow,0.642215828263532
pig,crow,1.672422935427906
pigeon,crow,1.240154126414675
rhino,crow,2.1610822097417164
shark,crow,1.30523915867848
sheep,crow,1.2493719992534262
skunk,crow,1.867962903858279
sloth,crow,1.4508726111837602
swan,crow,1.0444938928055743
zebra,crow,1.9036277699725188
bat,deer,0.5450887918598804
beaver,deer,0.5250378231571075
boar,deer,0.5981497882678206
cheetah,deer,1.0691270456883208
crow,deer,0.8720307229082154
deer,deer,0
dolphin,deer,1.1357995077802363
elephant,deer,0.704746532488742
flamingo,deer,0.9105722721173466
giraffe,deer,1.1602751811064733
goat,deer,0.9318812659876452
gorilla,deer,1.2474974654500048
grizzly,deer,1.0653934738020336
hippo,deer,1.3365394609851962
lion,deer,0.5319658574103548
llama,deer,1.6588489811590372
mammoth,deer,1.0744304478488331
panda,deer,1.1449006652465654
panther,deer,0.5652662007766638
pig,deer,1.3120655806691255
pigeon,deer,0.9561979456225878
rhino,deer,1.689807619542092
shark,deer,0.9174567957701981
sheep,deer,0.7883797418989023
skunk,deer,1.5039588951961822
sloth,deer,1.0457377422424217
swan,deer,1.0281891762704582
zebra,deer,1.5167819166783414
bat,dolphin,0.9791455724848122
beaver,dolphin,1.06880505872541
boar,dolphin,1.0680242243182336
cheetah,dolphin,0.5918656496879183
crow,dolphin,1.5100553192110024
deer,dolphin,1.1357995077802363
dolphin,dolphin,0
elephant,dolphin,0.8296149658087636
flamingo,dolphin,1.0685043629469906
giraffe,dolphin,0.7803132210690663
goat,dolphin,0.8523670800226415
gorilla,dolphin,0.7373141985201708
grizzly,dolphin,0.7172978896608362
hippo,dolphin,0.692455763648714
lion,dolphin,1.0009241992439035
llama,dolphin,0.9425297296793833
mammoth,dolphin,1.0119363268202033
panda,dolphin,0.6084402976932032
panther,dolphin,1.2406191175229324
pig,dolphin,0.7236732102014524
