animal1,animal2,language_similarity_simple_dist_color
bat,bat,0
beaver,bat,0.4907148060803689
boar,bat,0.5566016986873558
cheetah,bat,0.3761768619184143
crow,bat,0.49669835723037875
deer,bat,0.4716192467092409
dolphin,bat,0.5012235044851844
elephant,bat,0.3692727064925127
flamingo,bat,0.5286825559379262
giraffe,bat,0.4796256088793476
goat,bat,0.3885771298365597
gorilla,bat,0.41081900057585297
grizzly,bat,0.4237503100305349
hippo,bat,0.71817751288094
lion,bat,0.4635642657855941
llama,bat,0.6839207246849025
mammoth,bat,0.5375733698821465
panda,bat,0.3937360300774035
panther,bat,0.7160946071461369
pig,bat,0.4667630650840396
pigeon,bat,0.5742944548916432
rhino,bat,0.4934703998537758
shark,bat,0.4286781783405469
sheep,bat,0.586781840779085
skunk,bat,0.4920028865754894
sloth,bat,0.7419961548739915
swan,bat,0.502736100921385
zebra,bat,0.4539327945673799
bat,beaver,0.4907148060803689
beaver,beaver,0
boar,beaver,0.5132365779555309
cheetah,beaver,0.48221346489954603
crow,beaver,0.5010128465695459
deer,beaver,0.3103272856677633
dolphin,beaver,0.3886675887067682
elephant,beaver,0.38464801009094757
flamingo,beaver,0.3713803491360174
giraffe,beaver,0.5169147401973642
goat,beaver,0.33811506351118537
gorilla,beaver,0.4612827581453026
grizzly,beaver,0.3380814332649391
hippo,beaver,0.5486919105216841
lion,beaver,0.44308025603543183
llama,beaver,0.6533543981226773
mammoth,beaver,0.4144110902478501
panda,beaver,0.3817141087066933
panther,beaver,0.7451164853966565
pig,beaver,0.41915562641873705
pigeon,beaver,0.500756271688455
rhino,beaver,0.5887897637160172
shark,beaver,0.3799410199888791
sheep,beaver,0.5788235052723004
skunk,beaver,0.2987205507609865
sloth,beaver,0.6294589438116623
swan,beaver,0.42011561501497974
zebra,beaver,0.4068836151894905
bat,boar,0.5566016986873558
beaver,boar,0.5132365779555309
boar,boar,0
cheetah,boar,0.5618250637585873
crow,boar,0.7155140901402068
deer,boar,0.3502869738961393
dolphin,boar,0.42980232888469727
elephant,boar,0.4512071562864337
flamingo,boar,0.6843899557517936
giraffe,boar,0.4897456683495167
goat,boar,0.24769792844421223
gorilla,boar,0.4974456001229653
grizzly,boar,0.5637883590781168
hippo,boar,0.35750134084729834
lion,boar,0.6830426938670117
llama,boar,0.4091051005193143
mammoth,boar,0.522532993470385
panda,boar,0.48650686616621075
panther,boar,1.0747826072117037
pig,boar,0.3405719673982526
pigeon,boar,0.6820847417460988
rhino,boar,0.694258235575933
shark,boar,0.4655364237290034
sheep,boar,0.30877546796156397
skunk,boar,0.5381632779243564
sloth,boar,0.36824652297144483
swan,boar,0.7015045164115075
zebra,boar,0.591077746260834
bat,cheetah,0.3761768619184143
beaver,cheetah,0.48221346489954603
boar,cheetah,0.5618250637585873
cheetah,cheetah,0
crow,cheetah,0.4806873145290761
deer,cheetah,0.4975133840091249
dolphin,cheetah,0.36308034099810044
elephant,cheetah,0.32694884555061693
flamingo,cheetah,0.4186848624392028
giraffe,cheetah,0.3459951885265242
goat,cheetah,0.4245656596284361
gorilla,cheetah,0.2878736785004218
grizzly,cheetah,0.30391241090874915
hippo,cheetah,0.6974687453908738
lion,cheetah,0.4995501454213007
llama,cheetah,0.6442615878592364
mammoth,cheetah,0.5002311680056508
panda,cheetah,0.33751513247963494
panther,cheetah,0.7456245718280534
pig,cheetah,0.43426985631186804
pigeon,cheetah,0.46672448856633736
rhino,cheetah,0.5148790462139721
shark,cheetah,0.27728471918789166
sheep,cheetah,0.581484361013825
skunk,cheetah,0.39893093202343466
sloth,cheetah,0.6664338334033338
swan,cheetah,0.43738353150022286
zebra,cheetah,0.3635765544062198
bat,crow,0.49669835723037875
beaver,crow,0.5010128465695459
boar,crow,0.7155140901402068
cheetah,crow,0.4806873145290761
crow,crow,0
deer,crow,0.6226277360251659
dolphin,crow,0.5512125833979225
elephant,crow,0.46043303423362997
flamingo,crow,0.3400525764942609
giraffe,crow,0.5979223673652332
goat,crow,0.5595195017360954
gorilla,crow,0.5344238987237223
grizzly,crow,0.4210747008059759
hippo,crow,0.8285435202981378
lion,crow,0.46660516326400386
llama,crow,0.8733243612024428
mammoth,crow,0.6428642811851213
panda,crow,0.5370523378055604
panther,crow,0.5251252684333416
pig,crow,0.6164927318816579
pigeon,crow,0.4698279866866342
rhino,crow,0.5651940524408559
shark,crow,0.4937492560716408
sheep,crow,0.8110438429468012
skunk,crow,0.47969107879662315
sloth,crow,0.8325984266772489
swan,crow,0.3365525561120993
zebra,crow,0.4670721197144269
bat,deer,0.4716192467092409
beaver,deer,0.3103272856677633
boar,deer,0.3502869738961393
cheetah,deer,0.4975133840091249
crow,deer,0.6226277360251659
deer,deer,0
dolphin,deer,0.3671197742071635
