subject,group,texture,animal,expected,scales,feathers,skin,fur
cb1,CB,scales,snake,0,0,0,1,0
cb1,CB,scales,lizard,0,0,0,1,0
cb1,CB,scales,crocodile,0,0,0,1,0
cb1,CB,scales,goldfish,1,1,0,0,0
cb1,CB,scales,eel,1,1,0,0,0
cb1,CB,scales,turtle,0,0,0,1,0
cb1,CB,feathers,penguin,0,0,0,1,0
cb1,CB,feathers,pigeon,1,0,1,0,0
cb1,CB,feathers,ostrich,0,0,0,0,1
cb1,CB,feathers,peacock,1,0,1,0,0
cb1,CB,feathers,flamingo,1,0,1,0,0
cb1,CB,skin,frog,1,0,0,1,0
cb1,CB,skin,worm,1,0,0,1,0
cb1,CB,skin,elephant,1,0,0,1,0
cb1,CB,skin,rhino,0,0,0,0,1
cb1,CB,skin,toad,0,1,0,0,0
cb1,CB,skin,hippo,1,0,0,1,0
cb1,CB,skin,dolphin,1,0,0,1,0
cb1,CB,scales,shark,1,1,0,0,0
cb1,CB,skin,pig,0,0,0,0,1
cb1,CB,fur,platypus,1,0,0,0,1
cb1,CB,fur,ferret,1,0,0,0,1
cb1,CB,fur,gorilla,0,0,0,1,0
cb1,CB,fur,sheep,1,0,0,0,1
cb1,CB,fur,fox,1,0,0,0,1
cb1,CB,fur,bear,1,0,0,0,1
cb1,CB,fur,horse,1,0,0,0,1
cb1,CB,fur,donkey,1,0,0,0,1
cb1,CB,fur,seal,0,0,0,1,0
cb1,CB,fur,cat,1,0,0,0,1
cb2,CB,scales,snake,0,0,0,1,0
cb2,CB,scales,lizard,1,1,0,0,0
cb2,CB,scales,crocodile,1,1,0,0,0
cb2,CB,scales,goldfish,1,1,0,0,0
cb2,CB,scales,eel,0,0,0,1,0
cb2,CB,scales,turtle,0,0,0,1,0
cb2,CB,feathers,penguin,1,0,1,0,0
cb2,CB,feathers,pigeon,1,0,1,0,0
cb2,CB,feathers,ostrich,1,0,1,0,0
cb2,CB,feathers,peacock,1,0,1,0,0
cb2,CB,feathers,flamingo,1,0,1,0,0
cb2,CB,skin,frog,1,0,0,1,0
cb2,CB,skin,worm,1,0,0,1,0
cb2,CB,skin,elephant,0,0,0,0,1
cb2,CB,skin,rhino,0,0,0,0,1
cb2,CB,skin,toad,1,0,0,1,0
cb2,CB,skin,hippo,0,0,0,0,1
cb2,CB,skin,dolphin,1,0,0,1,0
cb2,CB,scales,shark,1,1,0,0,0
cb2,CB,skin,pig,0,0,0,0,1
cb2,CB,fur,platypus,0,1,0,0,0
cb2,CB,fur,ferret,1,0,0,0,1
cb2,CB,fur,gorilla,1,0,0,0,1
cb2,CB,fur,sheep,1,0,0,0,1
cb2,CB,fur,fox,1,0,0,0,1
cb2,CB,fur,bear,1,0,0,0,1
cb2,CB,fur,horse,1,0,0,0,1
cb2,CB,fur,donkey,1,0,0,0,1
cb2,CB,fur,seal,0,0,0,1,0
cb2,CB,fur,cat,1,0,0,0,1
cb3,CB,scales,snake,0,0,0,1,0
cb3,CB,scales,lizard,1,1,0,0,0
cb3,CB,scales,crocodile,1,1,0,0,0
cb3,CB,scales,goldfish,1,1,0,0,0
cb3,CB,scales,eel,1,1,0,0,0
cb3,CB,scales,turtle,0,0,0,1,0
cb3,CB,feathers,penguin,1,0,1,0,0
cb3,CB,feathers,pigeon,1,0,1,0,0
cb3,CB,feathers,ostrich,1,0,1,0,0
cb3,CB,feathers,peacock,1,0,1,0,0
cb3,CB,feathers,flamingo,1,0,1,0,0
cb3,CB,skin,frog,1,0,0,1,0
cb3,CB,skin,worm,1,0,0,1,0
cb3,CB,skin,elephant,0,0,0,0,1
cb3,CB,skin,rhino,0,0,0,0,1
cb3,CB,skin,toad,0,1,0,0,0
cb3,CB,skin,hippo,1,0,0,1,0
cb3,CB,skin,dolphin,1,0,0,1,0
cb3,CB,scales,shark,1,1,0,0,0
cb3,CB,skin,pig,0,0,0,0,1
cb3,CB,fur,platypus,0,0,0,1,0
cb3,CB,fur,ferret,1,0,0,0,1
cb3,CB,fur,gorilla,1,0,0,0,1
cb3,CB,fur,sheep,1,0,0,0,1
cb3,CB,fur,fox,1,0,0,0,1
cb3,CB,fur,bear,1,0,0,0,1
cb3,CB,fur,horse,1,0,0,0,1
cb3,CB,fur,donkey,1,0,0,0,1
cb3,CB,fur,seal,0,1,0,0,0
