animal1,animal2,language_similarity_simple_dist_texture
bat,bat,0
beaver,bat,0.655754011792443
boar,bat,0.6874973659997692
cheetah,bat,0.5758193014682842
crow,bat,0.5754822704592776
deer,bat,0.7100522866762486
dolphin,bat,0.7474226855567868
elephant,bat,0.5204752144324084
flamingo,bat,0.5368992290430064
giraffe,bat,0.6508722711987469
goat,bat,0.6543427327989537
gorilla,bat,0.4297691460286556
grizzly,bat,0.535898943596182
hippo,bat,0.8864291962861732
lion,bat,0.6864938870800397
llama,bat,0.5829070907643082
mammoth,bat,0.6357280795905786
panda,bat,0.3827313627426791
panther,bat,0.569392998715771
pig,bat,0.6618792566543747
pigeon,bat,0.6844145782495892
rhino,bat,0.5010006290255389
shark,bat,0.4617392237037715
sheep,bat,0.7199710295766606
skunk,bat,0.5041966603619289
sloth,bat,0.6419619948817787
swan,bat,0.6673356566362907
zebra,bat,0.67902848400228
bat,beaver,0.655754011792443
beaver,beaver,0
boar,beaver,0.7572252576110895
cheetah,beaver,0.6585409838238531
crow,beaver,0.6778051702824748
deer,beaver,0.4556315491982305
dolphin,beaver,0.7468308677311011
elephant,beaver,0.6772888963747111
flamingo,beaver,0.6432854017588786
giraffe,beaver,0.7219563074966602
goat,beaver,0.7506691739446201
gorilla,beaver,0.583180002826485
grizzly,beaver,0.5372072071285077
hippo,beaver,0.8316408530635806
lion,beaver,0.6684796295605783
llama,beaver,0.6216285845607713
mammoth,beaver,0.5555569930702593
panda,beaver,0.6336530055213714
panther,beaver,0.6544543611242489
pig,beaver,0.8418590202870979
pigeon,beaver,0.6822812268797885
rhino,beaver,0.7062160907244035
shark,beaver,0.7308804933076993
sheep,beaver,0.6641471112505745
skunk,beaver,0.732680358544858
sloth,beaver,0.7904463282065644
swan,beaver,0.6192458259035726
zebra,beaver,0.6266677222300511
bat,boar,0.6874973659997692
beaver,boar,0.7572252576110895
boar,boar,0
cheetah,boar,0.6738789142953305
crow,boar,0.8240404504065744
deer,boar,0.6270263337752281
dolphin,boar,0.764919157116829
elephant,boar,0.5101740698347587
flamingo,boar,0.7594634408267731
giraffe,boar,0.5441641389847558
goat,boar,0.5138420838374551
gorilla,boar,0.6752871952240002
grizzly,boar,0.7681501255433189
hippo,boar,0.9521565006676804
lion,boar,0.5897451271103162
llama,boar,0.6423164881650486
mammoth,boar,0.75809144477193
panda,boar,0.6846201230609458
panther,boar,0.83771960384261
pig,boar,0.688487396121475
pigeon,boar,0.6272045476700483
rhino,boar,0.830753687362028
shark,boar,0.5926240642040822
sheep,boar,0.5464488985603525
skunk,boar,0.766332388603771
sloth,boar,0.5531627488423195
swan,boar,0.7589779873944225
zebra,boar,0.6860501432902077
bat,cheetah,0.5758193014682842
beaver,cheetah,0.6585409838238531
boar,cheetah,0.6738789142953305
cheetah,cheetah,0
crow,cheetah,0.5863312503152793
deer,cheetah,0.5589111565983437
dolphin,cheetah,0.5626127053289892
elephant,cheetah,0.5634778401567133
flamingo,cheetah,0.5952717439084168
giraffe,cheetah,0.4362726559110046
goat,cheetah,0.7666587047528604
gorilla,cheetah,0.4732391851554518
grizzly,cheetah,0.4991974848540982
hippo,cheetah,0.7732500207970995
lion,cheetah,0.5608840160812967
llama,cheetah,0.5139781636426505
mammoth,cheetah,0.6610444687669628
panda,cheetah,0.47630703615366066
panther,cheetah,0.5172096123711879
pig,cheetah,0.8286495935926599
pigeon,cheetah,0.5470701410032989
rhino,cheetah,0.6096918667462673
shark,cheetah,0.5875543543580524
sheep,cheetah,0.6879908210287319
skunk,cheetah,0.5994594091867624
sloth,cheetah,0.6848541710009494
swan,cheetah,0.6133975768128959
zebra,cheetah,0.41944286610104387
bat,crow,0.5754822704592776
beaver,crow,0.6778051702824748
boar,crow,0.8240404504065744
cheetah,crow,0.5863312503152793
crow,crow,0
deer,crow,0.7713445879801245
dolphin,crow,0.8992250239003001
elephant,crow,0.5367868573512382
flamingo,crow,0.4038237499899805
giraffe,crow,0.6189373827151369
goat,crow,0.7715257134886332
gorilla,crow,0.4376534883900824
grizzly,crow,0.4818697315269942
hippo,crow,0.9993567383955664
lion,crow,0.8058129091858244
llama,crow,0.7329640381689697
mammoth,crow,0.6125932114786623
panda,crow,0.553597730686983
panther,crow,0.623825495138987
pig,crow,0.7194860950530774
pigeon,crow,0.629091436985784
rhino,crow,0.6041960304258487
shark,crow,0.5586048884243128
sheep,crow,0.8835314044842177
skunk,crow,0.5259992282055593
sloth,crow,0.6880446089246764
swan,crow,0.6740201000360092
zebra,crow,0.6844328188085838
bat,deer,0.7100522866762486
beaver,deer,0.4556315491982305
boar,deer,0.6270263337752281
cheetah,deer,0.5589111565983437
crow,deer,0.7713445879801245
deer,deer,0
dolphin,deer,0.6509000883968246
elephant,deer,0.6489410050598843
flamingo,deer,0.7501973653153114
giraffe,deer,0.6050236533602232
goat,deer,0.7920880956359447
gorilla,deer,0.6773704515218953
grizzly,deer,0.6674338213497691
hippo,deer,0.7614027417857407
lion,deer,0.47039552634782983
llama,deer,0.6639874758308822
mammoth,deer,0.6291612299455946
panda,deer,0.6759862114490651
panther,deer,0.6500196673586727
pig,deer,0.9389069823616466
pigeon,deer,0.6083493359126011
rhino,deer,0.8355410308585159
shark,deer,0.7889906456719478
sheep,deer,0.5486828702121159
skunk,deer,0.7888430957920806
sloth,deer,0.8066892503006533
swan,deer,0.5878402571826776
zebra,deer,0.5944467585627767
bat,dolphin,0.7474226855567868
beaver,dolphin,0.7468308677311011
boar,dolphin,0.764919157116829
cheetah,dolphin,0.5626127053289892
crow,dolphin,0.8992250239003001
deer,dolphin,0.6509000883968246
dolphin,dolphin,0
elephant,dolphin,0.8425958294508804
flamingo,dolphin,0.8309103884266844
giraffe,dolphin,0.6750198582012905
goat,dolphin,1.0226698040322308
gorilla,dolphin,0.7708521831105709
grizzly,dolphin,0.7912909444583771
hippo,dolphin,0.4811897949503891
lion,dolphin,0.7089088289957092
llama,dolphin,0.6956645384189067
mammoth,dolphin,0.751837129307859
panda,dolphin,0.6476127553226864
panther,dolphin,0.670672223384867
pig,dolphin,1.1485472760251796
pigeon,dolphin,0.6879090694869101
rhino,dolphin,0.8036260307819247
shark,dolphin,0.7353665487106729
sheep,dolphin,0.8381690506321319
skunk,dolphin,0.8795714190209626
sloth,dolphin,0.8247917164522279
swan,dolphin,0.5746947226832987
zebra,dolphin,0.5179294597663001
bat,elephant,0.5204752144324084
beaver,elephant,0.6772888963747111
boar,elephant,0.5101740698347587
cheetah,elephant,0.5634778401567133
crow,elephant,0.5367868573512382
deer,elephant,0.6489410050598843
dolphin,elephant,0.8425958294508804
elephant,elephant,0
flamingo,elephant,0.47924069889335774
giraffe,elephant,0.456467500778616
goat,elephant,0.5091511742198754
