animal,big,bristles,bristly,brushy,bushy,circular,coarse,coat,course,curly,feathers,fine,flat,fleece,fluff,fluffy,fur,fuzz,hair,hide,leather,leathery,light,long,medium,rough,rubber,rubbery,scales,scaly,shaggy,short,silk,skin,slick,slimy,slippery,small,smooth,soft,sparse,thick,thin,tough,valuable,wet,wiry,wool,wooly,wrinkled
bat,0.4265526770463812,0.38867944262656157,0.43286956774262686,0.28009172188491693,0.33847562034749573,0.3122788819899157,0.24555968891903687,0.37591583084221086,0.33446112901684616,0.34483792538235686,0.48577847106040867,0.3271045715882032,0.33567777758913625,0.2773836275586917,0.22768293529502684,0.19459733398434279,0.36285829090065375,0.29259556015336413,0.362607714896956,0.3680673990812507,0.40424398092927777,0.3891734599642473,0.4019075557922936,0.3744209762667612,0.1982057587535348,0.4021029778504432,0.4289224777938696,0.36906570562141344,0.31150201871477934,0.44782081820753467,0.33628429440717744,0.33525135505520576,0.27121118818841145,0.35295207373751536,0.3344828934229655,0.3003166241936466,0.3246719148348339,0.31735556130472736,0.2622865384567082,0.32715315464781614,0.249538889890053,0.34797278069849824,0.34377930528663553,0.3384683091601566,0.31244140724640623,0.44000808673051284,0.37399814566214173,0.3244122387950361,0.4309782942140996,0.24176656924751483
beaver,0.3848251004052369,0.33029411650282653,0.4802896901708235,0.4865222177208956,0.4454408942161049,0.3257311364425745,0.41705507711660394,0.427998143190534,0.3204727762884701,0.4320253305111735,0.5664882474594488,0.3611790603555904,0.32866831106472477,0.46178692795613485,0.2955966132453105,0.30302066436382163,0.5926573386580934,0.2956509504780653,0.4090888502654361,0.4388217789378777,0.421179491226879,0.45068613605483565,0.37327015511920675,0.38395379854484923,0.22683550125268837,0.39535417185408195,0.37210003205780634,0.32563033341985376,0.2958406899227024,0.4977091880094172,0.4718629630739115,0.3669339724964332,0.3804449261733551,0.38214421153044753,0.37075274286190546,0.34582280280819533,0.3503295626260249,0.40846847256640934,0.28527412777763766,0.32862681366505436,0.38685703563378193,0.4408293927392776,0.43586226977829606,0.24403626833629077,0.32516133389035257,0.5016975571780063,0.3943412557365589,0.4570651886420084,0.6109879353066819,0.36310949488681943
boar,0.3675318493779941,0.43441948044628553,0.567508546187596,0.41782282068655585,0.45759760047177345,0.327964159973788,0.4194603949335828,0.4057423064127719,0.2933143994677432,0.4647636119887481,0.51571461654972806,0.3607948137560366,0.3416913866636453,0.33489831214033844,0.25506542162820134,0.26878369537473834,0.49462887519560267,0.2878609544888423,0.40867529754155474,0.4346686526337223,0.39882144992723884,0.5074083912817489,0.3070441040246317,0.3490660274224182,0.25012257484752853,0.3880727795500602,0.2974080068509508,0.42265309004763896,0.2731632499353823,0.5447261667523524,0.511313854470909,0.3059493556157291,0.2998187103754051,0.3932790648145056,0.34291542344205517,0.39070904253255717,0.333994593394912,0.33222308494543384,0.27887745823187,0.339483675180637,0.33688820228403416,0.4563548043813258,0.3916558404016967,0.28520584588608483,0.23674565799626504,0.4164451392114986,0.4128510947498542,0.3686992511724804,0.5409189854384437,0.36414672674138165
cheetah,0.3281253247429937,0.19257313150399386,0.35070937728197044,0.3279154789456201,0.38925376716202964,0.27091530510330586,0.16122373732092726,0.2641525412934141,0.22141442950413104,0.2917006514334693,0.4311221500068036,0.23288799985680034,0.24116814764331945,0.33033834931269845,0.29421902124846044,0.36865693936237615,0.4707691379915331,0.26659699037483253,0.31167835065257593,0.27824294662008897,0.3221921523359547,0.37066339346610516,0.18919203721014552,0.249069561484246,0.1716112240368214,0.22320501956332928,0.3223549290154723,0.3169858089086734,0.17557072542688865,0.3916211345756244,0.43551582417742646,0.2590583707334724,0.3090724586987074,0.29196061945096735,0.26787603079428507,0.23410111464337197,0.270930070437954,0.25061999300444043,0.26423655305200905,0.2734290099567551,0.2479535022818363,0.24539890066000672,0.22415885025937868,0.21065424359379575,0.19650216058219333,0.3372587429015363,0.3096425021156632,0.2998953536695518,0.4920721567328437,0.22725883792284518
crow,0.4547077514920125,0.4493181875455876,0.5521212621527092,0.43340669467537063,0.5001686361143918,0.38996748233350365,0.3486427080567275,0.3531021645103515,0.36449398286410656,0.47082103948066045,0.6251113253182577,0.3934069750802094,0.4442958151984502,0.3096604542811586,0.34247588987363253,0.29598554203025024,0.4333361472698299,0.3634732315731032,0.48108688496871277,0.4852616894855099,0.34179588457576,0.47560764635893543,0.4281161180892376,0.43534928470033707,0.2441349396030783,0.41479236765073746,0.2935768053954974,0.397583254391877,0.36579755185409385,0.5913090328644994,0.43532439215350627,0.4044646961317155,0.30881492103593206,0.46092804534792264,0.4008154295673206,0.3574727497333698,0.3296908515873674,0.39557074271633846,0.31442301010871637,0.4226435716194403,0.4081270212157122,0.44453384022841386,0.44762394502283426,0.3298807054291021,0.3169379930816361,0.473215914687796,0.43122299334853914,0.302492329413171,0.5018379170881769,0.42734554154051785
deer,0.3909857701663651,0.3418522521794762,0.4787977995792939,0.4955477464813925,0.4206312224179351,0.2720784112459663,0.34775766738814456,0.3548278521758107,0.38817421308175737,0.3753043360977899,0.5274874139825576,0.40075544496488075,0.33985573675038755,0.338862455028867,0.1698569728349735,0.19715491613600658,0.4679400908343098,0.2318793726793112,0.3435688635557584,0.452300572599356,0.39922635330893524,0.44805313452216183,0.4318641685411168,0.4388357968631046,0.18986898289931545,0.43397369757211623,0.28059969844912847,0.2710147632681415,0.34366429799381376,0.5137324064672728,0.39369213512302936,0.38057329473646073,0.2187622572595868,0.36927092329362504,0.3099260708050422,0.2023804460792713,0.2899901579344355,0.40177920449569454,0.20713254988428115,0.28626911782011566,0.41876416513138304,0.41677903168745556,0.3762949910567753,0.33429860242196346,0.36121105807893644,0.4852242079126756,0.3292013194484737,0.3408870876518597,0.5292794681649129,0.2668535078000765
dolphin,0.31354272934905586,0.21757964224923876,0.27483671871721005,0.21120978607528318,0.24464586762073517,0.3240323712285267,0.2319921991701738,0.20218914950439357,0.23949591431131206,0.27206763236152687,0.3768760988874933,0.25577763435264456,0.25557366839150386,0.23325680902257045,0.1678338556317291,0.20329945496114887,0.3827594620847787,0.20362518007658414,0.31446614613374446,0.22916063103981213,0.20331461899750697,0.28446999619832836,0.2738355755450122,0.24705224834055708,0.15958882764734664,0.2324151038512697,0.29171711314014304,0.32277727691319635,0.2810863746493256,0.3782804033493039,0.29566228061869393,0.2180766990998738,0.2728312874516993,0.3598596657617879,0.33963602320414543,0.33752446108030093,0.3133174847143518,0.3071907768108836,0.2640119995553446,0.26908363944538105,0.17205429533975128,0.240860072200061,0.2468257692947641,0.1298774928121976,0.19189327103425194,0.31185509452098376,0.23145886990401413,0.18534808824420593,0.27651793885918674,0.24156650178910327
elephant,0.4066480533684396,0.31603402522955254,0.4363397665610159,0.3117908373349538,0.3961216021375668,0.3659442693852379,0.24822885475538856,0.2776485956741967,0.2757774851054644,0.31570099647621996,0.4765213394248286,0.2717177444261622,0.3082691051028509,0.28398888908626296,0.24324342992652553,0.2806957526807744,0.46721037069389,0.27762026485533986,0.32727376406274217,0.3595134085939846,0.3490149931883009,0.4174513870395804,0.27511603071526697,0.29964104725148083,0.21476770631090025,0.31243586909675236,0.3828311707631928,0.3882875549472112,0.24318720436354155,0.4878173881326144,0.4573902871001615,0.2726296680922052,0.3295301226372772,0.33248670021155946,0.2792611125703141,0.3149650313251877,0.3162474632060978,0.3656749925338939,0.20428150453250707,0.2869010061712888,0.31171691037665655,0.36174824420637103,0.2980946893313284,0.24746451046188417,0.28646086888959693,0.3555718401444887,0.32305074687298563,0.30461477970144873,0.5053132091274748,0.31632566414573865
flamingo,0.4288625636109332,0.3629769364816205,0.4744663727815641,0.4016750178288503,0.4184707600940306,0.41675027058836484,0.28761333778930787,0.34834717325228226,0.296424276614539,0.4124717478279202,0.5627098296829522,0.295993423770728,0.38859061844224024,0.26627405532357246,0.36509768372065754,0.37018100133472087,0.42224711066299864,0.3655283183919906,0.38900326658159207,0.36461239173307197,0.36542820116524605,0.4851071544525122,0.37243554714544774,0.2881937394225135,0.2310903336091203,0.30052618354080135,0.42786039580800983,0.467071120399582,0.27205429636864936,0.5068839979984602,0.44859743132816465,0.24617077797694684,0.37941348095369476,0.38510038946564357,0.4525156595281381,0.427845798918747,0.33477742922042664,0.37566994753159577,0.30953426829793135,0.3790174041475933,0.34805705586314406,0.3956627866457387,0.35176141717497555,0.19506027586593153,0.2062466202482,0.4302434643430898,0.34805265363578397,0.2764883915188443,0.4261605064466655,0.37371119784615636
giraffe,0.26974070545965023,0.2762520098390417,0.3827195313632544,0.3282199140708706,0.40656452718302105,0.33747930112526175,0.22158556315094102,0.28527521111346404,0.15733615352438488,0.36145818720976497,0.43077367678886225,0.2499186667293687,0.2929705050156316,0.3125442638209762,0.29320980466938057,0.37412054127098393,0.41672009760953665,0.2955072931337586,0.342578540576109,0.26744133023616895,0.2889134016654928,0.3686121212100127,0.1973285029641885,0.2465424090221858,0.12435624071681449,0.18172233822006242,0.2834185466387494,0.3670855124915643,0.23419450020697133,0.408874194209918,0.45443368032742265,0.22971025641296972,0.347730948673656,0.2926440052467605,0.21735238808441285,0.2761243468890767,0.2652972430410172,0.22721098858946778,0.26738934831930217,0.2564326407414804,0.30370246627171044,0.31981080451929167,0.2726328860252216,0.1096512484582013,0.15724636116567672,0.2999582368793217,0.3356544603275189,0.3001341061474635,0.40452923890802656,0.30523949890283336
goat,0.2936800339294409,0.2955233878248692,0.43036753637019054,0.3718828553935798,0.3955448383323437,0.2814725767883507,0.4534140735144841,0.44034812690185016,0.2824393299619468,0.39284865984584505,0.3790245196876671,0.3281084529576814,0.36137174770590286,0.39433609587999724,0.3193192472621795,0.42670950658727197,0.4521316863459884,0.29797694792173435,0.3342054813891275,0.2820907559120186,0.3137703099836813,0.4219717921082179,0.27661219538060716,0.2784188207965526,0.3347566867223563,0.3303010166682294,0.31008654002956804,0.41207281120608286,0.21408563976806433,0.39909615469300086,0.47949827012574314,0.2711636643173285,0.3281065139410273,0.3723324129076739,0.3161571537774875,0.36011094847029174,0.3521172185759393,0.3722475559057261,0.34512259142625556,0.3660831021451685,0.3242097719161097,0.3859360014333826,0.38531395418323394,0.2427527468003435,0.2199995798679588,0.3767396284406659,0.3735251768638687,0.45712088031554887,0.44462050552238075,0.3342715367553023
